m,m/s,C
z,u,T
 2.0000000E-001, 1.4957352E+000, 3.5158772E+001
 7.2203390E-001, 2.7868690E+000, 3.5066598E+001
 1.2440678E+000, 3.0398978E+000, 3.5037568E+001
 1.7661017E+000, 3.1953707E+000, 3.5015391E+001
 2.2881356E+000, 3.3399419E+000, 3.4996101E+001
 2.8101695E+000, 3.4992442E+000, 3.4977792E+001
 3.3322034E+000, 3.5850374E+000, 3.4962026E+001
 3.8542373E+000, 3.6681457E+000, 3.4947895E+001
 4.3762712E+000, 3.7803472E+000, 3.4933799E+001
 4.8983051E+000, 3.8540396E+000, 3.4920470E+001
 5.4203390E+000, 3.8540396E+000, 3.4920470E+001
 5.9423729E+000, 3.9270387E+000, 3.4907125E+001
 6.4644068E+000, 4.0109629E+000, 3.4893929E+001
 6.9864407E+000, 4.0109629E+000, 3.4893929E+001
 7.5084746E+000, 4.0758894E+000, 3.4879388E+001
 8.0305085E+000, 4.0758894E+000, 3.4879388E+001
 8.5525424E+000, 4.1325860E+000, 3.4864657E+001
 9.0745763E+000, 4.2094376E+000, 3.4850013E+001
 9.5966102E+000, 4.2094376E+000, 3.4850013E+001
 1.0118644E+001, 4.2805669E+000, 3.4834522E+001
 1.0640678E+001, 4.2805669E+000, 3.4834522E+001
 1.1162712E+001, 4.3506041E+000, 3.4818712E+001
 1.1684746E+001, 4.3506041E+000, 3.4818712E+001
 1.2206780E+001, 4.4405409E+000, 3.4802688E+001
 1.2728814E+001, 4.4405409E+000, 3.4802688E+001
 1.3250847E+001, 4.5224750E+000, 3.4786414E+001
 1.3772881E+001, 4.5224750E+000, 3.4786414E+001
 1.4294915E+001, 4.5224750E+000, 3.4786414E+001
 1.4816949E+001, 4.5768241E+000, 3.4769825E+001
 1.5338983E+001, 4.5768241E+000, 3.4769825E+001
 1.5861017E+001, 4.6888334E+000, 3.4752290E+001
 1.6383051E+001, 4.6888334E+000, 3.4752290E+001
 1.6905085E+001, 4.7764920E+000, 3.4734376E+001
 1.7427119E+001, 4.7764920E+000, 3.4734376E+001
 1.7949153E+001, 4.7764920E+000, 3.4734376E+001
 1.8471186E+001, 4.8609478E+000, 3.4716238E+001
 1.8993220E+001, 4.8609478E+000, 3.4716238E+001
 1.9515254E+001, 4.9739482E+000, 3.4698118E+001
 2.0037288E+001, 4.9739482E+000, 3.4698118E+001
 2.0559322E+001, 4.9739482E+000, 3.4698118E+001
 2.1081356E+001, 5.0761826E+000, 3.4679161E+001
 2.1603390E+001, 5.0761826E+000, 3.4679161E+001
 2.2125424E+001, 5.0761826E+000, 3.4679161E+001
 2.2647458E+001, 5.1373983E+000, 3.4660795E+001
 2.3169492E+001, 5.1373983E+000, 3.4660795E+001
 2.3691525E+001, 5.1373983E+000, 3.4660795E+001
 2.4213559E+001, 5.2123217E+000, 3.4642536E+001
 2.4735593E+001, 5.2123217E+000, 3.4642536E+001
 2.5257627E+001, 5.2123217E+000, 3.4642536E+001
 2.5779661E+001, 5.2949074E+000, 3.4623936E+001
 2.6301695E+001, 5.2949074E+000, 3.4623936E+001
 2.6823729E+001, 5.2949074E+000, 3.4623936E+001
 2.7345763E+001, 5.3854107E+000, 3.4605518E+001
 2.7867797E+001, 5.3854107E+000, 3.4605518E+001
 2.8389831E+001, 5.3854107E+000, 3.4605518E+001
 2.8911864E+001, 5.4301310E+000, 3.4587131E+001
 2.9433898E+001, 5.4301310E+000, 3.4587131E+001
 2.9955932E+001, 5.4301310E+000, 3.4587131E+001
 3.0477966E+001, 5.4666312E+000, 3.4569845E+001
 3.1000000E+001, 5.4666312E+000, 3.4569845E+001
