m,m/s,C
z,u,T
 2.0000000E-001, 7.7878580E+000, 3.1109200E+001
 7.2203390E-001, 9.7929426E+000, 2.9342263E+001
 1.2440678E+000, 1.0163426E+001, 2.8851050E+001
 1.7661017E+000, 1.0400251E+001, 2.8483494E+001
 2.2881356E+000, 1.0582363E+001, 2.8196498E+001
 2.8101695E+000, 1.0768014E+001, 2.7980855E+001
 3.3322034E+000, 1.0907310E+001, 2.7808743E+001
 3.8542373E+000, 1.1035549E+001, 2.7657339E+001
 4.3762712E+000, 1.1160588E+001, 2.7504095E+001
 4.8983051E+000, 1.1280393E+001, 2.7368072E+001
 5.4203390E+000, 1.1280393E+001, 2.7368072E+001
 5.9423729E+000, 1.1420669E+001, 2.7251434E+001
 6.4644068E+000, 1.1526741E+001, 2.7148333E+001
 6.9864407E+000, 1.1526741E+001, 2.7148333E+001
 7.5084746E+000, 1.1603914E+001, 2.7053721E+001
 8.0305085E+000, 1.1603914E+001, 2.7053721E+001
 8.5525424E+000, 1.1712188E+001, 2.6970101E+001
 9.0745763E+000, 1.1884308E+001, 2.6887431E+001
 9.5966102E+000, 1.1884308E+001, 2.6887431E+001
 1.0118644E+001, 1.1998709E+001, 2.6800787E+001
 1.0640678E+001, 1.1998709E+001, 2.6800787E+001
 1.1162712E+001, 1.2111225E+001, 2.6719209E+001
 1.1684746E+001, 1.2111225E+001, 2.6719209E+001
 1.2206780E+001, 1.2220236E+001, 2.6646356E+001
 1.2728814E+001, 1.2220236E+001, 2.6646356E+001
 1.3250847E+001, 1.2321103E+001, 2.6579720E+001
 1.3772881E+001, 1.2321103E+001, 2.6579720E+001
 1.4294915E+001, 1.2321103E+001, 2.6579720E+001
 1.4816949E+001, 1.2467483E+001, 2.6509473E+001
 1.5338983E+001, 1.2467483E+001, 2.6509473E+001
 1.5861017E+001, 1.2608543E+001, 2.6436927E+001
 1.6383051E+001, 1.2608543E+001, 2.6436927E+001
 1.6905085E+001, 1.2705068E+001, 2.6368979E+001
 1.7427119E+001, 1.2705068E+001, 2.6368979E+001
 1.7949153E+001, 1.2705068E+001, 2.6368979E+001
 1.8471186E+001, 1.2875150E+001, 2.6303822E+001
 1.8993220E+001, 1.2875150E+001, 2.6303822E+001
 1.9515254E+001, 1.2936170E+001, 2.6240703E+001
 2.0037288E+001, 1.2936170E+001, 2.6240703E+001
 2.0559322E+001, 1.2936170E+001, 2.6240703E+001
 2.1081356E+001, 1.3112520E+001, 2.6185051E+001
 2.1603390E+001, 1.3112520E+001, 2.6185051E+001
 2.2125424E+001, 1.3112520E+001, 2.6185051E+001
 2.2647458E+001, 1.3228016E+001, 2.6135953E+001
 2.3169492E+001, 1.3228016E+001, 2.6135953E+001
 2.3691525E+001, 1.3228016E+001, 2.6135953E+001
 2.4213559E+001, 1.3292853E+001, 2.6095087E+001
 2.4735593E+001, 1.3292853E+001, 2.6095087E+001
 2.5257627E+001, 1.3292853E+001, 2.6095087E+001
 2.5779661E+001, 1.3401689E+001, 2.6057522E+001
 2.6301695E+001, 1.3401689E+001, 2.6057522E+001
 2.6823729E+001, 1.3401689E+001, 2.6057522E+001
 2.7345763E+001, 1.3419881E+001, 2.6019474E+001
 2.7867797E+001, 1.3419881E+001, 2.6019474E+001
 2.8389831E+001, 1.3419881E+001, 2.6019474E+001
 2.8911864E+001, 1.3409964E+001, 2.5980320E+001
 2.9433898E+001, 1.3409964E+001, 2.5980320E+001
 2.9955932E+001, 1.3409964E+001, 2.5980320E+001
 3.0477966E+001, 1.3316802E+001, 2.5940293E+001
 3.1000000E+001, 1.3316802E+001, 2.5940293E+001
