m,m/s,C
z,u,T
 2.0000000E-001, 5.4341301E+000, 3.4442410E+001
 7.2203390E-001, 6.9703055E+000, 3.4057687E+001
 1.2440678E+000, 7.3143308E+000, 3.3940926E+001
 1.7661017E+000, 7.5596700E+000, 3.3852744E+001
 2.2881356E+000, 7.7445236E+000, 3.3784068E+001
 2.8101695E+000, 7.8712552E+000, 3.3728078E+001
 3.3322034E+000, 7.9831486E+000, 3.3677271E+001
 3.8542373E+000, 8.1117833E+000, 3.3629899E+001
 4.3762712E+000, 8.2089885E+000, 3.3585675E+001
 4.8983051E+000, 8.3100876E+000, 3.3547736E+001
 5.4203390E+000, 8.3100876E+000, 3.3547736E+001
 5.9423729E+000, 8.4156981E+000, 3.3512865E+001
 6.4644068E+000, 8.5178397E+000, 3.3475124E+001
 6.9864407E+000, 8.5178397E+000, 3.3475124E+001
 7.5084746E+000, 8.6271723E+000, 3.3439772E+001
 8.0305085E+000, 8.6271723E+000, 3.3439772E+001
 8.5525424E+000, 8.7013886E+000, 3.3407881E+001
 9.0745763E+000, 8.8055892E+000, 3.3377593E+001
 9.5966102E+000, 8.8055892E+000, 3.3377593E+001
 1.0118644E+001, 8.9100358E+000, 3.3347204E+001
 1.0640678E+001, 8.9100358E+000, 3.3347204E+001
 1.1162712E+001, 9.0085432E+000, 3.3316297E+001
 1.1684746E+001, 9.0085432E+000, 3.3316297E+001
 1.2206780E+001, 9.1403200E+000, 3.3285495E+001
 1.2728814E+001, 9.1403200E+000, 3.3285495E+001
 1.3250847E+001, 9.2629778E+000, 3.3255820E+001
 1.3772881E+001, 9.2629778E+000, 3.3255820E+001
 1.4294915E+001, 9.2629778E+000, 3.3255820E+001
 1.4816949E+001, 9.3979727E+000, 3.3225503E+001
 1.5338983E+001, 9.3979727E+000, 3.3225503E+001
 1.5861017E+001, 9.5330347E+000, 3.3196163E+001
 1.6383051E+001, 9.5330347E+000, 3.3196163E+001
 1.6905085E+001, 9.6663732E+000, 3.3166840E+001
 1.7427119E+001, 9.6663732E+000, 3.3166840E+001
 1.7949153E+001, 9.6663732E+000, 3.3166840E+001
 1.8471186E+001, 9.8124289E+000, 3.3138259E+001
 1.8993220E+001, 9.8124289E+000, 3.3138259E+001
 1.9515254E+001, 9.9907422E+000, 3.3110797E+001
 2.0037288E+001, 9.9907422E+000, 3.3110797E+001
 2.0559322E+001, 9.9907422E+000, 3.3110797E+001
 2.1081356E+001, 1.0126295E+001, 3.3083839E+001
 2.1603390E+001, 1.0126295E+001, 3.3083839E+001
 2.2125424E+001, 1.0126295E+001, 3.3083839E+001
 2.2647458E+001, 1.0294168E+001, 3.3056858E+001
 2.3169492E+001, 1.0294168E+001, 3.3056858E+001
 2.3691525E+001, 1.0294168E+001, 3.3056858E+001
 2.4213559E+001, 1.0382366E+001, 3.3030317E+001
 2.4735593E+001, 1.0382366E+001, 3.3030317E+001
 2.5257627E+001, 1.0382366E+001, 3.3030317E+001
 2.5779661E+001, 1.0473466E+001, 3.3004943E+001
 2.6301695E+001, 1.0473466E+001, 3.3004943E+001
 2.6823729E+001, 1.0473466E+001, 3.3004943E+001
 2.7345763E+001, 1.0645177E+001, 3.2979525E+001
 2.7867797E+001, 1.0645177E+001, 3.2979525E+001
 2.8389831E+001, 1.0645177E+001, 3.2979525E+001
 2.8911864E+001, 1.0711644E+001, 3.2954894E+001
 2.9433898E+001, 1.0711644E+001, 3.2954894E+001
 2.9955932E+001, 1.0711644E+001, 3.2954894E+001
 3.0477966E+001, 1.0676711E+001, 3.2932059E+001
 3.1000000E+001, 1.0676711E+001, 3.2932059E+001
