m,m/s,C
z,u,T
 2.0000000E-001, 6.6476047E+000, 1.6739726E+001
 7.2203390E-001, 8.0903358E+000, 1.6406245E+001
 1.2440678E+000, 8.3438216E+000, 1.6305026E+001
 1.7661017E+000, 8.4972425E+000, 1.6228735E+001
 2.2881356E+000, 8.6046217E+000, 1.6168557E+001
 2.8101695E+000, 8.6909945E+000, 1.6120367E+001
 3.3322034E+000, 8.7746440E+000, 1.6078669E+001
 3.8542373E+000, 8.8630177E+000, 1.6041164E+001
 4.3762712E+000, 8.9405963E+000, 1.6005555E+001
 4.8983051E+000, 9.0125659E+000, 1.5972067E+001
 5.4203390E+000, 9.0125659E+000, 1.5972067E+001
 5.9423729E+000, 9.1057389E+000, 1.5941209E+001
 6.4644068E+000, 9.2297877E+000, 1.5911735E+001
 6.9864407E+000, 9.2297877E+000, 1.5911735E+001
 7.5084746E+000, 9.3337808E+000, 1.5883380E+001
 8.0305085E+000, 9.3337808E+000, 1.5883380E+001
 8.5525424E+000, 9.4345187E+000, 1.5856373E+001
 9.0745763E+000, 9.5539114E+000, 1.5830741E+001
 9.5966102E+000, 9.5539114E+000, 1.5830741E+001
 1.0118644E+001, 9.6618677E+000, 1.5806052E+001
 1.0640678E+001, 9.6618677E+000, 1.5806052E+001
 1.1162712E+001, 9.7594519E+000, 1.5782558E+001
 1.1684746E+001, 9.7594519E+000, 1.5782558E+001
 1.2206780E+001, 9.8871293E+000, 1.5760064E+001
 1.2728814E+001, 9.8871293E+000, 1.5760064E+001
 1.3250847E+001, 9.9826098E+000, 1.5738217E+001
 1.3772881E+001, 9.9826098E+000, 1.5738217E+001
 1.4294915E+001, 9.9826098E+000, 1.5738217E+001
 1.4816949E+001, 1.0066233E+001, 1.5716847E+001
 1.5338983E+001, 1.0066233E+001, 1.5716847E+001
 1.5861017E+001, 1.0081798E+001, 1.5696012E+001
 1.6383051E+001, 1.0081798E+001, 1.5696012E+001
 1.6905085E+001, 1.0149709E+001, 1.5675693E+001
 1.7427119E+001, 1.0149709E+001, 1.5675693E+001
 1.7949153E+001, 1.0149709E+001, 1.5675693E+001
 1.8471186E+001, 1.0250706E+001, 1.5655518E+001
 1.8993220E+001, 1.0250706E+001, 1.5655518E+001
 1.9515254E+001, 1.0315800E+001, 1.5635367E+001
 2.0037288E+001, 1.0315800E+001, 1.5635367E+001
 2.0559322E+001, 1.0315800E+001, 1.5635367E+001
 2.1081356E+001, 1.0351660E+001, 1.5615141E+001
 2.1603390E+001, 1.0351660E+001, 1.5615141E+001
 2.2125424E+001, 1.0351660E+001, 1.5615141E+001
 2.2647458E+001, 1.0358382E+001, 1.5594620E+001
 2.3169492E+001, 1.0358382E+001, 1.5594620E+001
 2.3691525E+001, 1.0358382E+001, 1.5594620E+001
 2.4213559E+001, 1.0397953E+001, 1.5574049E+001
 2.4735593E+001, 1.0397953E+001, 1.5574049E+001
 2.5257627E+001, 1.0397953E+001, 1.5574049E+001
 2.5779661E+001, 1.0528146E+001, 1.5553022E+001
 2.6301695E+001, 1.0528146E+001, 1.5553022E+001
 2.6823729E+001, 1.0528146E+001, 1.5553022E+001
 2.7345763E+001, 1.0666925E+001, 1.5531569E+001
 2.7867797E+001, 1.0666925E+001, 1.5531569E+001
 2.8389831E+001, 1.0666925E+001, 1.5531569E+001
 2.8911864E+001, 1.0756676E+001, 1.5510066E+001
 2.9433898E+001, 1.0756676E+001, 1.5510066E+001
 2.9955932E+001, 1.0756676E+001, 1.5510066E+001
 3.0477966E+001, 1.0779361E+001, 1.5492210E+001
 3.1000000E+001, 1.0779361E+001, 1.5492210E+001
