s,%,%,%,%,%,%,%,m/s,m/s,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","U TOPD_V","U BOTTOMD_V","B TOPD_V","B BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.991E+01, 5.066E-14, 4.465E-10, 1.861E-06, 3.786E-04, 6.901E-02, 6.496E-01, 1.327E+00, 2.843E-01, 2.786E-01, 2.493E-01, 2.493E-01
 1.199E+02, 1.189E-07, 4.107E-05, 6.464E-03, 1.228E-01, 1.079E+00, 2.807E+00, 3.715E+00, 3.287E-01, 3.181E-01, 2.110E-01, 2.111E-01
 1.799E+02, 6.175E-05, 5.334E-03, 1.815E-01, 9.291E-01, 2.829E+00, 4.560E+00, 5.215E+00, 3.722E-01, 3.599E-01, 1.684E-01, 1.684E-01
 2.399E+02, 2.108E-03, 6.893E-02, 8.183E-01, 2.249E+00, 4.394E+00, 5.869E+00, 6.438E+00, 4.162E-01, 4.030E-01, 1.248E-01, 1.249E-01
 2.999E+02, 1.720E-02, 2.834E-01, 1.787E+00, 3.606E+00, 5.697E+00, 7.027E+00, 7.544E+00, 4.604E-01, 4.465E-01, 8.109E-02, 8.099E-02
 3.599E+02, 6.775E-02, 6.641E-01, 2.849E+00, 4.868E+00, 6.848E+00, 8.086E+00, 8.604E+00, 5.046E-01, 4.902E-01, 3.744E-02, 3.658E-02
 4.199E+02, 1.706E-01, 1.161E+00, 3.907E+00, 6.010E+00, 7.915E+00, 9.111E+00, 9.622E+00, 5.489E-01, 5.339E-01,-3.413E-03,-1.055E-02
 4.799E+02, 3.313E-01, 1.727E+00, 4.917E+00, 7.071E+00, 8.920E+00, 1.011E+01, 1.061E+01, 5.896E-01, 5.737E-01,-4.539E-02,-4.897E-02
 5.399E+02, 5.464E-01, 2.325E+00, 5.878E+00, 8.063E+00, 9.869E+00, 1.107E+01, 1.158E+01, 6.262E-01, 6.075E-01,-8.055E-02,-8.422E-02
 5.999E+02, 8.073E-01, 2.929E+00, 6.799E+00, 9.007E+00, 1.079E+01, 1.199E+01, 1.250E+01, 6.579E-01, 6.382E-01,-1.115E-01,-1.157E-01
 6.599E+02, 1.106E+00, 3.547E+00, 7.694E+00, 9.948E+00, 1.169E+01, 1.285E+01, 1.336E+01, 6.871E-01, 6.664E-01,-1.398E-01,-1.447E-01
 7.199E+02, 1.433E+00, 4.178E+00, 8.602E+00, 1.089E+01, 1.254E+01, 1.367E+01, 1.417E+01, 7.139E-01, 6.921E-01,-1.659E-01,-1.712E-01
 7.799E+02, 1.787E+00, 4.815E+00, 9.520E+00, 1.178E+01, 1.334E+01, 1.445E+01, 1.494E+01, 7.386E-01, 7.164E-01,-1.901E-01,-1.960E-01
