s,%,%,%,%,%,%,%,m/s,m/s
Time,Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6,Sensor #7,TOPD_V,BOTTOMD_V
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.991E+01, 9.794E-13, 2.613E-09, 1.203E-06, 6.863E-05, 5.108E-02, 7.476E-01, 1.505E+00, 2.636E-01, 2.638E-01
 1.199E+02, 1.702E-07, 5.832E-05, 1.204E-02, 1.903E-01, 1.091E+00, 3.162E+00, 3.812E+00, 2.661E-01, 2.650E-01
 1.799E+02, 4.439E-05, 4.210E-03, 1.986E-01, 1.158E+00, 2.972E+00, 4.828E+00, 5.237E+00, 2.680E-01, 2.631E-01
 2.399E+02, 2.182E-03, 8.483E-02, 9.740E-01, 2.600E+00, 4.506E+00, 6.077E+00, 6.443E+00, 2.705E-01, 2.606E-01
 2.999E+02, 1.775E-02, 3.518E-01, 2.036E+00, 3.982E+00, 5.763E+00, 7.223E+00, 7.590E+00, 2.728E-01, 2.583E-01
 3.599E+02, 7.167E-02, 8.115E-01, 3.139E+00, 5.218E+00, 6.922E+00, 8.303E+00, 8.653E+00, 2.748E-01, 2.562E-01
 4.199E+02, 1.906E-01, 1.406E+00, 4.200E+00, 6.346E+00, 8.010E+00, 9.351E+00, 9.718E+00, 2.768E-01, 2.543E-01
 4.799E+02, 3.800E-01, 2.039E+00, 5.233E+00, 7.425E+00, 9.041E+00, 1.037E+01, 1.072E+01, 2.788E-01, 2.523E-01
 5.399E+02, 6.364E-01, 2.707E+00, 6.220E+00, 8.443E+00, 1.005E+01, 1.133E+01, 1.171E+01, 2.806E-01, 2.505E-01
 5.999E+02, 9.539E-01, 3.387E+00, 7.180E+00, 9.424E+00, 1.104E+01, 1.228E+01, 1.265E+01, 2.824E-01, 2.486E-01
 6.599E+02, 1.316E+00, 4.078E+00, 8.097E+00, 1.038E+01, 1.199E+01, 1.321E+01, 1.357E+01, 2.843E-01, 2.468E-01
 7.199E+02, 1.727E+00, 4.774E+00, 9.007E+00, 1.132E+01, 1.290E+01, 1.412E+01, 1.447E+01, 2.861E-01, 2.449E-01
 7.799E+02, 2.178E+00, 5.471E+00, 9.893E+00, 1.221E+01, 1.380E+01, 1.498E+01, 1.533E+01, 2.878E-01, 2.432E-01
 8.399E+02, 2.665E+00, 6.176E+00, 1.076E+01, 1.309E+01, 1.466E+01, 1.584E+01, 1.618E+01, 2.896E-01, 2.414E-01
 8.999E+02, 3.179E+00, 6.884E+00, 1.159E+01, 1.395E+01, 1.552E+01, 1.666E+01, 1.699E+01, 2.914E-01, 2.397E-01
