s,%,%,%,%,%,%,%,m/s,m/s
Time,Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6,Sensor #7,TOPD_V,BOTTOMD_V
 2.280E+03, 1.913E+01, 2.324E+01, 2.774E+01, 2.981E+01, 3.100E+01, 3.163E+01, 3.190E+01, 4.726E-01, 3.851E-01
 2.340E+03, 1.982E+01, 2.388E+01, 2.836E+01, 3.042E+01, 3.159E+01, 3.219E+01, 3.245E+01, 4.737E-01, 3.840E-01
 2.400E+03, 2.051E+01, 2.455E+01, 2.899E+01, 3.103E+01, 3.216E+01, 3.274E+01, 3.298E+01, 4.749E-01, 3.828E-01
 2.460E+03, 2.121E+01, 2.520E+01, 2.960E+01, 3.161E+01, 3.272E+01, 3.328E+01, 3.353E+01, 4.761E-01, 3.816E-01
 2.520E+03, 2.190E+01, 2.585E+01, 3.017E+01, 3.216E+01, 3.326E+01, 3.384E+01, 3.412E+01, 4.772E-01, 3.805E-01
 2.580E+03, 2.258E+01, 2.647E+01, 3.071E+01, 3.268E+01, 3.381E+01, 3.442E+01, 3.470E+01, 4.783E-01, 3.794E-01
 2.640E+03, 2.325E+01, 2.708E+01, 3.126E+01, 3.322E+01, 3.437E+01, 3.499E+01, 3.528E+01, 4.794E-01, 3.783E-01
 2.700E+03, 2.391E+01, 2.768E+01, 3.181E+01, 3.376E+01, 3.492E+01, 3.556E+01, 3.583E+01, 4.806E-01, 3.771E-01
 2.760E+03, 2.457E+01, 2.828E+01, 3.238E+01, 3.432E+01, 3.548E+01, 3.610E+01, 3.636E+01, 4.818E-01, 3.759E-01
 2.820E+03, 2.523E+01, 2.889E+01, 3.296E+01, 3.489E+01, 3.603E+01, 3.662E+01, 3.688E+01, 4.830E-01, 3.747E-01
 2.880E+03, 2.589E+01, 2.950E+01, 3.354E+01, 3.545E+01, 3.656E+01, 3.713E+01, 3.738E+01, 4.842E-01, 3.735E-01
 2.940E+03, 2.654E+01, 3.011E+01, 3.412E+01, 3.601E+01, 3.710E+01, 3.763E+01, 3.786E+01, 4.854E-01, 3.722E-01
 3.000E+03, 2.719E+01, 3.073E+01, 3.468E+01, 3.655E+01, 3.760E+01, 3.813E+01, 3.838E+01, 4.866E-01, 3.711E-01
 3.060E+03, 2.783E+01, 3.133E+01, 3.521E+01, 3.705E+01, 3.810E+01, 3.864E+01, 3.891E+01, 4.878E-01, 3.699E-01
 3.120E+03, 2.848E+01, 3.191E+01, 3.571E+01, 3.754E+01, 3.861E+01, 3.918E+01, 3.945E+01, 4.890E-01, 3.687E-01
 3.180E+03, 2.911E+01, 3.248E+01, 3.621E+01, 3.803E+01, 3.912E+01, 3.971E+01, 3.998E+01, 4.901E-01, 3.675E-01
 3.240E+03, 2.973E+01, 3.304E+01, 3.673E+01, 3.854E+01, 3.964E+01, 4.023E+01, 4.048E+01, 4.914E-01, 3.663E-01
 3.300E+03, 3.035E+01, 3.360E+01, 3.726E+01, 3.906E+01, 4.015E+01, 4.073E+01, 4.098E+01, 4.926E-01, 3.651E-01
 3.360E+03, 3.096E+01, 3.417E+01, 3.779E+01, 3.958E+01, 4.066E+01, 4.121E+01, 4.146E+01, 4.939E-01, 3.638E-01
 3.420E+03, 3.157E+01, 3.474E+01, 3.833E+01, 4.010E+01, 4.115E+01, 4.168E+01, 4.193E+01, 4.952E-01, 3.625E-01
