s,%,%,%,%,%,%,%,m/s,m/s
Time,Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6,Sensor #7,TOPD_V,BOTTOMD_V
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.991E+01, 4.628E-19, 3.219E-15, 1.088E-11, 2.730E-09, 2.722E-06, 1.595E-03, 1.916E-01, 6.016E-02, 6.018E-02
 1.199E+02, 8.350E-13, 4.718E-10, 1.578E-07, 8.625E-06, 1.050E-03, 6.212E-02, 1.029E+00, 6.177E-02, 6.170E-02
 1.799E+02, 1.158E-09, 1.770E-07, 1.756E-05, 3.986E-04, 1.502E-02, 2.648E-01, 1.895E+00, 6.181E-02, 6.166E-02
 2.399E+02, 1.086E-07, 7.125E-06, 3.086E-04, 3.742E-03, 6.273E-02, 5.756E-01, 2.705E+00, 6.183E-02, 6.164E-02
 2.999E+02, 2.453E-06, 8.465E-05, 1.943E-03, 1.509E-02, 1.516E-01, 9.427E-01, 3.451E+00, 6.195E-02, 6.152E-02
 3.599E+02, 2.250E-05, 4.670E-04, 6.785E-03, 3.915E-02, 2.796E-01, 1.341E+00, 4.145E+00, 6.217E-02, 6.130E-02
 4.199E+02, 1.165E-04, 1.653E-03, 1.710E-02, 7.885E-02, 4.411E-01, 1.755E+00, 4.795E+00, 6.249E-02, 6.098E-02
 4.799E+02, 4.195E-04, 4.413E-03, 3.467E-02, 1.351E-01, 6.297E-01, 2.174E+00, 5.407E+00, 6.292E-02, 6.055E-02
 5.399E+02, 1.153E-03, 9.478E-03, 6.070E-02, 2.079E-01, 8.398E-01, 2.593E+00, 5.986E+00, 6.349E-02, 5.998E-02
 5.999E+02, 2.585E-03, 1.756E-02, 9.611E-02, 2.966E-01, 1.067E+00, 3.010E+00, 6.537E+00, 6.418E-02, 5.929E-02
 6.599E+02, 5.074E-03, 2.944E-02, 1.413E-01, 3.998E-01, 1.308E+00, 3.422E+00, 7.062E+00, 6.498E-02, 5.849E-02
 7.199E+02, 9.029E-03, 4.569E-02, 1.961E-01, 5.162E-01, 1.559E+00, 3.829E+00, 7.564E+00, 6.587E-02, 5.760E-02
 7.799E+02, 1.486E-02, 6.673E-02, 2.604E-01, 6.446E-01, 1.818E+00, 4.229E+00, 8.047E+00, 6.684E-02, 5.663E-02
 8.399E+02, 2.295E-02, 9.287E-02, 3.338E-01, 7.835E-01, 2.082E+00, 4.622E+00, 8.510E+00, 6.789E-02, 5.558E-02
 8.999E+02, 3.368E-02, 1.243E-01, 4.158E-01, 9.317E-01, 2.351E+00, 5.008E+00, 8.958E+00, 6.901E-02, 5.447E-02
