s,%,%,%,%,%,%,%,m/s,m/s,m/s,m/s
Time,Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6,Sensor #7,U TOPD_V,U BOTTOMD_V,B TOPD_V,B BOTTOMD_V
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.991E+01, 2.395E-17, 1.048E-13, 3.025E-10, 6.641E-08, 4.689E-05, 1.909E-02, 1.197E+00, 2.811E-01, 2.708E-01, 2.547E-01, 2.547E-01
 1.199E+02, 1.522E-11, 6.957E-09, 1.928E-06, 8.985E-05, 8.703E-03, 3.925E-01, 4.864E+00, 3.219E-01, 2.927E-01, 2.271E-01, 2.271E-01
 1.799E+02, 1.461E-08, 1.905E-06, 1.561E-04, 3.047E-03, 9.360E-02, 1.453E+00, 8.331E+00, 3.617E-01, 3.215E-01, 1.928E-01, 1.928E-01
 2.399E+02, 1.087E-06, 6.098E-05, 2.204E-03, 2.359E-02, 3.522E-01, 2.896E+00, 1.134E+01, 4.021E-01, 3.550E-01, 1.559E-01, 1.559E-01
 2.999E+02, 2.035E-05, 6.090E-04, 1.216E-02, 8.680E-02, 7.987E-01, 4.474E+00, 1.396E+01, 4.429E-01, 3.914E-01, 1.172E-01, 1.173E-01
 3.599E+02, 1.635E-04, 3.048E-03, 3.955E-02, 2.113E-01, 1.394E+00, 6.073E+00, 1.627E+01, 4.841E-01, 4.299E-01, 7.738E-02, 7.744E-02
 4.199E+02, 7.659E-04, 9.916E-03, 9.324E-02, 4.025E-01, 2.095E+00, 7.630E+00, 1.831E+01, 5.257E-01, 4.697E-01, 3.673E-02, 3.675E-02
 4.799E+02, 2.502E-03, 2.430E-02, 1.786E-01, 6.566E-01, 2.861E+00, 9.113E+00, 2.012E+01, 5.674E-01, 5.101E-01,-4.232E-03,-4.329E-03
 5.399E+02, 6.340E-03, 4.907E-02, 2.973E-01, 9.645E-01, 3.661E+00, 1.051E+01, 2.174E+01, 6.056E-01, 5.471E-01,-4.187E-02,-4.193E-02
 5.999E+02, 1.339E-02, 8.646E-02, 4.479E-01, 1.316E+00, 4.473E+00, 1.182E+01, 2.319E+01, 6.390E-01, 5.792E-01,-7.460E-02,-7.470E-02
 6.599E+02, 2.482E-02, 1.378E-01, 6.280E-01, 1.701E+00, 5.285E+00, 1.304E+01, 2.452E+01, 6.688E-01, 6.076E-01,-1.037E-01,-1.038E-01
 7.199E+02, 4.179E-02, 2.035E-01, 8.340E-01, 2.111E+00, 6.085E+00, 1.419E+01, 2.573E+01, 6.957E-01, 6.332E-01,-1.299E-01,-1.301E-01
 7.799E+02, 6.523E-02, 2.834E-01, 1.062E+00, 2.538E+00, 6.868E+00, 1.526E+01, 2.682E+01, 7.199E-01, 6.565E-01,-1.536E-01,-1.539E-01
