s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.992E+01, 1.554E-13, 5.081E-10, 5.283E-07, 5.111E-05, 4.134E-02, 7.523E-01, 1.509E+00, 4.259E-01, 4.258E-01
 1.199E+02, 6.577E-08, 4.123E-05, 9.292E-03, 1.626E-01, 1.032E+00, 3.243E+00, 3.864E+00, 4.293E-01, 4.285E-01
 1.799E+02, 2.908E-05, 3.264E-03, 1.708E-01, 1.042E+00, 2.926E+00, 4.860E+00, 5.392E+00, 4.307E-01, 4.270E-01
 2.399E+02, 1.540E-03, 6.823E-02, 8.813E-01, 2.469E+00, 4.528E+00, 6.165E+00, 6.550E+00, 4.326E-01, 4.251E-01
 2.999E+02, 1.215E-02, 2.899E-01, 1.928E+00, 3.896E+00, 5.823E+00, 7.294E+00, 7.695E+00, 4.342E-01, 4.235E-01
 3.599E+02, 5.107E-02, 7.144E-01, 3.026E+00, 5.140E+00, 6.945E+00, 8.419E+00, 8.829E+00, 4.356E-01, 4.221E-01
 4.199E+02, 1.452E-01, 1.271E+00, 4.084E+00, 6.259E+00, 8.036E+00, 9.475E+00, 9.901E+00, 4.369E-01, 4.208E-01
 4.799E+02, 3.061E-01, 1.880E+00, 5.104E+00, 7.316E+00, 9.104E+00, 1.051E+01, 1.094E+01, 4.381E-01, 4.196E-01
 5.399E+02, 5.385E-01, 2.509E+00, 6.083E+00, 8.374E+00, 1.014E+01, 1.151E+01, 1.191E+01, 4.395E-01, 4.182E-01
 5.999E+02, 8.287E-01, 3.170E+00, 7.050E+00, 9.386E+00, 1.113E+01, 1.246E+01, 1.287E+01, 4.407E-01, 4.170E-01
 6.599E+02, 1.170E+00, 3.832E+00, 7.989E+00, 1.037E+01, 1.208E+01, 1.340E+01, 1.379E+01, 4.420E-01, 4.157E-01
 7.199E+02, 1.551E+00, 4.510E+00, 8.914E+00, 1.132E+01, 1.301E+01, 1.430E+01, 1.470E+01, 4.432E-01, 4.145E-01
 7.799E+02, 1.982E+00, 5.189E+00, 9.808E+00, 1.224E+01, 1.391E+01, 1.517E+01, 1.557E+01, 4.444E-01, 4.133E-01
 8.399E+02, 2.441E+00, 5.882E+00, 1.068E+01, 1.313E+01, 1.480E+01, 1.602E+01, 1.643E+01, 4.457E-01, 4.120E-01
 8.999E+02, 2.936E+00, 6.573E+00, 1.153E+01, 1.400E+01, 1.564E+01, 1.686E+01, 1.726E+01, 4.468E-01, 4.109E-01
