s,%,%,%,%,%,%,%,m/s,m/s
Time,Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6,Sensor #7,TOPD_V,BOTTOMD_V
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.991E+01, 4.411E-20, 4.098E-16, 2.705E-12, 1.332E-09, 2.509E-06, 1.595E-03, 1.916E-01, 9.717E-02, 9.719E-02
 1.199E+02, 5.275E-13, 3.627E-10, 1.417E-07, 8.333E-06, 1.049E-03, 6.210E-02, 1.029E+00, 9.973E-02, 9.968E-02
 1.799E+02, 1.059E-09, 1.700E-07, 1.737E-05, 3.978E-04, 1.501E-02, 2.648E-01, 1.895E+00, 9.976E-02, 9.965E-02
 2.399E+02, 1.055E-07, 7.046E-06, 3.077E-04, 3.739E-03, 6.272E-02, 5.755E-01, 2.705E+00, 9.977E-02, 9.964E-02
 2.999E+02, 2.426E-06, 8.425E-05, 1.940E-03, 1.508E-02, 1.516E-01, 9.427E-01, 3.451E+00, 9.985E-02, 9.956E-02
 3.599E+02, 2.239E-05, 4.660E-04, 6.782E-03, 3.914E-02, 2.796E-01, 1.341E+00, 4.145E+00, 1.000E-01, 9.940E-02
 4.199E+02, 1.161E-04, 1.652E-03, 1.710E-02, 7.885E-02, 4.411E-01, 1.755E+00, 4.795E+00, 1.002E-01, 9.918E-02
 4.799E+02, 4.183E-04, 4.411E-03, 3.467E-02, 1.351E-01, 6.297E-01, 2.174E+00, 5.407E+00, 1.005E-01, 9.888E-02
 5.399E+02, 1.151E-03, 9.477E-03, 6.069E-02, 2.079E-01, 8.398E-01, 2.593E+00, 5.986E+00, 1.009E-01, 9.849E-02
 5.999E+02, 2.584E-03, 1.756E-02, 9.611E-02, 2.966E-01, 1.067E+00, 3.010E+00, 6.537E+00, 1.014E-01, 9.802E-02
 6.599E+02, 5.073E-03, 2.944E-02, 1.413E-01, 3.998E-01, 1.308E+00, 3.422E+00, 7.062E+00, 1.019E-01, 9.748E-02
 7.199E+02, 9.028E-03, 4.569E-02, 1.961E-01, 5.163E-01, 1.559E+00, 3.829E+00, 7.564E+00, 1.025E-01, 9.687E-02
 7.799E+02, 1.485E-02, 6.674E-02, 2.604E-01, 6.446E-01, 1.818E+00, 4.229E+00, 8.047E+00, 1.032E-01, 9.621E-02
 8.399E+02, 2.295E-02, 9.288E-02, 3.338E-01, 7.836E-01, 2.082E+00, 4.622E+00, 8.510E+00, 1.039E-01, 9.549E-02
 8.999E+02, 3.368E-02, 1.244E-01, 4.158E-01, 9.319E-01, 2.351E+00, 5.008E+00, 8.958E+00, 1.047E-01, 9.473E-02
