s,%,%,%,%,%,%,%,m/s,m/s
Time,Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6,Sensor #7,TOPD_V,BOTTOMD_V
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.993E+01, 1.039E-14, 2.918E-11, 3.849E-08, 1.313E-05, 1.762E-02, 7.838E-02, 3.169E-01, 9.717E-02, 9.724E-02
 1.199E+02, 8.652E-10, 2.430E-07, 2.234E-05, 1.225E-03, 6.366E-02, 6.765E-01, 1.054E+00, 9.973E-02, 9.973E-02
 1.799E+02, 6.460E-07, 9.370E-05, 7.860E-03, 7.488E-02, 4.016E-01, 1.211E+00, 1.488E+00, 1.001E-01, 9.930E-02
 2.399E+02, 3.556E-05, 1.679E-03, 4.496E-02, 2.706E-01, 8.314E-01, 1.636E+00, 1.834E+00, 1.012E-01, 9.826E-02
 2.999E+02, 5.721E-04, 1.520E-02, 1.717E-01, 5.615E-01, 1.213E+00, 1.970E+00, 2.156E+00, 1.026E-01, 9.682E-02
 3.599E+02, 4.355E-03, 5.905E-02, 3.575E-01, 8.729E-01, 1.578E+00, 2.248E+00, 2.438E+00, 1.041E-01, 9.531E-02
 4.199E+02, 1.394E-02, 1.261E-01, 5.894E-01, 1.191E+00, 1.892E+00, 2.522E+00, 2.709E+00, 1.056E-01, 9.381E-02
 4.799E+02, 3.331E-02, 2.291E-01, 8.331E-01, 1.491E+00, 2.179E+00, 2.783E+00, 2.977E+00, 1.070E-01, 9.238E-02
 5.399E+02, 6.449E-02, 3.506E-01, 1.082E+00, 1.776E+00, 2.456E+00, 3.055E+00, 3.220E+00, 1.084E-01, 9.104E-02
 5.999E+02, 1.094E-01, 4.895E-01, 1.328E+00, 2.045E+00, 2.721E+00, 3.292E+00, 3.480E+00, 1.097E-01, 8.976E-02
 6.599E+02, 1.672E-01, 6.390E-01, 1.564E+00, 2.306E+00, 2.975E+00, 3.542E+00, 3.732E+00, 1.109E-01, 8.852E-02
 7.199E+02, 2.369E-01, 7.928E-01, 1.802E+00, 2.557E+00, 3.222E+00, 3.785E+00, 3.976E+00, 1.121E-01, 8.730E-02
 7.799E+02, 3.187E-01, 9.533E-01, 2.032E+00, 2.806E+00, 3.468E+00, 4.027E+00, 4.211E+00, 1.133E-01, 8.611E-02
 8.399E+02, 4.107E-01, 1.117E+00, 2.259E+00, 3.045E+00, 3.709E+00, 4.256E+00, 4.447E+00, 1.145E-01, 8.495E-02
 8.999E+02, 5.113E-01, 1.282E+00, 2.483E+00, 3.282E+00, 3.946E+00, 4.485E+00, 4.680E+00, 1.156E-01, 8.379E-02
