s,%,%,%,%,%,%,%,m/s,m/s
Time,Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6,Sensor #7,TOPD_V,BOTTOMD_V
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.990E+01, 9.420E-17, 1.069E-12, 5.405E-09, 1.696E-06, 1.889E-03, 9.981E-02, 2.714E-01, 6.013E-02, 6.024E-02
 1.199E+02, 6.708E-10, 4.344E-07, 1.302E-04, 4.571E-03, 1.039E-01, 5.645E-01, 9.758E-01, 6.186E-02, 6.164E-02
 1.799E+02, 9.567E-07, 1.116E-04, 6.591E-03, 6.600E-02, 4.332E-01, 1.092E+00, 1.445E+00, 6.238E-02, 6.111E-02
 2.399E+02, 5.656E-05, 2.577E-03, 5.361E-02, 2.516E-01, 8.383E-01, 1.518E+00, 1.810E+00, 6.379E-02, 5.970E-02
 2.999E+02, 7.863E-04, 1.713E-02, 1.705E-01, 5.241E-01, 1.228E+00, 1.872E+00, 2.127E+00, 6.578E-02, 5.770E-02
 3.599E+02, 4.205E-03, 5.453E-02, 3.504E-01, 8.314E-01, 1.582E+00, 2.186E+00, 2.417E+00, 6.797E-02, 5.551E-02
 4.199E+02, 1.357E-02, 1.211E-01, 5.698E-01, 1.142E+00, 1.904E+00, 2.473E+00, 2.691E+00, 7.016E-02, 5.332E-02
 4.799E+02, 3.252E-02, 2.147E-01, 8.086E-01, 1.444E+00, 2.201E+00, 2.744E+00, 2.954E+00, 7.227E-02, 5.121E-02
 5.399E+02, 6.296E-02, 3.300E-01, 1.055E+00, 1.734E+00, 2.481E+00, 3.005E+00, 3.211E+00, 7.429E-02, 4.918E-02
 5.999E+02, 1.058E-01, 4.615E-01, 1.301E+00, 2.012E+00, 2.749E+00, 3.259E+00, 3.461E+00, 7.624E-02, 4.723E-02
 6.599E+02, 1.611E-01, 6.046E-01, 1.544E+00, 2.279E+00, 3.008E+00, 3.507E+00, 3.706E+00, 7.812E-02, 4.535E-02
 7.199E+02, 2.284E-01, 7.559E-01, 1.783E+00, 2.538E+00, 3.260E+00, 3.750E+00, 3.948E+00, 7.995E-02, 4.353E-02
 7.799E+02, 3.069E-01, 9.134E-01, 2.019E+00, 2.790E+00, 3.506E+00, 3.988E+00, 4.185E+00, 8.173E-02, 4.174E-02
 8.399E+02, 3.957E-01, 1.075E+00, 2.251E+00, 3.036E+00, 3.747E+00, 4.222E+00, 4.419E+00, 8.348E-02, 3.999E-02
 8.999E+02, 4.940E-01, 1.241E+00, 2.478E+00, 3.276E+00, 3.982E+00, 4.452E+00, 4.650E+00, 8.520E-02, 3.828E-02
