s,%,%,%,%,%,%,%,m/s,m/s
Time,Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6,Sensor #7,TOPD_V,BOTTOMD_V
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.990E+01, 9.417E-17, 1.069E-12, 5.404E-09, 1.695E-06, 1.889E-03, 9.981E-02, 2.714E-01, 9.716E-02, 9.724E-02
 1.199E+02, 6.702E-10, 4.341E-07, 1.301E-04, 4.571E-03, 1.039E-01, 5.645E-01, 9.758E-01, 9.981E-02, 9.965E-02
 1.799E+02, 9.554E-07, 1.115E-04, 6.591E-03, 6.600E-02, 4.332E-01, 1.092E+00, 1.445E+00, 1.002E-01, 9.927E-02
 2.399E+02, 5.652E-05, 2.576E-03, 5.361E-02, 2.516E-01, 8.382E-01, 1.518E+00, 1.810E+00, 1.011E-01, 9.829E-02
 2.999E+02, 7.862E-04, 1.713E-02, 1.705E-01, 5.241E-01, 1.228E+00, 1.872E+00, 2.127E+00, 1.025E-01, 9.693E-02
 3.599E+02, 4.205E-03, 5.453E-02, 3.504E-01, 8.315E-01, 1.582E+00, 2.186E+00, 2.417E+00, 1.040E-01, 9.544E-02
 4.199E+02, 1.357E-02, 1.211E-01, 5.698E-01, 1.142E+00, 1.904E+00, 2.473E+00, 2.691E+00, 1.055E-01, 9.395E-02
 4.799E+02, 3.252E-02, 2.147E-01, 8.087E-01, 1.444E+00, 2.201E+00, 2.744E+00, 2.954E+00, 1.069E-01, 9.252E-02
 5.399E+02, 6.297E-02, 3.300E-01, 1.055E+00, 1.734E+00, 2.481E+00, 3.005E+00, 3.211E+00, 1.083E-01, 9.115E-02
 5.999E+02, 1.058E-01, 4.616E-01, 1.301E+00, 2.012E+00, 2.749E+00, 3.259E+00, 3.461E+00, 1.096E-01, 8.983E-02
 6.599E+02, 1.611E-01, 6.047E-01, 1.544E+00, 2.280E+00, 3.008E+00, 3.507E+00, 3.707E+00, 1.109E-01, 8.855E-02
 7.199E+02, 2.284E-01, 7.560E-01, 1.784E+00, 2.539E+00, 3.260E+00, 3.750E+00, 3.948E+00, 1.121E-01, 8.731E-02
 7.799E+02, 3.069E-01, 9.135E-01, 2.019E+00, 2.791E+00, 3.506E+00, 3.988E+00, 4.185E+00, 1.133E-01, 8.610E-02
 8.399E+02, 3.958E-01, 1.076E+00, 2.251E+00, 3.037E+00, 3.747E+00, 4.222E+00, 4.419E+00, 1.145E-01, 8.491E-02
 8.999E+02, 4.941E-01, 1.241E+00, 2.479E+00, 3.277E+00, 3.983E+00, 4.453E+00, 4.650E+00, 1.157E-01, 8.375E-02
