s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
 2.280E+03, 8.215E+00, 1.240E+01, 1.941E+01, 2.617E+01, 3.575E+01, 4.459E+01, 5.218E+01, 4.712E-01, 3.864E-01
 2.340E+03, 8.814E+00, 1.306E+01, 2.012E+01, 2.689E+01, 3.643E+01, 4.519E+01, 5.269E+01, 4.729E-01, 3.855E-01
 2.400E+03, 9.425E+00, 1.373E+01, 2.084E+01, 2.761E+01, 3.710E+01, 4.578E+01, 5.315E+01, 4.741E-01, 3.840E-01
 2.460E+03, 1.005E+01, 1.441E+01, 2.155E+01, 2.831E+01, 3.775E+01, 4.634E+01, 5.364E+01, 4.750E-01, 3.819E-01
 2.520E+03, 1.068E+01, 1.509E+01, 2.225E+01, 2.900E+01, 3.839E+01, 4.689E+01, 5.408E+01, 4.768E-01, 3.813E-01
 2.580E+03, 1.133E+01, 1.577E+01, 2.295E+01, 2.968E+01, 3.901E+01, 4.743E+01, 5.451E+01, 4.770E-01, 3.784E-01
 2.640E+03, 1.198E+01, 1.646E+01, 2.365E+01, 3.035E+01, 3.961E+01, 4.793E+01, 5.500E+01, 4.796E-01, 3.787E-01
 2.700E+03, 1.264E+01, 1.715E+01, 2.434E+01, 3.101E+01, 4.020E+01, 4.845E+01, 5.537E+01, 4.809E-01, 3.774E-01
 2.760E+03, 1.331E+01, 1.783E+01, 2.501E+01, 3.165E+01, 4.078E+01, 4.894E+01, 5.577E+01, 4.817E-01, 3.753E-01
 2.820E+03, 1.399E+01, 1.851E+01, 2.568E+01, 3.229E+01, 4.135E+01, 4.942E+01, 5.617E+01, 4.826E-01, 3.735E-01
 2.880E+03, 1.468E+01, 1.920E+01, 2.635E+01, 3.292E+01, 4.190E+01, 4.989E+01, 5.655E+01, 4.848E-01, 3.732E-01
 2.940E+03, 1.537E+01, 1.989E+01, 2.702E+01, 3.354E+01, 4.244E+01, 5.034E+01, 5.693E+01, 4.861E-01, 3.720E-01
 3.000E+03, 1.606E+01, 2.058E+01, 2.768E+01, 3.416E+01, 4.297E+01, 5.079E+01, 5.729E+01, 4.874E-01, 3.707E-01
 3.060E+03, 1.675E+01, 2.127E+01, 2.832E+01, 3.475E+01, 4.349E+01, 5.123E+01, 5.763E+01, 4.883E-01, 3.688E-01
 3.120E+03, 1.746E+01, 2.196E+01, 2.897E+01, 3.535E+01, 4.400E+01, 5.165E+01, 5.800E+01, 4.879E-01, 3.645E-01
 3.180E+03, 1.816E+01, 2.264E+01, 2.961E+01, 3.593E+01, 4.450E+01, 5.206E+01, 5.834E+01, 4.922E-01, 3.678E-01
 3.240E+03, 1.887E+01, 2.333E+01, 3.024E+01, 3.651E+01, 4.499E+01, 5.248E+01, 5.867E+01, 4.927E-01, 3.655E-01
 3.300E+03, 1.958E+01, 2.400E+01, 3.087E+01, 3.708E+01, 4.547E+01, 5.288E+01, 5.899E+01, 4.937E-01, 3.638E-01
 3.360E+03, 2.028E+01, 2.469E+01, 3.149E+01, 3.764E+01, 4.595E+01, 5.327E+01, 5.932E+01, 4.950E-01, 3.623E-01
 3.420E+03, 2.099E+01, 2.536E+01, 3.212E+01, 3.820E+01, 4.642E+01, 5.365E+01, 5.963E+01, 4.960E-01, 3.606E-01
 3.480E+03, 2.170E+01, 2.604E+01, 3.273E+01, 3.875E+01, 4.687E+01, 5.402E+01, 5.994E+01, 4.970E-01, 3.587E-01
 3.540E+03, 2.241E+01, 2.672E+01, 3.334E+01, 3.930E+01, 4.732E+01, 5.439E+01, 6.024E+01, 4.995E-01, 3.592E-01
 3.600E+03, 2.312E+01, 2.739E+01, 3.395E+01, 3.983E+01, 4.777E+01, 5.476E+01, 6.055E+01, 4.979E-01, 3.538E-01
 3.660E+03, 2.386E+01, 2.808E+01, 3.424E+01, 4.009E+01, 4.796E+01, 5.483E+01, 6.018E+01, 2.149E-01,-2.138E-01
 3.720E+03, 2.464E+01, 2.863E+01, 3.433E+01, 4.006E+01, 4.786E+01, 5.442E+01, 5.897E+01, 2.143E-01,-2.140E-01
 3.780E+03, 2.539E+01, 2.911E+01, 3.449E+01, 4.006E+01, 4.767E+01, 5.385E+01, 5.788E+01, 2.142E-01,-2.140E-01
