s,%,%,%,%,%,%,%,m/s,m/s,m/s,m/s
Time,Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6,Sensor #7,U TOPD_V,U BOTTOMD_V,B TOPD_V,B BOTTOMD_V
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.992E+01, 1.146E-13, 5.164E-10, 7.036E-07, 7.135E-05, 5.447E-02, 7.239E-01, 1.488E+00, 2.855E-01, 2.787E-01, 2.487E-01, 2.486E-01
 1.199E+02, 8.583E-08, 5.464E-05, 1.139E-02, 1.713E-01, 1.037E+00, 3.157E+00, 3.761E+00, 3.313E-01, 3.184E-01, 2.096E-01, 2.096E-01
 1.799E+02, 4.639E-05, 4.110E-03, 1.834E-01, 1.077E+00, 2.866E+00, 4.742E+00, 5.199E+00, 3.748E-01, 3.598E-01, 1.671E-01, 1.672E-01
 2.399E+02, 2.124E-03, 8.136E-02, 9.256E-01, 2.452E+00, 4.374E+00, 5.979E+00, 6.366E+00, 4.185E-01, 4.026E-01, 1.238E-01, 1.239E-01
 2.999E+02, 1.711E-02, 3.408E-01, 1.948E+00, 3.803E+00, 5.624E+00, 7.085E+00, 7.482E+00, 4.628E-01, 4.457E-01, 8.023E-02, 8.014E-02
 3.599E+02, 6.940E-02, 7.946E-01, 3.019E+00, 5.007E+00, 6.729E+00, 8.168E+00, 8.524E+00, 5.073E-01, 4.898E-01, 3.636E-02, 3.549E-02
 4.199E+02, 1.849E-01, 1.351E+00, 4.043E+00, 6.094E+00, 7.782E+00, 9.180E+00, 9.535E+00, 5.514E-01, 5.333E-01,-4.484E-03,-1.140E-02
 4.799E+02, 3.612E-01, 1.965E+00, 5.010E+00, 7.118E+00, 8.788E+00, 1.016E+01, 1.049E+01, 5.915E-01, 5.725E-01,-4.575E-02,-4.941E-02
 5.399E+02, 5.967E-01, 2.579E+00, 5.936E+00, 8.105E+00, 9.756E+00, 1.110E+01, 1.144E+01, 6.269E-01, 6.071E-01,-8.066E-02,-8.450E-02
 5.999E+02, 8.794E-01, 3.203E+00, 6.833E+00, 9.035E+00, 1.070E+01, 1.200E+01, 1.234E+01, 6.586E-01, 6.381E-01,-1.117E-01,-1.161E-01
 6.599E+02, 1.195E+00, 3.823E+00, 7.698E+00, 9.931E+00, 1.160E+01, 1.286E+01, 1.322E+01, 6.874E-01, 6.664E-01,-1.400E-01,-1.449E-01
 7.199E+02, 1.548E+00, 4.429E+00, 8.523E+00, 1.081E+01, 1.245E+01, 1.372E+01, 1.406E+01, 7.142E-01, 6.923E-01,-1.660E-01,-1.715E-01
 7.799E+02, 1.918E+00, 5.036E+00, 9.331E+00, 1.165E+01, 1.331E+01, 1.454E+01, 1.486E+01, 7.390E-01, 7.165E-01,-1.903E-01,-1.963E-01
