s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
 2.280E+03, 1.913E+01, 2.325E+01, 2.772E+01, 2.981E+01, 3.100E+01, 3.162E+01, 3.190E+01, 3.298E-01, 2.013E-01
 2.340E+03, 1.983E+01, 2.388E+01, 2.832E+01, 3.039E+01, 3.159E+01, 3.220E+01, 3.248E+01, 3.315E-01, 1.996E-01
 2.400E+03, 2.051E+01, 2.452E+01, 2.892E+01, 3.098E+01, 3.216E+01, 3.277E+01, 3.304E+01, 3.332E-01, 1.979E-01
 2.460E+03, 2.119E+01, 2.516E+01, 2.952E+01, 3.156E+01, 3.273E+01, 3.333E+01, 3.360E+01, 3.350E-01, 1.961E-01
 2.520E+03, 2.187E+01, 2.579E+01, 3.012E+01, 3.214E+01, 3.329E+01, 3.388E+01, 3.415E+01, 3.367E-01, 1.943E-01
 2.580E+03, 2.255E+01, 2.643E+01, 3.070E+01, 3.271E+01, 3.385E+01, 3.443E+01, 3.470E+01, 3.385E-01, 1.926E-01
 2.640E+03, 2.322E+01, 2.706E+01, 3.127E+01, 3.326E+01, 3.440E+01, 3.498E+01, 3.525E+01, 3.402E-01, 1.909E-01
 2.700E+03, 2.390E+01, 2.767E+01, 3.182E+01, 3.380E+01, 3.494E+01, 3.553E+01, 3.580E+01, 3.418E-01, 1.892E-01
 2.760E+03, 2.456E+01, 2.828E+01, 3.237E+01, 3.433E+01, 3.548E+01, 3.608E+01, 3.635E+01, 3.436E-01, 1.875E-01
 2.820E+03, 2.521E+01, 2.888E+01, 3.293E+01, 3.487E+01, 3.602E+01, 3.663E+01, 3.690E+01, 3.453E-01, 1.857E-01
 2.880E+03, 2.586E+01, 2.948E+01, 3.348E+01, 3.541E+01, 3.656E+01, 3.716E+01, 3.743E+01, 3.471E-01, 1.839E-01
