s,%,%,%,%,%,%,%,m/s,m/s
Time,Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6,Sensor #7,TOPD_V,BOTTOMD_V
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.993E+01, 5.677E-17, 1.643E-12, 1.585E-08, 1.222E-05, 1.746E-02, 7.798E-02, 3.198E-01, 6.014E-02, 6.024E-02
 1.199E+02, 2.554E-10, 9.538E-08, 2.038E-05, 1.248E-03, 6.422E-02, 6.742E-01, 1.055E+00, 6.175E-02, 6.175E-02
 1.799E+02, 3.998E-07, 8.842E-05, 7.664E-03, 7.483E-02, 4.037E-01, 1.212E+00, 1.487E+00, 6.235E-02, 6.115E-02
 2.399E+02, 3.456E-05, 1.685E-03, 4.556E-02, 2.718E-01, 8.293E-01, 1.635E+00, 1.833E+00, 6.384E-02, 5.965E-02
 2.999E+02, 5.739E-04, 1.541E-02, 1.725E-01, 5.626E-01, 1.218E+00, 1.968E+00, 2.150E+00, 6.594E-02, 5.754E-02
 3.599E+02, 4.363E-03, 5.895E-02, 3.571E-01, 8.755E-01, 1.577E+00, 2.249E+00, 2.441E+00, 6.817E-02, 5.531E-02
 4.199E+02, 1.413E-02, 1.275E-01, 5.918E-01, 1.190E+00, 1.892E+00, 2.520E+00, 2.713E+00, 7.037E-02, 5.310E-02
 4.799E+02, 3.344E-02, 2.298E-01, 8.331E-01, 1.492E+00, 2.181E+00, 2.785E+00, 2.972E+00, 7.246E-02, 5.101E-02
 5.399E+02, 6.492E-02, 3.519E-01, 1.080E+00, 1.775E+00, 2.456E+00, 3.048E+00, 3.230E+00, 7.444E-02, 4.904E-02
 5.999E+02, 1.096E-01, 4.882E-01, 1.329E+00, 2.042E+00, 2.719E+00, 3.295E+00, 3.481E+00, 7.631E-02, 4.716E-02
 6.599E+02, 1.682E-01, 6.374E-01, 1.563E+00, 2.308E+00, 2.975E+00, 3.540E+00, 3.730E+00, 7.819E-02, 4.529E-02
 7.199E+02, 2.370E-01, 7.926E-01, 1.804E+00, 2.555E+00, 3.224E+00, 3.784E+00, 3.975E+00, 7.993E-02, 4.354E-02
 7.799E+02, 3.189E-01, 9.523E-01, 2.030E+00, 2.804E+00, 3.472E+00, 4.018E+00, 4.214E+00, 8.172E-02, 4.176E-02
 8.399E+02, 4.102E-01, 1.118E+00, 2.258E+00, 3.044E+00, 3.708E+00, 4.258E+00, 4.447E+00, 8.343E-02, 4.005E-02
 8.999E+02, 5.116E-01, 1.286E+00, 2.481E+00, 3.281E+00, 3.944E+00, 4.490E+00, 4.677E+00, 8.510E-02, 3.837E-02
