s,%,%,%,%,%,%,%,m/s,m/s,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","U TOPD_V","U BOTTOMD_V","B TOPD_V","B BOTTOMD_V"
 1.920E+03, 4.447E-01, 8.348E-01, 1.650E+00, 2.674E+00, 4.816E+00, 8.098E+00, 1.244E+01, 4.206E-01, 3.820E-01,-2.764E-01,-2.777E-01
 1.980E+03, 4.840E-01, 8.913E-01, 1.734E+00, 2.782E+00, 4.955E+00, 8.261E+00, 1.261E+01, 4.251E-01, 3.864E-01,-2.808E-01,-2.822E-01
 2.040E+03, 5.242E-01, 9.485E-01, 1.817E+00, 2.887E+00, 5.091E+00, 8.418E+00, 1.277E+01, 4.295E-01, 3.906E-01,-2.850E-01,-2.865E-01
 2.100E+03, 5.654E-01, 1.006E+00, 1.899E+00, 2.991E+00, 5.223E+00, 8.571E+00, 1.293E+01, 4.337E-01, 3.947E-01,-2.892E-01,-2.907E-01
 2.160E+03, 6.074E-01, 1.064E+00, 1.981E+00, 3.094E+00, 5.352E+00, 8.719E+00, 1.309E+01, 4.378E-01, 3.987E-01,-2.931E-01,-2.948E-01
 2.220E+03, 6.501E-01, 1.122E+00, 2.062E+00, 3.194E+00, 5.478E+00, 8.862E+00, 1.324E+01, 4.418E-01, 4.025E-01,-2.970E-01,-2.987E-01
 2.280E+03, 6.934E-01, 1.181E+00, 2.142E+00, 3.294E+00, 5.601E+00, 9.002E+00, 1.338E+01, 4.457E-01, 4.063E-01,-3.008E-01,-3.026E-01
 2.340E+03, 7.372E-01, 1.239E+00, 2.222E+00, 3.391E+00, 5.721E+00, 9.137E+00, 1.352E+01, 4.494E-01, 4.099E-01,-3.044E-01,-3.063E-01
 2.400E+03, 7.814E-01, 1.298E+00, 2.301E+00, 3.487E+00, 5.838E+00, 9.269E+00, 1.366E+01, 4.531E-01, 4.134E-01,-3.080E-01,-3.100E-01
 2.460E+03, 8.260E-01, 1.356E+00, 2.379E+00, 3.581E+00, 5.952E+00, 9.397E+00, 1.379E+01, 4.566E-01, 4.169E-01,-3.114E-01,-3.135E-01
 2.520E+03, 8.709E-01, 1.415E+00, 2.457E+00, 3.674E+00, 6.064E+00, 9.522E+00, 1.392E+01, 4.601E-01, 4.202E-01,-3.148E-01,-3.170E-01
 2.580E+03, 9.160E-01, 1.473E+00, 2.533E+00, 3.765E+00, 6.173E+00, 9.643E+00, 1.405E+01, 4.634E-01, 4.235E-01,-3.181E-01,-3.203E-01
 2.640E+03, 9.612E-01, 1.531E+00, 2.609E+00, 3.855E+00, 6.280E+00, 9.762E+00, 1.417E+01, 4.667E-01, 4.267E-01,-3.212E-01,-3.236E-01
 2.700E+03, 1.007E+00, 1.589E+00, 2.684E+00, 3.943E+00, 6.384E+00, 9.877E+00, 1.429E+01, 4.699E-01, 4.298E-01,-3.244E-01,-3.268E-01
 2.760E+03, 1.052E+00, 1.647E+00, 2.758E+00, 4.030E+00, 6.486E+00, 9.990E+00, 1.441E+01, 4.731E-01, 4.328E-01,-3.274E-01,-3.299E-01
 2.820E+03, 1.097E+00, 1.705E+00, 2.831E+00, 4.115E+00, 6.586E+00, 1.010E+01, 1.452E+01, 4.761E-01, 4.358E-01,-3.303E-01,-3.330E-01
 2.880E+03, 1.143E+00, 1.762E+00, 2.903E+00, 4.199E+00, 6.684E+00, 1.021E+01, 1.463E+01, 4.791E-01, 4.387E-01,-3.332E-01,-3.359E-01
 2.940E+03, 1.188E+00, 1.818E+00, 2.974E+00, 4.281E+00, 6.779E+00, 1.031E+01, 1.474E+01, 4.820E-01, 4.415E-01,-3.360E-01,-3.388E-01
 3.000E+03, 1.233E+00, 1.874E+00, 3.044E+00, 4.362E+00, 6.873E+00, 1.041E+01, 1.485E+01, 4.848E-01, 4.442E-01,-3.388E-01,-3.417E-01
 3.060E+03, 1.277E+00, 1.930E+00, 3.114E+00, 4.442E+00, 6.965E+00, 1.051E+01, 1.495E+01, 4.875E-01, 4.469E-01,-3.414E-01,-3.444E-01
 3.120E+03, 1.322E+00, 1.985E+00, 3.182E+00, 4.521E+00, 7.055E+00, 1.061E+01, 1.505E+01, 4.902E-01, 4.495E-01,-3.441E-01,-3.471E-01
 3.180E+03, 1.366E+00, 2.040E+00, 3.250E+00, 4.598E+00, 7.143E+00, 1.071E+01, 1.515E+01, 4.928E-01, 4.521E-01,-3.466E-01,-3.497E-01
 3.240E+03, 1.410E+00, 2.094E+00, 3.316E+00, 4.673E+00, 7.229E+00, 1.080E+01, 1.524E+01, 4.954E-01, 4.545E-01,-3.491E-01,-3.523E-01
 3.300E+03, 1.453E+00, 2.148E+00, 3.382E+00, 4.748E+00, 7.314E+00, 1.089E+01, 1.533E+01, 4.979E-01, 4.570E-01,-3.515E-01,-3.548E-01
 3.360E+03, 1.497E+00, 2.201E+00, 3.447E+00, 4.821E+00, 7.397E+00, 1.098E+01, 1.542E+01, 5.003E-01, 4.593E-01,-3.538E-01,-3.572E-01
 3.420E+03, 1.539E+00, 2.254E+00, 3.511E+00, 4.893E+00, 7.477E+00, 1.106E+01, 1.550E+01, 5.026E-01, 4.616E-01,-3.561E-01,-3.595E-01
 3.480E+03, 1.582E+00, 2.306E+00, 3.574E+00, 4.964E+00, 7.557E+00, 1.115E+01, 1.558E+01, 5.049E-01, 4.639E-01,-3.584E-01,-3.618E-01
 3.540E+03, 1.624E+00, 2.357E+00, 3.636E+00, 5.033E+00, 7.634E+00, 1.123E+01, 1.566E+01, 5.072E-01, 4.661E-01,-3.605E-01,-3.641E-01
 3.600E+03, 1.665E+00, 2.408E+00, 3.697E+00, 5.102E+00, 7.710E+00, 1.131E+01, 1.574E+01, 5.094E-01, 4.682E-01,-3.627E-01,-3.663E-01
 3.660E+03, 1.706E+00, 2.458E+00, 3.757E+00, 5.169E+00, 7.784E+00, 1.139E+01, 1.582E+01, 5.115E-01, 4.703E-01,-3.648E-01,-3.684E-01
 3.720E+03, 1.747E+00, 2.507E+00, 3.816E+00, 5.235E+00, 7.857E+00, 1.146E+01, 1.589E+01, 5.136E-01, 4.723E-01,-3.668E-01,-3.705E-01
 3.780E+03, 1.787E+00, 2.556E+00, 3.875E+00, 5.300E+00, 7.928E+00, 1.154E+01, 1.597E+01, 5.156E-01, 4.743E-01,-3.688E-01,-3.726E-01
 3.840E+03, 1.826E+00, 2.604E+00, 3.932E+00, 5.363E+00, 7.998E+00, 1.161E+01, 1.604E+01, 5.176E-01, 4.763E-01,-3.707E-01,-3.746E-01
 3.900E+03, 1.865E+00, 2.651E+00, 3.989E+00, 5.426E+00, 8.066E+00, 1.168E+01, 1.610E+01, 5.195E-01, 4.781E-01,-3.726E-01,-3.765E-01
 3.960E+03, 1.904E+00, 2.698E+00, 4.044E+00, 5.487E+00, 8.133E+00, 1.175E+01, 1.617E+01, 5.214E-01, 4.800E-01,-3.744E-01,-3.784E-01
 4.020E+03, 1.942E+00, 2.744E+00, 4.099E+00, 5.547E+00, 8.198E+00, 1.181E+01, 1.623E+01, 5.233E-01, 4.818E-01,-3.762E-01,-3.803E-01
 4.080E+03, 1.979E+00, 2.790E+00, 4.153E+00, 5.606E+00, 8.262E+00, 1.188E+01, 1.630E+01, 5.251E-01, 4.836E-01,-3.780E-01,-3.821E-01
 4.140E+03, 2.016E+00, 2.835E+00, 4.206E+00, 5.664E+00, 8.325E+00, 1.194E+01, 1.636E+01, 5.268E-01, 4.853E-01,-3.797E-01,-3.838E-01
 4.200E+03, 2.052E+00, 2.879E+00, 4.257E+00, 5.721E+00, 8.386E+00, 1.201E+01, 1.642E+01, 5.286E-01, 4.870E-01,-3.814E-01,-3.856E-01
