s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,
Time,"O2Rear_FDS_RI=10","CO2Rear_FDS_RI=10","CORear_FDS_RI=10","UHRear_FDS_RI=10","H2ORear_FDS_RI=10","O2Front_FDS_RI=10","CO2Front_FDS_RI=10","COFront_FDS_RI=10","UHFront_FDS_RI=10","H2OFront_FDS_RI=10","TRSampA_FDS_RI=10","TRSampBB_FDS_RI=10","TFSampA_FDS_RI=10","TFSampBB_FDS_RI=10","ITER_RI=10"
 0.0000000E+000, 2.0782285E-001, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 8.2220226E-003, 2.0782285E-001, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 8.2220226E-003, 2.0000000E+001, 1.9999623E+001, 2.0000000E+001, 1.9999500E+001, 0.0000000E+000
 1.0010652E+001, 1.1279621E-001, 3.9205492E-002, 3.5128665E-003, 2.1523738E-003, 9.5927906E-002, 1.2209657E-001, 3.2036251E-002, 5.4264481E-003, 1.0389277E-002, 8.7232541E-002, 4.5540717E+002, 2.9221623E+002, 6.3016533E+002, 4.7009308E+002, 6.4146423E-001
 2.0008910E+001, 1.3325336E-002, 7.8744069E-002, 7.1602569E-003, 1.6359168E-002, 1.8537585E-001, 8.9489564E-004, 6.7563438E-002, 1.8015203E-002, 6.3367263E-002, 1.9480380E-001, 7.1952204E+002, 6.9302176E+002, 9.6852202E+002, 9.0448390E+002, 1.0000000E+000
 3.0005988E+001, 1.0372078E-006, 6.6003309E-002, 1.8374435E-002, 7.9831483E-002, 1.9263335E-001, 1.0535073E-003, 5.9362967E-002, 2.3387858E-002, 8.4614735E-002, 1.9417184E-001, 6.7803419E+002, 6.8222058E+002, 9.4474622E+002, 8.9156972E+002, 1.0000000E+000
 4.0010391E+001, 6.9296728E-007, 6.6417089E-002, 1.8490680E-002, 7.4051836E-002, 1.9384418E-001, 4.3994321E-003, 5.7302449E-002, 2.1962836E-002, 1.0757367E-001, 1.8568680E-001, 6.7986890E+002, 6.7125156E+002, 9.9498242E+002, 9.3987349E+002, 1.0000000E+000
 5.0001420E+001, 1.1239139E-005, 6.6031255E-002, 1.9305494E-002, 6.8259382E-002, 1.9552481E-001, 2.1951277E-003, 5.5878022E-002, 2.3372464E-002, 1.1621487E-001, 1.8694701E-001, 7.0593230E+002, 7.0334014E+002, 1.0313885E+003, 9.5983187E+002, 1.0000000E+000
 6.0004837E+001, 2.0982546E-005, 6.7210759E-002, 1.9126408E-002, 5.7888168E-002, 1.9742344E-001, 4.0393992E-004, 5.5698772E-002, 2.2949029E-002, 1.3180172E-001, 1.8522324E-001, 7.4915429E+002, 7.4034772E+002, 1.0403578E+003, 9.8917423E+002, 1.0000000E+000
 7.0010552E+001, 1.2407633E-006, 6.3635388E-002, 2.0692726E-002, 7.6937235E-002, 1.9478296E-001, 1.5631850E-003, 5.5706260E-002, 2.3154320E-002, 1.2369170E-001, 1.8590484E-001, 7.5748769E+002, 7.5519675E+002, 1.0506338E+003, 9.9563791E+002, 1.0000000E+000
 8.0005217E+001, 8.6782104E-007, 6.4860247E-002, 1.9919491E-002, 7.3299172E-002, 1.9496719E-001, 1.4686140E-003, 5.2156365E-002, 2.4435888E-002, 1.4626347E-001, 1.8244796E-001, 7.8139428E+002, 7.7613773E+002, 1.1081320E+003, 1.0301213E+003, 1.0000000E+000
 9.0009471E+001, 9.5457168E-006, 6.8469172E-002, 1.8910109E-002, 4.7232022E-002, 1.9937153E-001, 2.1688342E-003, 5.4977984E-002, 2.4777443E-002, 1.0892470E-001, 1.8935705E-001, 7.9043965E+002, 7.8762016E+002, 1.0566355E+003, 1.0083290E+003, 1.0000000E+000
 1.0000333E+002, 2.9362259E-006, 6.4885268E-002, 2.0553596E-002, 6.5377909E-002, 1.9694866E-001, 4.2109212E-003, 4.8239972E-002, 2.4076484E-002, 1.7890783E-001, 1.7333976E-001, 8.0590375E+002, 8.0472676E+002, 1.0871696E+003, 1.0323292E+003, 1.0000000E+000
 1.1000266E+002, 3.2665957E-007, 6.5717956E-002, 1.9680929E-002, 6.7100395E-002, 1.9601789E-001, 8.1128757E-005, 4.5557057E-002, 2.9674900E-002, 1.5958454E-001, 1.8467080E-001, 8.1815975E+002, 8.1639034E+002, 1.0891692E+003, 1.0445655E+003, 1.0000000E+000
 1.2000000E+002, 3.2904181E-005, 5.7116121E-002, 2.3367875E-002, 1.1352753E-001, 1.8942045E-001, 1.0844593E-003, 4.7646518E-002, 2.7890074E-002, 1.5418409E-001, 1.8360355E-001, 8.4669102E+002, 8.3984200E+002, 1.1140701E+003, 1.0594332E+003, 1.0000000E+000
