s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,
Time,"O2Rear_FDS_RI=20","CO2Rear_FDS_RI=20","CORear_FDS_RI=20","UHRear_FDS_RI=20","H2ORear_FDS_RI=20","O2Front_FDS_RI=20","CO2Front_FDS_RI=20","COFront_FDS_RI=20","UHFront_FDS_RI=20","H2OFront_FDS_RI=20","TRSampA_FDS_RI=20","TRSampBB_FDS_RI=20","TFSampA_FDS_RI=20","TFSampBB_FDS_RI=20","ITER_RI=20"
 0.0000000E+000, 2.0782285E-001, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 8.2220226E-003, 2.0782285E-001, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 8.2220226E-003, 2.0000000E+001, 1.9999650E+001, 2.0000000E+001, 1.9999717E+001, 0.0000000E+000
 1.0001811E+001, 1.9514984E-001, 6.1247291E-003, 2.7993202E-009, 1.8170985E-009, 1.9654929E-002, 1.9829603E-001, 4.7002198E-003, 3.8466270E-008, 1.6663613E-008, 1.6816630E-002, 7.5632954E+001, 4.2680359E+001, 7.4106791E+001, 4.8347907E+001, 4.3469534E-001
 2.0002621E+001, 1.6359789E-001, 2.0410183E-002, 3.2376477E-010, 1.1958361E-010, 4.8119388E-002, 1.5360222E-001, 2.4935588E-002, 1.9941978E-007, 2.8435847E-008, 5.7137066E-002, 3.2062024E+002, 2.4318915E+002, 2.9251994E+002, 2.1679895E+002, 1.0000000E+000
 3.0001529E+001, 1.3914679E-001, 3.1480649E-002, 2.3865086E-009, 9.5099992E-010, 7.0177838E-002, 1.4255799E-001, 2.9935672E-002, 4.4312678E-007, 2.2217035E-007, 6.7100696E-002, 3.9095849E+002, 3.5983521E+002, 3.8560763E+002, 3.4737626E+002, 1.0000000E+000
 4.0006043E+001, 1.2792396E-001, 3.6561897E-002, 8.3535050E-010, 1.9032651E-010, 8.0302470E-002, 1.4061697E-001, 3.0815004E-002, 9.2311982E-009, 2.1363726E-009, 6.8851529E-002, 4.4502963E+002, 4.0785110E+002, 4.1342900E+002, 3.9803222E+002, 1.0000000E+000
 5.0004615E+001, 1.2429159E-001, 3.8206482E-002, 7.6121182E-009, 2.0307583E-009, 8.3579404E-002, 1.3439855E-001, 3.3630405E-002, 5.0807648E-008, 1.3111169E-008, 7.4461475E-002, 4.3834485E+002, 4.1378758E+002, 4.1965263E+002, 3.9454019E+002, 1.0000000E+000
 6.0003973E+001, 1.1559559E-001, 4.2143681E-002, 4.1286074E-009, 1.3650721E-009, 9.1424456E-002, 1.3468790E-001, 3.3499453E-002, 4.8606518E-009, 1.5134260E-009, 7.4200412E-002, 4.5357697E+002, 4.3255321E+002, 4.6487757E+002, 4.3901895E+002, 1.0000000E+000
 7.0002767E+001, 1.1869151E-001, 4.0741979E-002, 4.8009435E-010, 9.0413712E-011, 8.8631487E-002, 1.3610067E-001, 3.2859778E-002, 3.1584832E-008, 7.1721724E-009, 7.2925906E-002, 4.4527134E+002, 4.2410760E+002, 4.1312378E+002, 4.0883049E+002, 1.0000000E+000
 8.0003807E+001, 1.2199206E-001, 3.9246514E-002, 9.5784699E-007, 1.9428374E-007, 8.5654524E-002, 1.3576398E-001, 3.3012214E-002, 3.1960532E-008, 8.6716986E-009, 7.3229644E-002, 4.5617024E+002, 4.3122044E+002, 4.2558971E+002, 4.1562727E+002, 1.0000000E+000
 9.0004356E+001, 1.1781942E-001, 4.1136827E-002, 1.1160703E-009, 1.0086807E-009, 8.9418241E-002, 1.4314227E-001, 2.9671614E-002, 4.1889154E-008, 1.3914637E-008, 6.6573365E-002, 4.5839978E+002, 4.3901159E+002, 4.1403940E+002, 4.0724479E+002, 1.0000000E+000
 1.0000078E+002, 1.2178040E-001, 3.9343453E-002, 1.3376955E-010, 3.8952725E-011, 8.5844854E-002, 1.4820662E-001, 2.7378716E-002, 1.1717988E-008, 4.0164350E-009, 6.2004563E-002, 4.4782008E+002, 4.3283561E+002, 4.0446515E+002, 4.0042714E+002, 1.0000000E+000
 1.1000638E+002, 1.1857795E-001, 4.0793394E-002, 1.5312992E-010, 7.3296503E-011, 8.8733932E-002, 1.3719459E-001, 3.2362145E-002, 2.0048793E-006, 1.0574057E-006, 7.1940169E-002, 4.3832295E+002, 4.2144871E+002, 4.6747065E+002, 4.3127412E+002, 1.0000000E+000
 1.2000000E+002, 1.2332210E-001, 3.8645429E-002, 3.3318363E-009, 7.6902152E-010, 8.4454015E-002, 1.3639294E-001, 3.2727477E-002, 8.7815092E-009, 4.1121474E-009, 7.2662222E-002, 4.6833096E+002, 4.4042425E+002, 4.5095534E+002, 4.4920067E+002, 1.0000000E+000
