s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,
Time,"O2Rear_FDS_RI=10","CO2Rear_FDS_RI=10","CORear_FDS_RI=10","UHRear_FDS_RI=10","H2ORear_FDS_RI=10","O2Front_FDS_RI=10","CO2Front_FDS_RI=10","COFront_FDS_RI=10","UHFront_FDS_RI=10","H2OFront_FDS_RI=10","TRSampA_FDS_RI=10","TRSampBB_FDS_RI=10","TFSampA_FDS_RI=10","TFSampBB_FDS_RI=10","ITER_RI=10"
 0.0000000E+000, 2.0782285E-001, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 8.2220226E-003, 2.0782285E-001, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 8.2220226E-003, 2.0000000E+001, 1.9999623E+001, 2.0000000E+001, 1.9999500E+001, 0.0000000E+000
 1.0002635E+001, 1.2295383E-001, 3.5908805E-002, 2.3030583E-003, 2.9576901E-003, 8.5780363E-002, 1.4491108E-001, 2.7408010E-002, 1.2199361E-003, 7.7163323E-004, 6.5659790E-002, 4.2322207E+002, 2.9136818E+002, 4.2617748E+002, 2.9434046E+002, 3.1260163E-001
 2.0010226E+001, 4.4549362E-002, 6.4680427E-002, 7.2503233E-003, 1.4496865E-002, 1.5763321E-001, 3.4382644E-002, 6.4365334E-002, 1.0801020E-002, 2.3734598E-002, 1.6742224E-001, 6.6033630E+002, 6.2370891E+002, 8.8370816E+002, 8.1434969E+002, 5.8393901E-001
 3.0001875E+001, 2.5686210E-002, 6.8824714E-002, 1.0411537E-002, 2.2906490E-002, 1.7516375E-001, 4.0296817E-003, 6.2295330E-002, 2.2422482E-002, 5.0957267E-002, 1.9741462E-001, 7.1523984E+002, 7.0425716E+002, 9.8085818E+002, 9.1804523E+002, 8.7577113E-001
 4.0002653E+001, 2.4332694E-002, 6.2078050E-002, 1.4675404E-002, 4.9383498E-002, 1.7411520E-001, 7.9848391E-003, 6.1243728E-002, 2.0088011E-002, 7.1285008E-002, 1.8827377E-001, 6.5341875E+002, 6.4662957E+002, 9.6757184E+002, 9.1441720E+002, 8.1540321E-001
 5.0005776E+001, 1.4158713E-002, 6.4193673E-002, 1.6544394E-002, 5.3208247E-002, 1.8382157E-001, 4.2529655E-003, 5.6098709E-002, 2.3410806E-002, 1.0355540E-001, 1.8759429E-001, 7.2524530E+002, 7.1172130E+002, 1.0335128E+003, 9.6429508E+002, 9.8703584E-001
 6.0002192E+001, 1.0314805E-002, 7.0121246E-002, 1.3804614E-002, 4.1928517E-002, 1.8762565E-001, 3.4022964E-003, 5.5754965E-002, 2.5219892E-002, 8.9454761E-002, 1.9235691E-001, 7.5635296E+002, 7.4452641E+002, 1.0382492E+003, 9.8366222E+002, 1.0000000E+000
 7.0006236E+001, 1.0379948E-002, 7.2723948E-002, 1.2287725E-002, 3.2360725E-002, 1.8840336E-001, 2.0531459E-003, 6.2840233E-002, 2.2258250E-002, 5.6642092E-002, 1.9797300E-001, 7.7871087E+002, 7.7208399E+002, 1.0673685E+003, 1.0042793E+003, 1.0000000E+000
 8.0005078E+001, 4.5021027E-003, 7.0769771E-002, 1.5827190E-002, 3.8529591E-002, 1.9491614E-001, 6.0279050E-003, 5.2617038E-002, 2.5446226E-002, 1.0735565E-001, 1.8663946E-001, 7.8119607E+002, 7.7807772E+002, 1.0663122E+003, 1.0109983E+003, 9.6460605E-001
 9.0008612E+001, 3.4377098E-003, 6.9618611E-002, 1.6853651E-002, 4.3436463E-002, 1.9561712E-001, 9.2935032E-004, 5.6104592E-002, 2.4565162E-002, 1.0550005E-001, 1.9100050E-001, 7.7673584E+002, 7.7607979E+002, 1.0558912E+003, 1.0055495E+003, 1.0000000E+000
 1.0000096E+002, 2.7343051E-003, 6.9898065E-002, 1.6590100E-002, 4.7027551E-002, 1.9536888E-001, 1.0356327E-002, 6.1037769E-002, 1.9591087E-002, 6.8092834E-002, 1.8641968E-001, 7.9390498E+002, 7.9047886E+002, 1.0455739E+003, 9.9739052E+002, 9.3396115E-001
 1.1000708E+002, 2.7143787E-003, 7.0252696E-002, 1.6941557E-002, 3.9131432E-002, 1.9717224E-001, 1.0011302E-003, 5.6138098E-002, 2.4051949E-002, 1.1099016E-001, 1.8951076E-001, 8.1491158E+002, 8.1365144E+002, 1.0307959E+003, 9.9509027E+002, 1.0000000E+000
 1.2000000E+002, 1.8781808E-003, 7.5352171E-002, 1.4200222E-002, 2.2221990E-002, 1.9936364E-001, 6.8933407E-003, 6.1117765E-002, 2.1140830E-002, 6.5153068E-002, 1.9117759E-001, 8.3335275E+002, 8.2801434E+002, 1.1042656E+003, 1.0383458E+003, 1.0000000E+000
