s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,
Time,"O2Rear_FDS_RI=20","CO2Rear_FDS_RI=20","CORear_FDS_RI=20","UHRear_FDS_RI=20","H2ORear_FDS_RI=20","O2Front_FDS_RI=20","CO2Front_FDS_RI=20","COFront_FDS_RI=20","UHFront_FDS_RI=20","H2OFront_FDS_RI=20","TRSampA_FDS_RI=20","TRSampBB_FDS_RI=20","TFSampA_FDS_RI=20","TFSampBB_FDS_RI=20","ITER_RI=20"
 0.0000000E+000, 2.0782285E-001, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 8.2220226E-003, 2.0782285E-001, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 8.2220226E-003, 2.0000000E+001, 1.9999650E+001, 2.0000000E+001, 1.9999717E+001, 0.0000000E+000
 1.0005361E+001, 1.1838483E-001, 3.7241207E-002, 2.7179962E-003, 5.7466853E-003, 8.9639827E-002, 1.0972770E-001, 4.0004587E-002, 3.7127574E-003, 5.9887380E-003, 9.8081861E-002, 3.9202349E+002, 2.4515115E+002, 6.1578243E+002, 4.5634820E+002, 6.3689061E-001
 2.0001808E+001, 1.0482183E-002, 8.2836780E-002, 4.8245466E-003, 1.4831655E-002, 1.8664448E-001, 3.3346324E-003, 7.1010714E-002, 1.4125011E-002, 6.2100225E-002, 1.9019383E-001, 7.2523870E+002, 6.9589867E+002, 9.3900570E+002, 8.9131979E+002, 1.0000000E+000
 3.0002956E+001, 3.3225556E-005, 7.4991578E-002, 1.2527932E-002, 5.5045517E-002, 1.9346207E-001, 3.9090573E-003, 6.5076145E-002, 1.5582163E-002, 1.0458856E-001, 1.8235550E-001, 7.0191474E+002, 6.8864193E+002, 9.4688368E+002, 8.9170999E+002, 1.0000000E+000
 4.0003671E+001, 7.7433295E-006, 7.2061716E-002, 1.3776990E-002, 7.1115693E-002, 1.9119307E-001, 2.0807949E-003, 6.5594400E-002, 1.6169971E-002, 1.0077621E-001, 1.8515243E-001, 7.0929518E+002, 6.9886364E+002, 1.0141207E+003, 9.4780254E+002, 1.0000000E+000
 5.0000383E+001, 1.3787835E-009, 6.8381358E-002, 1.5289955E-002, 9.1861828E-002, 1.8817319E-001, 1.8703835E-003, 6.5633079E-002, 1.7023552E-002, 9.1081992E-002, 1.8782248E-001, 7.1995483E+002, 7.1226922E+002, 1.0266934E+003, 9.6265494E+002, 1.0000000E+000
 6.0000147E+001, 3.5750912E-008, 6.8660286E-002, 1.5887155E-002, 8.1707942E-002, 1.9056824E-001, 1.5924943E-003, 5.9181754E-002, 1.8609516E-002, 1.4157080E-001, 1.7927527E-001, 7.4887647E+002, 7.3748675E+002, 1.0451018E+003, 9.7940842E+002, 1.0000000E+000
 7.0002927E+001, 1.7274524E-010, 6.7642530E-002, 1.6298212E-002, 8.7523371E-002, 1.8971089E-001, 2.2425573E-004, 5.7007843E-002, 2.0420868E-002, 1.4929387E-001, 1.8023528E-001, 7.6575298E+002, 7.5520731E+002, 1.0743030E+003, 1.0132215E+003, 1.0000000E+000
 8.0002056E+001, 8.6486341E-010, 6.7403207E-002, 1.6590733E-002, 8.6528958E-002, 1.9010529E-001, 4.6004747E-003, 6.3107398E-002, 1.5851477E-002, 1.1886519E-001, 1.7912162E-001, 7.5335413E+002, 7.5165420E+002, 1.0133415E+003, 9.6732078E+002, 1.0000000E+000
 9.0003458E+001, 2.8414971E-010, 6.3823234E-002, 1.7589420E-002, 1.1237706E-001, 1.8572869E-001, 2.4976788E-004, 5.8354486E-002, 2.0912616E-002, 1.2898865E-001, 1.8452203E-001, 7.7559239E+002, 7.7278847E+002, 1.0756866E+003, 1.0073206E+003, 1.0000000E+000
 1.0000426E+002, 2.4492367E-010, 6.1258142E-002, 1.7964134E-002, 1.3500784E-001, 1.8155558E-001, 6.5183216E-003, 6.0649069E-002, 1.7197063E-002, 1.1946796E-001, 1.7819249E-001, 7.8410958E+002, 7.8133775E+002, 1.1249647E+003, 1.0390869E+003, 1.0000000E+000
 1.1000332E+002, 1.9156568E-011, 5.7985847E-002, 1.8563501E-002, 1.6241474E-001, 1.7660117E-001, 5.2317358E-005, 5.3556263E-002, 2.1046183E-002, 1.7910940E-001, 1.7498232E-001, 7.9598922E+002, 7.9188021E+002, 1.0648112E+003, 1.0087031E+003, 1.0000000E+000
 1.2000000E+002, 5.6417269E-011, 5.8178353E-002, 1.8969397E-002, 1.5548261E-001, 1.7823507E-001, 1.9805568E-003, 6.2993285E-002, 1.8616670E-002, 9.9283006E-002, 1.8720615E-001, 8.0543071E+002, 8.0386307E+002, 1.0701524E+003, 1.0190441E+003, 1.0000000E+000
