HRR, O2Rear_FDS_RI_5, CO2Rear_FDS_RI_5, CORear_FDS_RI_5, UHRear_FDS_RI_5, H2ORear_FDS_RI_5, O2Front_FDS_RI_5, CO2Front_FDS_RI_5, COFront_FDS_RI_5, UHFront_FDS_RI_5, H2OFront_FDS_RI_5, TRSampA_FDS_RI_5, TRSampBB_FDS_RI_5, TFSampA_FDS_RI_5, TFSampBB_FDS_RI_5, ITER_RI=5, O2Rear_FDS_RI_10, CO2Rear_FDS_RI_10, CORear_FDS_RI_10, UHRear_FDS_RI_10, H2ORear_FDS_RI_10, O2Front_FDS_RI_10, CO2Front_FDS_RI_10, COFront_FDS_RI_10, UHFront_FDS_RI_10, H2OFront_FDS_RI_10, TRSampA_FDS_RI_10, TRSampBB_FDS_RI_10, TFSampA_FDS_RI_10, TFSampBB_FDS_RI_10, ITER_RI=10, O2Rear_FDS_RI_20, CO2Rear_FDS_RI_20, CORear_FDS_RI_20, UHRear_FDS_RI_20, H2ORear_FDS_RI_20, O2Front_FDS_RI_20, CO2Front_FDS_RI_20, COFront_FDS_RI_20, UHFront_FDS_RI_20, H2OFront_FDS_RI_20, TRSampA_FDS_RI_20, TRSampBB_FDS_RI_20, TFSampA_FDS_RI_20, TFSampBB_FDS_RI_20, ITER_RI=20
50.000000, 0.169477, 0.016934, 0.000000, 0.000000, 0.033948, 0.174035, 0.014777, 0.000000, 0.000000, 0.029541, 320.454660, 303.165510, 286.815420, 282.681740, 1.000000, 0.156941, 0.022702, 0.000000, 0.000000, 0.045490, 0.166999, 0.018113, 0.000000, 0.000000, 0.036154, 366.863770, 348.172400, 319.924220, 313.552670, 1.000000, 0.145035, 0.028139, 0.000000, 0.000000, 0.056350, 0.159445, 0.021678, 0.000000, 0.000000, 0.043362, 390.393080, 368.131050, 382.411870, 362.574790, 1.000000
 75.000000, 0.147412, 0.026802, 0.000000, 0.000000, 0.053765, 0.155730, 0.022643, 0.000003, 0.000002, 0.045264, 456.822610, 423.500340, 398.878910, 370.296740, 1.000000, 0.138617, 0.031046, 0.000000, 0.000000, 0.062153, 0.144931, 0.028140, 0.000002, 0.000001, 0.056300, 440.484200, 419.206710, 437.194030, 418.229080, 1.000000, 0.119443, 0.039774, 0.000000, 0.000000, 0.079602, 0.140359, 0.030350, 0.000001, 0.000000, 0.060691, 447.708080, 435.648490, 442.428500, 437.738460, 1.000000
 100.000000, 0.123447, 0.037888, 0.000001, 0.000000, 0.075864, 0.132958, 0.032285, 0.000037, 0.000014, 0.064533, 542.124420, 497.190830, 490.000580, 473.439900, 1.000000, 0.097705, 0.049177, 0.000004, 0.000001, 0.098476, 0.117381, 0.040079, 0.000458, 0.000104, 0.081025, 581.156020, 552.423090, 585.504380, 541.520030, 1.000000, 0.097053, 0.049977, 0.000000, 0.000000, 0.099968, 0.122708, 0.038284, 0.000005, 0.000001, 0.076523, 596.225700, 564.239290, 610.104300, 594.723460, 1.000000
 150.000000, 0.072829, 0.060798, 0.000002, 0.000001, 0.121669, 0.103863, 0.045741, 0.000857, 0.000267, 0.092520, 636.031320, 606.192080, 649.505140, 622.945650, 1.000000, 0.040451, 0.074829, 0.000269, 0.000126, 0.151026, 0.088051, 0.053016, 0.000822, 0.000251, 0.107941, 685.264110, 649.929720, 598.177850, 627.870420, 1.000000, 0.003156, 0.089829, 0.002950, 0.001730, 0.186146, 0.080724, 0.055194, 0.002358, 0.002314, 0.115020, 687.238320, 663.542600, 786.595730, 748.697040, 1.000000
 200.000000, 0.034597, 0.076704, 0.001180, 0.000203, 0.156825, 0.046294, 0.061152, 0.012389, 0.008927, 0.146403, 875.414820, 799.775030, 994.484470, 893.544730, 1.000000, 0.002789, 0.086772, 0.006695, 0.003732, 0.188003, 0.054109, 0.065905, 0.003765, 0.001416, 0.139550, 757.731190, 721.891270, 797.694140, 773.162190, 1.000000, 0.000678, 0.086172, 0.007886, 0.010109, 0.188581, 0.041052, 0.065640, 0.010352, 0.011624, 0.152113, 755.421070, 732.132740, 961.028420, 901.700270, 1.000000
 300.000000, 0.000229, 0.078926, 0.016420, 0.010186, 0.192588, 0.046253, 0.069010, 0.004501, 0.002116, 0.146714, 786.512580, 771.963350, 1002.785700, 936.245070, 1.000000, 0.000014, 0.071777, 0.022161, 0.037452, 0.188937, 0.002647, 0.057902, 0.034477, 0.066957, 0.185444, 815.095520, 796.954330, 1128.837900, 1005.260600, 1.000000, 0.000009, 0.075607, 0.017354, 0.040640, 0.186413, 0.018514, 0.068669, 0.015851, 0.038028, 0.169523, 770.494630, 766.600830, 1023.840400, 970.279930, 1.000000
 400.000000, 0.000843, 0.073279, 0.019971, 0.026328, 0.189127, 0.024650, 0.066195, 0.017433, 0.023577, 0.166555, 878.816870, 837.393730, 1105.078600, 998.980010, 1.000000, 0.000002, 0.068768, 0.023802, 0.053658, 0.186157, 0.003762, 0.057929, 0.032400, 0.080426, 0.180909, 806.619140, 794.336070, 1146.068600, 1022.046300, 1.000000, 0.009307, 0.082710, 0.007029, 0.012003, 0.179895, 0.004874, 0.071822, 0.018390, 0.050192, 0.180466, 789.508000, 743.661750, 964.058090, 866.613610, 1.000000
 500.000000, 0.000005, 0.065166, 0.028693, 0.045730, 0.189434, 0.011587, 0.057211, 0.030339, 0.072910, 0.174520, 840.022430, 825.063160, 1257.891800, 1081.923300, 1.000000, 0.000341, 0.067307, 0.025999, 0.047964, 0.187458, 0.013451, 0.066505, 0.020307, 0.047661, 0.173481, 823.549830, 811.628750, 1057.967600, 977.545520, 1.000000, 0.000003, 0.065547, 0.023569, 0.089670, 0.179367, 0.006412, 0.064418, 0.020213, 0.106173, 0.169258, 813.514350, 803.381400, 1125.002100, 1002.123600, 1.000000
 600.000000, 0.000215, 0.068506, 0.025294, 0.032747, 0.190008, 0.005725, 0.068254, 0.022675, 0.039925, 0.183111, 867.387400, 845.306650, 1134.592200, 1016.731400, 1.000000, 0.000034, 0.068057, 0.024305, 0.054295, 0.185826, 0.000434, 0.041822, 0.036837, 0.231423, 0.158015, 840.331270, 822.863550, 1201.105300, 1052.720600, 1.000000, 0.000000, 0.061531, 0.024449, 0.125570, 0.172957, 0.001131, 0.055280, 0.026376, 0.173749, 0.163527, 802.039520, 797.955060, 1096.435400, 1004.168400, 1.000000
 
