s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,
Time,"O2Rear_FDS_RI=10","CO2Rear_FDS_RI=10","CORear_FDS_RI=10","UHRear_FDS_RI=10","H2ORear_FDS_RI=10","O2Front_FDS_RI=10","CO2Front_FDS_RI=10","COFront_FDS_RI=10","UHFront_FDS_RI=10","H2OFront_FDS_RI=10","TRSampA_FDS_RI=10","TRSampBB_FDS_RI=10","TFSampA_FDS_RI=10","TFSampBB_FDS_RI=10","ITER_RI=10"
 0.0000000E+000, 2.0782285E-001, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 8.2220226E-003, 2.0782285E-001, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 8.2220226E-003, 2.0000000E+001, 1.9999623E+001, 2.0000000E+001, 1.9999500E+001, 0.0000000E+000
 1.0009083E+001, 1.7486761E-001, 1.5127498E-002, 1.4989529E-004, 9.9789963E-005, 3.8035297E-002, 1.6171627E-001, 1.9767944E-002, 1.2719455E-003, 4.7633790E-004, 5.0592376E-002, 2.1184575E+002, 1.2469327E+002, 2.2307130E+002, 1.2607886E+002, 5.1668227E-002
 2.0004666E+001, 1.2311356E-001, 3.8164874E-002, 4.7941096E-004, 3.0457944E-004, 8.4909975E-002, 1.0396493E-001, 4.5937277E-002, 1.2305261E-003, 7.4445662E-004, 1.0261174E-001, 5.0724574E+002, 4.3026812E+002, 5.4161242E+002, 4.9171270E+002, 0.0000000E+000
 3.0007168E+001, 8.5048369E-002, 5.5082262E-002, 7.3507982E-004, 5.7663970E-004, 1.1937170E-001, 7.0580425E-002, 6.1262972E-002, 1.0647159E-003, 5.1556421E-004, 1.3266098E-001, 5.5731386E+002, 5.2666083E+002, 6.0287050E+002, 5.7984488E+002, 3.4617974E-002
 4.0006584E+001, 6.9981934E-002, 6.0039730E-002, 2.2914271E-003, 1.5379456E-003, 1.3383864E-001, 7.8027248E-002, 5.7498096E-002, 1.4009891E-003, 6.2280524E-004, 1.2615154E-001, 5.6392541E+002, 5.3969743E+002, 5.6884373E+002, 5.7732472E+002, 3.0693331E-002
 5.0010054E+001, 6.5819074E-002, 6.0852480E-002, 3.1606341E-003, 2.4028734E-003, 1.3801853E-001, 7.3050146E-002, 5.9032701E-002, 1.9683217E-003, 1.3896391E-003, 1.3087902E-001, 5.6680666E+002, 5.4754197E+002, 6.8746495E+002, 6.2885556E+002, 7.2824794E-002
 6.0009942E+001, 5.8152865E-002, 6.3249758E-002, 4.0577467E-003, 2.9487284E-003, 1.4544045E-001, 6.5997375E-002, 6.1177484E-002, 2.8740700E-003, 1.5641539E-003, 1.3782610E-001, 5.9115578E+002, 5.6912403E+002, 6.7279502E+002, 6.6090660E+002, 6.2806497E-002
 7.0000676E+001, 5.6801172E-002, 6.5591226E-002, 2.6330227E-003, 1.8240887E-003, 1.4590691E-001, 6.3435748E-002, 6.3911939E-002, 1.5745923E-003, 5.6785659E-004, 1.3944452E-001, 5.9881291E+002, 5.7809388E+002, 7.1509107E+002, 6.8572638E+002, 1.5967896E-001
 8.0006944E+001, 6.2677690E-002, 6.2884095E-002, 2.6944373E-003, 1.5754546E-003, 1.4069604E-001, 7.3877060E-002, 5.8905369E-002, 1.7384113E-003, 1.5471363E-003, 1.2994517E-001, 6.0269688E+002, 5.8647188E+002, 6.2376050E+002, 6.3183980E+002, 0.0000000E+000
 9.0002059E+001, 5.9593722E-002, 6.3795726E-002, 2.9992881E-003, 3.0291079E-003, 1.4340195E-001, 9.3697725E-002, 5.1051256E-002, 8.4670524E-004, 4.4697321E-004, 1.1167033E-001, 6.1523977E+002, 5.9463244E+002, 6.4761398E+002, 6.3616760E+002, 1.5891887E-002
 1.0001360E+002, 5.9944260E-002, 6.4401205E-002, 2.4318933E-003, 1.7828927E-003, 1.4294208E-001, 9.8202816E-002, 4.9026484E-002, 8.3979341E-004, 3.7207703E-004, 1.0761602E-001, 5.9582489E+002, 5.8963691E+002, 6.6777928E+002, 6.5940709E+002, 1.1725420E-001
 1.1001329E+002, 6.4955154E-002, 6.1815384E-002, 2.6533954E-003, 2.4679977E-003, 1.3843873E-001, 7.8949643E-002, 5.8119055E-002, 5.2575388E-004, 1.8452890E-004, 1.2480741E-001, 5.9739004E+002, 5.8413195E+002, 6.7322705E+002, 6.6968569E+002, 2.8934133E-002
 1.2000000E+002, 6.8109768E-002, 6.1326138E-002, 1.8748385E-003, 1.9175165E-003, 1.3516880E-001, 9.7836159E-002, 4.9823417E-002, 3.0346851E-004, 1.6167194E-004, 1.0762167E-001, 6.2888254E+002, 6.0581544E+002, 6.8433319E+002, 6.6584011E+002, 1.1358370E-001
