s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,
Time,"O2Rear_FDS_RI=10","CO2Rear_FDS_RI=10","CORear_FDS_RI=10","UHRear_FDS_RI=10","H2ORear_FDS_RI=10","O2Front_FDS_RI=10","CO2Front_FDS_RI=10","COFront_FDS_RI=10","UHFront_FDS_RI=10","H2OFront_FDS_RI=10","TRSampA_FDS_RI=10","TRSampBB_FDS_RI=10","TFSampA_FDS_RI=10","TFSampBB_FDS_RI=10","ITER_RI=10"
 0.0000000E+000, 2.0782285E-001, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 8.2220226E-003, 2.0782285E-001, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 8.2220226E-003, 2.0000000E+001, 1.9999623E+001, 2.0000000E+001, 1.9999500E+001, 0.0000000E+000
 1.0015075E+001, 1.4451075E-001, 2.8213329E-002, 7.0241690E-004, 4.0707556E-004, 6.5738837E-002, 1.5395259E-001, 2.3280650E-002, 1.2553944E-003, 7.0105769E-004, 5.7541063E-002, 3.8229827E+002, 2.3573954E+002, 3.8161065E+002, 2.7228225E+002, 1.6423149E-001
 2.0010040E+001, 5.7127865E-002, 6.1909360E-002, 5.3711151E-003, 6.2099979E-003, 1.4662391E-001, 4.2493289E-002, 6.4301311E-002, 8.7620137E-003, 1.0133235E-002, 1.6137455E-001, 6.5724353E+002, 6.2279126E+002, 8.6254755E+002, 7.6016903E+002, 5.1217018E-001
 3.0006630E+001, 3.4909957E-002, 6.6040646E-002, 9.9684327E-003, 1.3515864E-002, 1.6837778E-001, 1.6596542E-002, 7.3396207E-002, 1.0859182E-002, 1.2681451E-002, 1.8567082E-001, 6.5253644E+002, 6.4524438E+002, 8.8554011E+002, 8.4762496E+002, 4.5537471E-001
 4.0005527E+001, 2.8874306E-002, 6.4698700E-002, 1.2463727E-002, 2.6552411E-002, 1.7297570E-001, 1.9536590E-002, 6.6589938E-002, 1.5096714E-002, 1.9531759E-002, 1.8457197E-001, 6.2953916E+002, 6.2138293E+002, 9.0266312E+002, 8.5181810E+002, 6.1765035E-001
 5.0011324E+001, 3.1746336E-002, 6.1876073E-002, 1.2976208E-002, 3.6484676E-002, 1.6879090E-001, 1.4006233E-002, 6.6584245E-002, 1.6478798E-002, 2.9427709E-002, 1.8856838E-001, 7.0506973E+002, 6.7034239E+002, 9.1342237E+002, 8.8705449E+002, 6.0449073E-001
 6.0001269E+001, 2.0751528E-002, 6.7302198E-002, 1.2687538E-002, 3.5222695E-002, 1.7875964E-001, 1.5107343E-002, 6.2497179E-002, 1.9073833E-002, 3.6116360E-002, 1.8803837E-001, 7.2978290E+002, 7.2649031E+002, 9.5316839E+002, 9.0412595E+002, 6.8994661E-001
 7.0001742E+001, 1.2173731E-002, 6.6752768E-002, 1.6348075E-002, 3.8001911E-002, 1.8845424E-001, 1.3608696E-002, 6.9415044E-002, 1.4868755E-002, 2.0786239E-002, 1.8951859E-001, 7.1986160E+002, 7.2522811E+002, 1.0360230E+003, 9.7419393E+002, 9.5511666E-001
 8.0002682E+001, 1.5713070E-002, 6.8197211E-002, 1.4499202E-002, 2.8047998E-002, 1.8594655E-001, 1.9311517E-002, 7.3810727E-002, 9.7067389E-003, 9.1807623E-003, 1.8311953E-001, 7.2233024E+002, 7.1931739E+002, 9.4219890E+002, 9.2984368E+002, 6.7917712E-001
 9.0006009E+001, 2.2020935E-002, 6.7466539E-002, 1.2963272E-002, 2.4075159E-002, 1.7998444E-001, 2.0486251E-002, 6.4816575E-002, 1.5332263E-002, 3.0910044E-002, 1.8164929E-001, 7.3250260E+002, 7.2832336E+002, 1.0167753E+003, 9.6312373E+002, 7.9939840E-001
 1.0000455E+002, 1.2424365E-002, 6.4244374E-002, 1.7990768E-002, 4.3541254E-002, 1.8826597E-001, 2.6069419E-002, 6.6837021E-002, 1.1828827E-002, 2.5017422E-002, 1.7537290E-001, 7.4255601E+002, 7.3747902E+002, 9.8118680E+002, 9.4303966E+002, 8.0147027E-001
 1.1001060E+002, 1.4322328E-002, 7.3357719E-002, 1.1236959E-002, 1.9431517E-002, 1.8665946E-001, 2.1036495E-002, 6.5105027E-002, 1.4420523E-002, 3.6214671E-002, 1.7949202E-001, 7.7234193E+002, 7.7240041E+002, 1.0419287E+003, 9.8815409E+002, 9.6767708E-001
 1.2000000E+002, 1.9090632E-002, 7.4283845E-002, 8.8866297E-003, 1.5121216E-002, 1.8159608E-001, 2.2142510E-002, 7.0199073E-002, 1.1189722E-002, 1.5957808E-002, 1.8025209E-001, 7.8638896E+002, 7.7154407E+002, 9.4596523E+002, 9.2991416E+002, 7.2867082E-001
