s,kW/m2,kW/m2,kW/m2,kW/m2,W/m2/K,kW/m2,kg/m2/s,C,C,C,m2
Time,qdot,qinc,qrad,qconv,htc,MLRPUA_ideal,MLRPUA,T_SURF_MEAN,T_SURF_MAX,T_SURF_MIN,POOL_AREA
 0.0000000E+000,-3.1194933E-001, 4.2071371E-001,-3.1194933E-001, 0.0000000E+000, 0.0000000E+000,-2.7095919E-004, 0.0000000E+000, 6.4000000E+001, 6.4000000E+001, 0.0000000E+000, 7.0700000E-002
 2.0003150E+000, 1.8737684E+001, 1.5037553E+001, 1.4332322E+001, 4.4053618E+000, 1.1973599E+001, 1.6275552E-002, 1.4797420E-002, 5.9659326E+001, 6.4206175E+001, 0.0000000E+000, 7.0700000E-002
 4.0000747E+000, 1.7979019E+001, 1.4448837E+001, 1.3741224E+001, 4.2377952E+000, 1.1756295E+001, 1.5616576E-002, 1.4194410E-002, 5.9345689E+001, 6.4440353E+001, 0.0000000E+000, 7.0700000E-002
 6.0001034E+000, 1.8074673E+001, 1.4559235E+001, 1.3851823E+001, 4.2228503E+000, 1.1701537E+001, 1.5699661E-002, 1.4613919E-002, 5.9538094E+001, 6.4520464E+001, 0.0000000E+000, 7.0700000E-002
 8.0001550E+000, 1.9147940E+001, 1.5430484E+001, 1.4722374E+001, 4.4255658E+000, 1.1869969E+001, 1.6631900E-002, 1.5432490E-002, 5.9558971E+001, 6.5083237E+001, 0.0000000E+000, 7.0700000E-002
 1.0000096E+001, 1.8503503E+001, 1.5060940E+001, 1.4351926E+001, 4.1515767E+000, 1.1708869E+001, 1.6072143E-002, 1.4993997E-002, 5.9525119E+001, 6.4565734E+001, 0.0000000E+000, 7.0700000E-002
 1.2000012E+001, 1.8171678E+001, 1.4953728E+001, 1.4244206E+001, 3.9274726E+000, 1.1588177E+001, 1.5783920E-002, 1.4829782E-002, 5.9544683E+001, 6.4854049E+001, 0.0000000E+000, 7.0700000E-002
 1.4000253E+001, 1.7444789E+001, 1.4271484E+001, 1.3561694E+001, 3.8830951E+000, 1.1476979E+001, 1.5152544E-002, 1.4288789E-002, 5.9591430E+001, 6.4502275E+001, 0.0000000E+000, 7.0700000E-002
 1.6000111E+001, 1.8726430E+001, 1.5196969E+001, 1.4487538E+001, 4.2388917E+000, 1.1713604E+001, 1.6265777E-002, 1.5393953E-002, 5.9670843E+001, 6.4820780E+001, 0.0000000E+000, 7.0700000E-002
 1.8000022E+001, 1.9033124E+001, 1.5556305E+001, 1.4846611E+001, 4.1865133E+000, 1.1769086E+001, 1.6532171E-002, 1.5395316E-002, 5.9534655E+001, 6.4930026E+001, 0.0000000E+000, 7.0700000E-002
 2.0000375E+001, 1.8397734E+001, 1.4969251E+001, 1.4258908E+001, 4.1388263E+000, 1.1631413E+001, 1.5980272E-002, 1.5130581E-002, 5.9717118E+001, 6.4754449E+001, 0.0000000E+000, 7.0700000E-002
 2.2000045E+001, 1.7391199E+001, 1.4331053E+001, 1.3620458E+001, 3.7707414E+000, 1.1391627E+001, 1.5105995E-002, 1.4317337E-002, 5.9652931E+001, 6.4532299E+001, 0.0000000E+000, 7.0700000E-002
 2.4000327E+001, 1.8199719E+001, 1.4820574E+001, 1.4110146E+001, 4.0895738E+000, 1.1551942E+001, 1.5808276E-002, 1.5013680E-002, 5.9771904E+001, 6.4724144E+001, 0.0000000E+000, 7.0700000E-002
 2.6000129E+001, 1.7973455E+001, 1.4767729E+001, 1.4057431E+001, 3.9160244E+000, 1.1495666E+001, 1.5611743E-002, 1.4794655E-002, 5.9681766E+001, 6.4666435E+001, 0.0000000E+000, 7.0700000E-002
 2.8000029E+001, 1.8194819E+001, 1.4928512E+001, 1.4217930E+001, 3.9768891E+000, 1.1541339E+001, 1.5804020E-002, 1.4821910E-002, 5.9644729E+001, 6.4698529E+001, 0.0000000E+000, 7.0700000E-002
 3.0000042E+001, 1.8584535E+001, 1.5233537E+001, 1.4522817E+001, 4.0617174E+000, 1.1633176E+001, 1.6142527E-002, 1.5394892E-002, 5.9701139E+001, 6.4855613E+001, 0.0000000E+000, 7.0700000E-002
 3.2000159E+001, 1.8140523E+001, 1.4800757E+001, 1.4090011E+001, 4.0505127E+000, 1.1551826E+001, 1.5756858E-002, 1.4958084E-002, 5.9731432E+001, 6.4834154E+001, 0.0000000E+000, 7.0700000E-002
 3.4000415E+001, 1.8087638E+001, 1.4972199E+001, 1.4260673E+001, 3.8269649E+000, 1.1406375E+001, 1.5710923E-002, 1.4910811E-002, 5.9805221E+001, 6.4750402E+001, 0.0000000E+000, 7.0700000E-002
 3.6000481E+001, 1.8425302E+001, 1.5071782E+001, 1.4360529E+001, 4.0647730E+000, 1.1527866E+001, 1.6004217E-002, 1.5203430E-002, 5.9852316E+001, 6.4778003E+001, 0.0000000E+000, 7.0700000E-002
 3.8000370E+001, 1.8403418E+001, 1.4931984E+001, 1.4221151E+001, 4.1822669E+000, 1.1598520E+001, 1.5985209E-002, 1.5225157E-002, 5.9803558E+001, 6.4826878E+001, 0.0000000E+000, 7.0700000E-002
 4.0000345E+001, 1.8920696E+001, 1.5391280E+001, 1.4680642E+001, 4.2400540E+000, 1.1688472E+001, 1.6434517E-002, 1.5675536E-002, 5.9797203E+001, 6.4801870E+001, 0.0000000E+000, 7.0700000E-002
 4.2000274E+001, 1.8032235E+001, 1.4557763E+001, 1.3847123E+001, 4.1851113E+000, 1.1605031E+001, 1.5662799E-002, 1.4988394E-002, 5.9764787E+001, 6.4644663E+001, 0.0000000E+000, 7.0700000E-002
 4.4000373E+001, 1.7992856E+001, 1.4538500E+001, 1.3828349E+001, 4.1645072E+000, 1.1601288E+001, 1.5628595E-002, 1.4853636E-002, 5.9671315E+001, 6.4793550E+001, 0.0000000E+000, 7.0700000E-002
 4.6000225E+001, 1.7882862E+001, 1.4531366E+001, 1.3821195E+001, 4.0616663E+000, 1.1554931E+001, 1.5533054E-002, 1.4762793E-002, 5.9675462E+001, 6.4591180E+001, 0.0000000E+000, 7.0700000E-002
 4.8000434E+001, 1.8085229E+001, 1.4631161E+001, 1.3920912E+001, 4.1643168E+000, 1.1617771E+001, 1.5708830E-002, 1.5020092E-002, 5.9705266E+001, 6.4741961E+001, 0.0000000E+000, 7.0700000E-002
 5.0000619E+001, 1.7390857E+001, 1.4411389E+001, 1.3700219E+001, 3.6906382E+000, 1.1297353E+001, 1.5105699E-002, 1.4309904E-002, 5.9716260E+001, 6.4489702E+001, 0.0000000E+000, 7.0700000E-002
 5.2000002E+001, 1.7802511E+001, 1.4659690E+001, 1.3948305E+001, 3.8542052E+000, 1.1437069E+001, 1.5463261E-002, 1.4897960E-002, 5.9786632E+001, 6.4606356E+001, 0.0000000E+000, 7.0700000E-002
 5.4000247E+001, 1.8477818E+001, 1.4821459E+001, 1.4111430E+001, 4.3663882E+000, 1.1748020E+001, 1.6049833E-002, 1.5317694E-002, 5.9691431E+001, 6.4734474E+001, 0.0000000E+000, 7.0700000E-002
 5.6000019E+001, 1.8513270E+001, 1.4983123E+001, 1.4272572E+001, 4.2406984E+000, 1.1638292E+001, 1.6080626E-002, 1.5323602E-002, 5.9798884E+001, 6.4771820E+001, 0.0000000E+000, 7.0700000E-002
 5.8000397E+001, 1.8673451E+001, 1.5188259E+001, 1.4477432E+001, 4.1960182E+000, 1.1611451E+001, 1.6219759E-002, 1.5349378E-002, 5.9790179E+001, 6.4765319E+001, 0.0000000E+000, 7.0700000E-002
 6.0000411E+001, 1.8535213E+001, 1.5110768E+001, 1.4399650E+001, 4.1355626E+000, 1.1591869E+001, 1.6099686E-002, 1.5432188E-002, 5.9826361E+001, 6.4729380E+001, 0.0000000E+000, 7.0700000E-002
 6.2000392E+001, 1.8078285E+001, 1.4821480E+001, 1.4110341E+001, 3.9679436E+000, 1.1534218E+001, 1.5702798E-002, 1.4867205E-002, 5.9675778E+001, 6.4673403E+001, 0.0000000E+000, 7.0700000E-002
