s,kW/m2,kW/m2,kW/m2,kW/m2,W/m2/K,kW/m2,kg/m2/s,C,C,C,m2
Time,qdot,qinc,qrad,qconv,htc,MLRPUA_ideal,MLRPUA,T_SURF_MEAN,T_SURF_MAX,T_SURF_MIN,POOL_AREA
 0.0000000E+000,-3.1195532E-001, 4.2070772E-001,-3.1195532E-001, 0.0000000E+000, 0.0000000E+000,-2.7096439E-004, 0.0000000E+000, 6.4000000E+001, 6.4000000E+001, 6.4000000E+001, 7.1600000E-002
 2.0004496E+000, 1.8249590E+001, 1.4019083E+001, 1.3308435E+001, 4.9411546E+000, 7.6115774E+000, 1.5851594E-002, 1.4030897E-002, 6.1469785E+001, 6.4082535E+001, 5.6713911E+001, 7.1600000E-002
 4.0007018E+000, 2.0868244E+001, 1.5004504E+001, 1.4293924E+001, 6.5743201E+000, 8.3310915E+000, 1.8126157E-002, 1.6649439E-002, 6.1209450E+001, 6.5185438E+001, 5.6437969E+001, 7.1600000E-002
 6.0002367E+000, 2.0886475E+001, 1.5016191E+001, 1.4306674E+001, 6.5798013E+000, 8.3494876E+000, 1.8141992E-002, 1.6997060E-002, 6.1325211E+001, 6.3892623E+001, 5.6236385E+001, 7.1600000E-002
 8.0001216E+000, 2.0947077E+001, 1.5162440E+001, 1.4451439E+001, 6.4956386E+000, 8.3072251E+000, 1.8194631E-002, 1.7136022E-002, 6.1299095E+001, 6.4125087E+001, 5.6780346E+001, 7.1600000E-002
 1.0000174E+001, 2.1030901E+001, 1.5291546E+001, 1.4580399E+001, 6.4505021E+000, 8.2845461E+000, 1.8267441E-002, 1.7119445E-002, 6.1289183E+001, 6.4944245E+001, 5.7366273E+001, 7.1600000E-002
 1.2000759E+001, 2.0842224E+001, 1.5067424E+001, 1.4356498E+001, 6.4857255E+000, 8.3057168E+000, 1.8103556E-002, 1.7179657E-002, 6.1348331E+001, 6.4402868E+001, 5.6274023E+001, 7.1600000E-002
 1.4000564E+001, 2.1028334E+001, 1.5238553E+001, 1.4526646E+001, 6.5016876E+000, 8.2897985E+000, 1.8265211E-002, 1.7299564E-002, 6.1381301E+001, 6.4649461E+001, 5.7119622E+001, 7.1600000E-002
 1.6000353E+001, 2.1005724E+001, 1.5274843E+001, 1.4563451E+001, 6.4422731E+000, 8.2688065E+000, 1.8245572E-002, 1.7229524E-002, 6.1375541E+001, 6.4434998E+001, 5.7373831E+001, 7.1600000E-002
 1.8000770E+001, 2.0950216E+001, 1.5217845E+001, 1.4505882E+001, 6.4443344E+000, 8.2683133E+000, 1.8197358E-002, 1.7314645E-002, 6.1390138E+001, 6.4299274E+001, 5.6848500E+001, 7.1600000E-002
 2.0000598E+001, 2.0644386E+001, 1.4927533E+001, 1.4215806E+001, 6.4285802E+000, 8.2746268E+000, 1.7931713E-002, 1.7010420E-002, 6.1289745E+001, 6.4360917E+001, 5.6315446E+001, 7.1600000E-002
 2.2000566E+001, 2.0766493E+001, 1.5178244E+001, 1.4466379E+001, 6.3001136E+000, 8.2256314E+000, 1.8037776E-002, 1.7175775E-002, 6.1327028E+001, 6.4150134E+001, 5.7044473E+001, 7.1600000E-002
 2.4000847E+001, 2.1170783E+001, 1.5449469E+001, 1.4737130E+001, 6.4336535E+000, 8.2768599E+000, 1.8388942E-002, 1.7492553E-002, 6.1379136E+001, 6.4486445E+001, 5.7592374E+001, 7.1600000E-002
 2.6000602E+001, 2.0997900E+001, 1.5313753E+001, 1.4601778E+001, 6.3961223E+000, 8.2635472E+000, 1.8238776E-002, 1.7331433E-002, 6.1341542E+001, 6.6413019E+001, 5.7806454E+001, 7.1600000E-002
 2.8000451E+001, 2.0389053E+001, 1.4776287E+001, 1.4064055E+001, 6.3249980E+000, 8.2181706E+000, 1.7709931E-002, 1.6943407E-002, 6.1319299E+001, 6.3972049E+001, 5.7307321E+001, 7.1600000E-002
 3.0000564E+001, 2.1200991E+001, 1.5415500E+001, 1.4703324E+001, 6.4976669E+000, 8.2975640E+000, 1.8415181E-002, 1.7520100E-002, 6.1387595E+001, 6.4829305E+001, 5.6733250E+001, 7.1600000E-002
