s,kW/m2,kW/m2,kW/m2,kW/m2,W/m2/K,kW/m2,kg/m2/s,C,C,C,m2
Time,qdot,qinc,qrad,qconv,htc,MLRPUA_ideal,MLRPUA,T_SURF_MEAN,T_SURF_MAX,T_SURF_MIN,POOL_AREA
 0.0000000E+000,-3.1067762E-001, 4.2198542E-001,-3.1067762E-001, 0.0000000E+000, 0.0000000E+000,-2.6985458E-004, 0.0000000E+000, 6.4000000E+001, 6.4000000E+001, 6.4000000E+001, 7.0800000E-002
 2.0020702E+000, 1.3347591E+001, 1.1797181E+001, 1.1078333E+001, 2.2692582E+000, 3.9132853E+000, 1.1593718E-002, 9.2718637E-003, 6.2329987E+001, 6.3701921E+001, 5.9100839E+001, 7.0800000E-002
 4.0023049E+000, 1.4363099E+001, 1.2462402E+001, 1.1742448E+001, 2.6206513E+000, 3.9906760E+000, 1.2475788E-002, 1.1007633E-002, 6.1905131E+001, 6.4267126E+001, 5.8621948E+001, 7.0800000E-002
 6.0010910E+000, 1.5028019E+001, 1.2993338E+001, 1.2272159E+001, 2.7558603E+000, 4.0429029E+000, 1.3053338E-002, 1.1880209E-002, 6.2021316E+001, 6.4459617E+001, 5.8396149E+001, 7.0800000E-002
 8.0006593E+000, 1.4851670E+001, 1.2810476E+001, 1.2089230E+001, 2.7624410E+000, 4.0470116E+000, 1.2900161E-002, 1.1835054E-002, 6.2057009E+001, 6.4309257E+001, 5.8319264E+001, 7.0800000E-002
 1.0001917E+001, 1.5000943E+001, 1.3003186E+001, 1.2281793E+001, 2.7191496E+000, 4.0294527E+000, 1.3029819E-002, 1.2053555E-002, 6.2111563E+001, 6.4404387E+001, 5.7922060E+001, 7.0800000E-002
 1.2001151E+001, 1.5101109E+001, 1.3071872E+001, 1.2350428E+001, 2.7506815E+000, 4.0435610E+000, 1.3116824E-002, 1.2133843E-002, 6.2088271E+001, 6.4358662E+001, 5.8378594E+001, 7.0800000E-002
 1.4000276E+001, 1.5002837E+001, 1.2980798E+001, 1.2258956E+001, 2.7438812E+000, 4.0393690E+000, 1.3031464E-002, 1.2094866E-002, 6.2066007E+001, 6.4431884E+001, 5.8184505E+001, 7.0800000E-002
 1.6000953E+001, 1.5041373E+001, 1.3003165E+001, 1.2281323E+001, 2.7600494E+000, 4.0445280E+000, 1.3064936E-002, 1.2167779E-002, 6.2093927E+001, 6.4401683E+001, 5.8005429E+001, 7.0800000E-002
 1.8000094E+001, 1.5123108E+001, 1.3142877E+001, 1.2420931E+001, 2.7021769E+000, 4.0226184E+000, 1.3135932E-002, 1.2254845E-002, 6.2106937E+001, 6.4417977E+001, 5.8421942E+001, 7.0800000E-002
 2.0001181E+001, 1.4595606E+001, 1.2635594E+001, 1.1914077E+001, 2.6815292E+000, 4.0138584E+000, 1.2677743E-002, 1.1841629E-002, 6.1990659E+001, 6.4385776E+001, 5.8305784E+001, 7.0800000E-002
 2.2001589E+001, 1.5614598E+001, 1.3520852E+001, 1.2798419E+001, 2.8161791E+000, 4.0666845E+000, 1.3562840E-002, 1.2666699E-002, 6.2208287E+001, 6.4456322E+001, 5.7810402E+001, 7.0800000E-002
 2.4000279E+001, 1.4877068E+001, 1.2845537E+001, 1.2123355E+001, 2.7537131E+000, 4.0432261E+000, 1.2922222E-002, 1.2129652E-002, 6.2083283E+001, 6.4396321E+001, 5.8092514E+001, 7.0800000E-002
 2.6000726E+001, 1.4995409E+001, 1.3043170E+001, 1.2321129E+001, 2.6742798E+000, 4.0117770E+000, 1.3025012E-002, 1.2212207E-002, 6.2059097E+001, 6.4412993E+001, 5.8630371E+001, 7.0800000E-002
 2.8000728E+001, 1.6665706E+001, 1.4420815E+001, 1.3697996E+001, 2.9677098E+000, 4.1242345E+000, 1.4475832E-002, 1.3447217E-002, 6.2398193E+001, 6.4447533E+001, 5.9211335E+001, 7.0800000E-002
 3.0000833E+001, 1.5786267E+001, 1.3670301E+001, 1.2947090E+001, 2.8391772E+000, 4.0769749E+000, 1.3711951E-002, 1.2947844E-002, 6.2299962E+001, 6.4437543E+001, 5.8689183E+001, 7.0800000E-002
 3.2000451E+001, 1.5604080E+001, 1.3560565E+001, 1.2837786E+001, 2.7662941E+000, 4.0470736E+000, 1.3553704E-002, 1.2744669E-002, 6.2204830E+001, 6.4449524E+001, 5.8308789E+001, 7.0800000E-002
 3.4002089E+001, 1.5630922E+001, 1.3483181E+001, 1.2760262E+001, 2.8706594E+000, 4.0870853E+000, 1.3577019E-002, 1.2805887E-002, 6.2275473E+001, 6.4385457E+001, 5.8887062E+001, 7.0800000E-002
 3.6001065E+001, 1.5759682E+001, 1.3634920E+001, 1.2911877E+001, 2.8478046E+000, 4.0798235E+000, 1.3688860E-002, 1.2926989E-002, 6.2281010E+001, 6.4460130E+001, 5.9166830E+001, 7.0800000E-002
 3.8001719E+001, 1.5163652E+001, 1.3098733E+001, 1.2376022E+001, 2.7876302E+000, 4.0558352E+000, 1.3171148E-002, 1.2420721E-002, 6.2156207E+001, 6.4384836E+001, 5.8655643E+001, 7.0800000E-002
 4.0001340E+001, 1.6197137E+001, 1.3979497E+001, 1.3256340E+001, 2.9407967E+000, 4.1128673E+000, 1.4068833E-002, 1.3199298E-002, 6.2344608E+001, 6.4461448E+001, 5.8831234E+001, 7.0800000E-002
 4.2000036E+001, 1.6447223E+001, 1.4227344E+001, 1.3503678E+001, 2.9435442E+000, 4.1158239E+000, 1.4286058E-002, 1.3488513E-002, 6.2443164E+001, 6.4402881E+001, 5.9127692E+001, 7.0800000E-002
 4.4000941E+001, 1.6383009E+001, 1.4111115E+001, 1.3387578E+001, 2.9954319E+000, 4.1352334E+000, 1.4230282E-002, 1.3453141E-002, 6.2455723E+001, 6.4435761E+001, 5.9187123E+001, 7.0800000E-002
 4.6001582E+001, 1.6428471E+001, 1.4163231E+001, 1.3439542E+001, 2.9889294E+000, 4.1334495E+000, 1.4269770E-002, 1.3479197E-002, 6.2438318E+001, 6.4403373E+001, 5.9208014E+001, 7.0800000E-002
 4.8001101E+001, 1.6360525E+001, 1.4080150E+001, 1.3356611E+001, 3.0039140E+000, 4.1383596E+000, 1.4210752E-002, 1.3466218E-002, 6.2434572E+001, 6.4479038E+001, 5.9049707E+001, 7.0800000E-002
 5.0002072E+001, 1.6447519E+001, 1.4185002E+001, 1.3461183E+001, 2.9863364E+000, 4.1318952E+000, 1.4286315E-002, 1.3533726E-002, 6.2456771E+001, 6.4406693E+001, 5.9320634E+001, 7.0800000E-002
 5.2001160E+001, 1.5849046E+001, 1.3701712E+001, 1.2978330E+001, 2.8707160E+000, 4.0888191E+000, 1.3766481E-002, 1.3037467E-002, 6.2336969E+001, 6.4449447E+001, 5.9251540E+001, 7.0800000E-002
 5.4000855E+001, 1.6514149E+001, 1.4248479E+001, 1.3524736E+001, 2.9894132E+000, 4.1326264E+000, 1.4344190E-002, 1.3543425E-002, 6.2430521E+001, 6.4418018E+001, 5.9521396E+001, 7.0800000E-002
 5.6000004E+001, 1.6331776E+001, 1.4100781E+001, 1.3377002E+001, 2.9547743E+000, 4.1192792E+000, 1.4185781E-002, 1.3500965E-002, 6.2441914E+001, 6.4454640E+001, 5.9187550E+001, 7.0800000E-002
