s,mg/cm2 s,mg/cm2 s,mg/cm2 s,kg,kg,kg,kg,mg/cm2 s,C,C,C,C,C
Time,mf,norm mf O2,norm mf CO2,NORM MASS O2 CONSUMED,NORM MASS CO2 PRODUCED,MASS,NORM MASS ASH PRODUCED,wt loss mf,T0mm,T5mm,T10mm,T15mm,T38mm
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0406942E-002, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001
 1.0009450E+001, 5.7014757E-002, 3.0660713E-005, 1.1316674E-010, 4.4316095E-009, 1.6356868E-014, 2.0404255E-002, 8.1560885E-015, 4.6474304E-002, 2.0143335E+002, 3.0136878E+001, 2.9969669E+001, 2.9969668E+001, 3.0071390E+001
 2.0011992E+001, 1.6578419E-001, 6.2385505E-004, 1.6034520E-007, 9.4539547E-008, 2.3176298E-011, 2.0386181E-002, 1.1556488E-011, 1.2623834E-001, 3.0256657E+002, 3.6114495E+001, 2.9915132E+001, 2.9909328E+001, 3.0263427E+001
 3.0009622E+001, 1.8268996E-001, 3.2787022E-003, 1.1374107E-005, 5.6787390E-007, 1.6652229E-009, 2.0360293E-002, 8.3033657E-010, 1.6589656E-001, 3.5609642E+002, 5.4388272E+001, 3.0037341E+001, 2.9849472E+001, 3.0487766E+001
 4.0008680E+001, 2.4042471E-001, 1.0140644E-002, 2.4110014E-004, 2.0320511E-006, 3.6477122E-008, 2.0330039E-002, 1.8188729E-008, 2.2094615E-001, 3.9923879E+002, 7.8812224E+001, 3.0984545E+001, 2.9795223E+001, 3.0744660E+001
 5.0007254E+001, 4.1741997E-001, 2.4886262E-002, 2.8855871E-003, 5.6251299E-006, 4.5310026E-007, 2.0284025E-002, 2.2593114E-007, 3.6229108E-001, 4.4349406E+002, 1.0506464E+002, 3.3440436E+001, 2.9773029E+001, 3.1057271E+001
 6.0008973E+001, 8.0800723E-001, 4.9010688E-002, 1.8548995E-002, 1.2703519E-005, 3.1320597E-006, 2.0197232E-002, 1.5617511E-006, 6.7099937E-001, 4.9354649E+002, 1.3256091E+002, 3.7296128E+001, 2.9855342E+001, 3.1479176E+001
 7.0007474E+001, 1.1248676E+000, 6.5398623E-002, 4.5650427E-002, 2.2145704E-005, 9.7230532E-006, 2.0052919E-002, 4.8482438E-006, 9.6671722E-001, 5.3249018E+002, 1.5730827E+002, 4.2769344E+001, 3.0144465E+001, 3.1985970E+001
 8.0006911E+001, 1.1318524E+000, 7.4383763E-002, 6.5244108E-002, 3.2886159E-005, 1.9143857E-005, 1.9887133E-002, 9.5457755E-006, 1.0705258E+000, 5.5909950E+002, 1.8474080E+002, 4.9985955E+001, 3.0733268E+001, 3.2492277E+001
 9.0006347E+001, 1.0689639E+000, 8.1492189E-002, 7.7090663E-002, 4.4653016E-005, 3.0275222E-005, 1.9727692E-002, 1.5096251E-005, 1.0692571E+000, 5.7950578E+002, 2.1099699E+002, 5.7983160E+001, 3.1586812E+001, 3.2977281E+001
 1.0000578E+002, 1.0194501E+000, 8.5980977E-002, 8.3626207E-002, 5.7068021E-005, 4.2350275E-005, 1.9576499E-002, 2.1117282E-005, 1.0383523E+000, 5.9515801E+002, 2.3238144E+002, 6.6646439E+001, 3.2953980E+001, 3.3433970E+001
 1.1000522E+002, 9.8347346E-001, 8.9281621E-002, 8.7917420E-002, 6.9959614E-005, 5.5044950E-005, 1.9431395E-002, 2.7447277E-005, 1.0047655E+000, 6.0743984E+002, 2.5338206E+002, 7.6464290E+001, 3.4587212E+001, 3.3859687E+001
 1.2000466E+002, 9.5446338E-001, 9.1679675E-002, 9.0860432E-002, 8.3197468E-005, 6.8164575E-005, 1.9290895E-002, 3.3989167E-005, 9.7423869E-001, 6.1734015E+002, 2.7169176E+002, 8.5599475E+001, 3.6832924E+001, 3.4257256E+001
 1.3000409E+002, 9.3097721E-001, 9.3926034E-002, 9.3434836E-002, 9.6759679E-005, 8.1655927E-005, 1.9154246E-002, 4.0716412E-005, 9.4861710E-001, 6.2572064E+002, 2.8750170E+002, 9.6308188E+001, 3.9124987E+001, 3.4625719E+001
 1.4000353E+002, 9.0985046E-001, 9.5398145E-002, 9.5117219E-002, 1.1053445E-004, 9.5390204E-005, 1.9020711E-002, 4.7564787E-005, 9.2586668E-001, 6.3282992E+002, 3.0371723E+002, 1.0495283E+002, 4.2241493E+001, 3.4969978E+001
 1.5000296E+002, 8.9205067E-001, 9.7172744E-002, 9.7033618E-002, 1.2456546E-004, 1.0940120E-004, 1.8890033E-002, 5.4551143E-005, 9.0649568E-001, 6.3893941E+002, 3.1521630E+002, 1.1538111E+002, 4.5292254E+001, 3.5294010E+001
 1.6000240E+002, 8.7586617E-001, 9.8363076E-002, 9.8322595E-002, 1.3876835E-004, 1.2359831E-004, 1.8761736E-002, 6.1630303E-005, 8.8914240E-001, 6.4428410E+002, 3.2955122E+002, 1.2432587E+002, 4.8931960E+001, 3.5598025E+001
 1.7000184E+002, 8.6110495E-001, 9.9598294E-002, 9.9629298E-002, 1.5314959E-004, 1.3798410E-004, 1.8635704E-002, 6.8803545E-005, 8.7360546E-001, 6.4897523E+002, 3.3874545E+002, 1.3471925E+002, 5.2504377E+001, 3.5887763E+001
 1.8000127E+002, 8.4798273E-001, 1.0061382E-001, 1.0069783E-001, 1.6767747E-004, 1.5252418E-004, 1.8511658E-002, 7.6053722E-005, 8.5971681E-001, 6.5328714E+002, 3.5125402E+002, 1.4244353E+002, 5.6654701E+001, 3.6158897E+001
 1.9000071E+002, 8.3572240E-001, 1.0138644E-001, 1.0151005E-001, 1.8231691E-004, 1.6718153E-004, 1.8389414E-002, 8.3362377E-005, 8.4689966E-001, 6.5711245E+002, 3.5993248E+002, 1.5319312E+002, 6.0475246E+001, 3.6416689E+001
 2.0000015E+002, 8.2431675E-001, 1.0250857E-001, 1.0266376E-001, 1.9711837E-004, 1.8200548E-004, 1.8268909E-002, 9.0754099E-005, 8.3525139E-001, 6.6060269E+002, 3.7043015E+002, 1.6098983E+002, 6.5034903E+001, 3.6663029E+001
 2.1000789E+002, 8.1538535E-001, 1.0345080E-001, 1.0363087E-001, 2.1206830E-004, 1.9698151E-004, 1.8149770E-002, 9.8221653E-005, 8.2543999E-001, 6.6380580E+002, 3.7877983E+002, 1.7106166E+002, 6.8925814E+001, 3.6899414E+001
 2.2000733E+002, 8.0622590E-001, 1.0414978E-001, 1.0434926E-001, 2.2710675E-004, 2.1204883E-004, 1.8031892E-002, 1.0573473E-004, 8.1609628E-001, 6.6668562E+002, 3.8776700E+002, 1.7920982E+002, 7.3552082E+001, 3.7125265E+001
 2.3000677E+002, 7.9731682E-001, 1.0492760E-001, 1.0514316E-001, 2.4225750E-004, 2.2723078E-004, 1.7915382E-002, 1.1330497E-004, 8.0726338E-001, 6.6943021E+002, 3.9608146E+002, 1.8843827E+002, 7.7604410E+001, 3.7343298E+001
 2.4000630E+002, 7.8791242E-001, 1.0520302E-001, 1.0543056E-001, 2.5744817E-004, 2.4245438E-004, 1.7800118E-002, 1.2089597E-004, 7.9808805E-001, 6.7194794E+002, 4.0353854E+002, 1.9641313E+002, 8.2387118E+001, 3.7553457E+001
 2.5000722E+002, 7.7975428E-001, 1.0590420E-001, 1.0614273E-001, 2.7274221E-004, 2.5778295E-004, 1.7686110E-002, 1.2853931E-004, 7.8978969E-001, 6.7400208E+002, 4.1277949E+002, 2.0525580E+002, 8.6342494E+001, 3.7760562E+001
 2.6000067E+002, 7.7282503E-001, 1.0665777E-001, 1.0690585E-001, 2.8813356E-004, 2.7321017E-004, 1.7573197E-002, 1.3623185E-004, 7.8264225E-001, 6.7633424E+002, 4.1852424E+002, 2.1264759E+002, 9.1339015E+001, 3.7962217E+001
 2.7000160E+002, 7.6574611E-001, 1.0711835E-001, 1.0737382E-001, 3.0360295E-004, 2.8871653E-004, 1.7461219E-002, 1.4396384E-004, 7.7571866E-001, 6.7817748E+002, 4.2844374E+002, 2.2105934E+002, 9.5517620E+001, 3.8163349E+001
 2.8000252E+002, 7.5781677E-001, 1.0728505E-001, 1.0754613E-001, 3.1909641E-004, 3.0424777E-004, 1.7350246E-002, 1.5170825E-004, 7.6843864E-001, 6.7973735E+002, 4.3318999E+002, 2.2775150E+002, 1.0033983E+002, 3.8365053E+001
 2.9000345E+002, 7.5246809E-001, 1.0830026E-001, 1.0856843E-001, 3.3473648E-004, 3.1992664E-004, 1.7240198E-002, 1.5952626E-004, 7.6279579E-001, 6.8186378E+002, 4.4309993E+002, 2.3580954E+002, 1.0478972E+002, 3.8565994E+001
 3.0000437E+002, 7.4662841E-001, 1.0820140E-001, 1.0847293E-001, 3.5036227E-004, 3.3559172E-004, 1.7130792E-002, 1.6733740E-004, 7.5706235E-001, 6.8306327E+002, 4.4832946E+002, 2.4173642E+002, 1.0935596E+002, 3.8773989E+001
 3.1000530E+002, 7.4012036E-001, 1.0923861E-001, 1.0951604E-001, 3.6613785E-004, 3.5140745E-004, 1.7022338E-002, 1.7522366E-004, 7.5152119E-001, 6.8516176E+002, 4.5761990E+002, 2.4935383E+002, 1.1412625E+002, 3.8979838E+001
 3.2000622E+002, 7.3532290E-001, 1.0946379E-001, 1.0974445E-001, 3.8194595E-004, 3.6725616E-004, 1.6914518E-002, 1.8312636E-004, 7.4676489E-001, 6.8660062E+002, 4.6406857E+002, 2.5473676E+002, 1.1836253E+002, 3.9192989E+001
 3.3000715E+002, 7.2998333E-001, 1.0993914E-001, 1.1022334E-001, 3.9782270E-004, 3.8317402E-004, 1.6807353E-002, 1.9106355E-004, 7.4210960E-001, 6.8801429E+002, 4.7351592E+002, 2.6180892E+002, 1.2328569E+002, 3.9417004E+001
 3.4000059E+002, 7.2563517E-001, 1.1068451E-001, 1.1097270E-001, 4.1379513E-004, 3.9918812E-004, 1.6700836E-002, 1.9904872E-004, 7.3825876E-001, 6.8959222E+002, 4.7899415E+002, 2.6629706E+002, 1.2704301E+002, 3.9647144E+001
 3.5000152E+002, 7.2077124E-001, 1.1077707E-001, 1.1106717E-001, 4.2979289E-004, 4.1522785E-004, 1.6594809E-002, 2.0704668E-004, 7.3424321E-001, 6.9087455E+002, 4.8944083E+002, 2.7347590E+002, 1.3228129E+002, 3.9890362E+001
 3.6000245E+002, 7.1577954E-001, 1.1131429E-001, 1.1160732E-001, 4.4586823E-004, 4.3134559E-004, 1.6489350E-002, 2.1508352E-004, 7.3030662E-001, 6.9209882E+002, 4.9434737E+002, 2.7763912E+002, 1.3610714E+002, 4.0144694E+001
 3.7000337E+002, 7.1101745E-001, 1.1178354E-001, 1.1207910E-001, 4.6201133E-004, 4.4753145E-004, 1.6384435E-002, 2.2315435E-004, 7.2662090E-001, 6.9331296E+002, 5.0485693E+002, 2.8445662E+002, 1.4127026E+002, 4.0413907E+001
 3.8000430E+002, 7.0621872E-001, 1.1194056E-001, 1.1223764E-001, 4.7817711E-004, 4.6374022E-004, 1.6280007E-002, 2.3123658E-004, 7.2296442E-001, 6.9434265E+002, 5.0961042E+002, 2.8875572E+002, 1.4555578E+002, 4.0698750E+001
 3.9000522E+002, 7.0050331E-001, 1.1231143E-001, 1.1261047E-001, 4.9439645E-004, 4.8000282E-004, 1.6176175E-002, 2.3934567E-004, 7.1897043E-001, 6.9521425E+002, 5.1930888E+002, 2.9482194E+002, 1.5023877E+002, 4.0996996E+001
 4.0000615E+002, 6.9554129E-001, 1.1269741E-001, 1.1299835E-001, 5.1067153E-004, 4.9632144E-004, 1.6072897E-002, 2.4748269E-004, 7.1541327E-001, 6.9624155E+002, 5.2378117E+002, 2.9929708E+002, 1.5504001E+002, 4.1313924E+001
 4.1000707E+002, 6.9099448E-001, 1.1296307E-001, 1.1326548E-001, 5.2698498E-004, 5.1267864E-004, 1.5970048E-002, 2.5563894E-004, 7.1228482E-001, 6.9725478E+002, 5.3306832E+002, 3.0458721E+002, 1.5914253E+002, 4.1650964E+001
 4.2000052E+002, 6.8623455E-001, 1.1351069E-001, 1.1381525E-001, 5.4336524E-004, 5.2910294E-004, 1.5867666E-002, 2.6382865E-004, 7.0934067E-001, 6.9821136E+002, 5.3721853E+002, 3.0933215E+002, 1.6450612E+002, 4.2007471E+001
 4.3000145E+002, 6.8221808E-001, 1.1394252E-001, 1.1424884E-001, 5.5982014E-004, 5.4560215E-004, 1.5765631E-002, 2.7205572E-004, 7.0699945E-001, 6.9914570E+002, 5.4577944E+002, 3.1390509E+002, 1.6794384E+002, 4.2384015E+001
 4.4000237E+002, 6.7768266E-001, 1.1422918E-001, 1.1453680E-001, 5.7631642E-004, 5.6214294E-004, 1.5663866E-002, 2.8030352E-004, 7.0461514E-001, 7.0021262E+002, 5.5010592E+002, 3.1896104E+002, 1.7289864E+002, 4.2782657E+001
 4.5000330E+002, 6.7262781E-001, 1.1443438E-001, 1.1474302E-001, 5.9284235E-004, 5.7871352E-004, 1.5562481E-002, 2.8856617E-004, 7.0200744E-001, 7.0080183E+002, 5.5773499E+002, 3.2281468E+002, 1.7688913E+002, 4.3204276E+001
