s,mg/cm2 s,mg/cm2 s,mg/cm2 s,kg,kg,kg,kg,mg/cm2 s,C,C,C,C,C
Time,mf,norm mf O2,norm mf CO2,NORM MASS O2 CONSUMED,NORM MASS CO2 PRODUCED,MASS,NORM MASS ASH PRODUCED,wt loss mf,T0mm,T5mm,T10mm,T15mm,T38mm
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0406942E-002, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001
 1.0008161E+001, 1.7722413E-002, 1.2107327E-006, 1.9482708E-014, 1.7497319E-010, 2.8156244E-018, 2.0405806E-002, 1.4039657E-018, 1.5960133E-002, 1.4259288E+002, 3.0070614E+001, 2.9969661E+001, 2.9969661E+001, 3.0021359E+001
 2.0007791E+001, 7.2142326E-002, 2.2435522E-005, 2.1741424E-011, 3.4145563E-009, 3.1421896E-015, 2.0398935E-002, 1.5668022E-015, 5.7182002E-002, 2.1393697E+002, 3.3667132E+001, 2.9912828E+001, 2.9909336E+001, 3.0084243E+001
 3.0002399E+001, 1.1127690E-001, 1.0264102E-004, 1.1007953E-009, 1.8227990E-008, 1.6201277E-013, 2.0384603E-002, 8.0785055E-014, 9.5017778E-002, 2.4855900E+002, 4.4943200E+001, 2.9962553E+001, 2.9849424E+001, 3.0152759E+001
 4.0001283E+001, 1.1760599E-001, 2.8865865E-004, 1.7532692E-008, 5.9905823E-008, 2.6934741E-012, 2.0367218E-002, 1.3430574E-012, 1.1186271E-001, 2.7371476E+002, 6.0120046E+001, 3.0511967E+001, 2.9792991E+001, 3.0223938E+001
 5.0003057E+001, 1.1444503E-001, 6.3284939E-004, 1.4751369E-007, 1.5130586E-007, 2.3998422E-011, 2.0349841E-002, 1.1966426E-011, 1.1601642E-001, 2.9415618E+002, 7.5986567E+001, 3.1974068E+001, 2.9759098E+001, 3.0298247E+001
 6.0004831E+001, 1.1285826E-001, 1.1752165E-003, 8.1172513E-007, 3.2103793E-007, 1.4123338E-010, 2.0332852E-002, 7.0423749E-011, 1.1668530E-001, 3.1129050E+002, 9.1398007E+001, 3.4483141E+001, 2.9794325E+001, 3.0374617E+001
 7.0006575E+001, 1.1446540E-001, 1.9479207E-003, 3.3342174E-006, 6.0236790E-007, 6.2278271E-010, 2.0315869E-002, 3.1054056E-010, 1.1810194E-001, 3.2616038E+002, 1.0607027E+002, 3.7954729E+001, 2.9935367E+001, 3.0452409E+001
 8.0007992E+001, 1.1967478E-001, 2.9854003E-003, 1.1162870E-005, 1.0335226E-006, 2.2349443E-009, 2.0298402E-002, 1.1144189E-009, 1.2212464E-001, 3.3953874E+002, 1.2001590E+002, 4.2219288E+001, 3.0265592E+001, 3.0531702E+001
 9.0009409E+001, 1.2906935E-001, 4.3309861E-003, 3.2318625E-005, 1.6590082E-006, 6.9024574E-009, 2.0279889E-002, 3.4417991E-009, 1.2977646E-001, 3.5200330E+002, 1.3336368E+002, 4.6706990E+001, 3.0827154E+001, 3.0613055E+001
 1.0001083E+002, 1.4354200E-001, 6.0452477E-003, 8.4361212E-005, 2.5320693E-006, 1.9086053E-008, 2.0259666E-002, 9.5169528E-009, 1.4203152E-001, 3.6400682E+002, 1.4627937E+002, 5.1366895E+001, 3.1644411E+001, 3.0697439E+001
 1.1000048E+002, 1.6441628E-001, 8.2158047E-003, 2.0458791E-004, 3.7172087E-006, 4.8598241E-008, 2.0236924E-002, 2.4232729E-008, 1.6009816E-001, 3.7593560E+002, 1.5892329E+002, 5.6879720E+001, 3.2728178E+001, 3.0786173E+001
 1.2000530E+002, 1.9365986E-001, 1.0977084E-002, 4.7197968E-004, 5.3030709E-006, 1.1678560E-007, 2.0210589E-002, 5.8233258E-008, 1.8574123E-001, 3.8830831E+002, 1.7145633E+002, 6.2652505E+001, 3.4078193E+001, 3.0881842E+001
 1.3000142E+002, 2.3455645E-001, 1.4562138E-002, 1.0585533E-003, 7.4050368E-006, 2.6958280E-007, 2.0179232E-002, 1.3442312E-007, 2.2174837E-001, 4.0180951E+002, 1.8402546E+002, 6.8627555E+001, 3.5685176E+001, 3.0988410E+001
 1.4000813E+002, 2.9210507E-001, 1.9350802E-002, 2.3425529E-003, 1.0201179E-005, 6.0807749E-007, 2.0140836E-002, 3.0320804E-007, 2.7247251E-001, 4.1681713E+002, 1.9679616E+002, 7.4774006E+001, 3.7535710E+001, 3.1111564E+001
 1.5000425E+002, 3.7441537E-001, 2.6035209E-002, 5.1660946E-003, 1.3959221E-005, 1.3537790E-006, 2.0092452E-002, 6.7504006E-007, 3.4467731E-001, 4.3404902E+002, 2.0677878E+002, 8.1087898E+001, 3.9613661E+001, 3.1244245E+001
 1.6000038E+002, 4.9194407E-001, 3.5433031E-002, 1.1185677E-002, 1.9073787E-005, 2.9683789E-006, 2.0029790E-002, 1.4801343E-006, 4.4762968E-001, 4.5450822E+002, 2.1896090E+002, 8.7591045E+001, 4.1903469E+001, 3.1407501E+001
 1.7000794E+002, 6.4471859E-001, 4.7403159E-002, 2.2226943E-002, 2.5924008E-005, 6.1804055E-006, 1.9947369E-002, 3.0817596E-006, 5.8335495E-001, 4.7654127E+002, 2.3341586E+002, 9.4091263E+001, 4.4328570E+001, 3.1609466E+001
 1.8000488E+002, 7.8962538E-001, 5.8833267E-002, 3.6933817E-002, 3.4416965E-005, 1.1512064E-005, 1.9842643E-002, 5.7403051E-006, 7.2253130E-001, 4.9497241E+002, 2.4846085E+002, 1.0085228E+002, 4.6530248E+001, 3.1845872E+001
 1.9000181E+002, 8.6821186E-001, 6.7493421E-002, 5.1444491E-002, 4.4160072E-005, 1.8938441E-005, 1.9721421E-002, 9.4433484E-006, 8.1940518E-001, 5.0891881E+002, 2.6310182E+002, 1.0641677E+002, 4.9042462E+001, 3.2096748E+001
 2.0000819E+002, 8.7959846E-001, 7.4187013E-002, 6.3576401E-002, 5.4879557E-005, 2.8124815E-005, 1.9593950E-002, 1.4023985E-005, 8.5955217E-001, 5.2080742E+002, 2.7268132E+002, 1.1368108E+002, 5.1985189E+001, 3.2348140E+001
 2.1000012E+002, 8.5857342E-001, 7.9703508E-002, 7.2858914E-002, 6.6379498E-005, 3.8637242E-005, 1.9467671E-002, 1.9265838E-005, 8.6043448E-001, 5.3106899E+002, 2.8398377E+002, 1.2121555E+002, 5.4363826E+001, 3.2594084E+001
 2.2000062E+002, 8.3358265E-001, 8.4174282E-002, 7.9667143E-002, 7.8534926E-005, 5.0141860E-005, 1.9344913E-002, 2.5002430E-005, 8.4506772E-001, 5.3985134E+002, 2.9480311E+002, 1.2672043E+002, 5.7456767E+001, 3.2832513E+001
 2.3000112E+002, 8.1059550E-001, 8.7428388E-002, 8.4348893E-002, 9.1160272E-005, 6.2322563E-005, 1.9225582E-002, 3.1076141E-005, 8.2512971E-001, 5.4744330E+002, 3.0215155E+002, 1.3486901E+002, 6.0313571E+001, 3.3061055E+001
 2.4000163E+002, 7.9112522E-001, 8.9712207E-002, 8.7528404E-002, 1.0411542E-004, 7.4962414E-005, 1.9109262E-002, 3.7378799E-005, 8.0554026E-001, 5.5384211E+002, 3.1186425E+002, 1.4098686E+002, 6.3292467E+001, 3.3278860E+001
 2.5000213E+002, 7.7424956E-001, 9.1915856E-002, 9.0327022E-002, 1.1738879E-004, 8.8006409E-005, 1.8995637E-002, 4.3882977E-005, 7.8808806E-001, 5.5932159E+002, 3.1891688E+002, 1.4779986E+002, 6.6675437E+001, 3.3486880E+001
 2.6000263E+002, 7.6108739E-001, 9.3731207E-002, 9.2558296E-002, 1.3092431E-004, 1.0137262E-004, 1.8884098E-002, 5.0547823E-005, 7.7351937E-001, 5.6408157E+002, 3.2677266E+002, 1.5492430E+002, 6.9664727E+001, 3.3687284E+001
 2.7000313E+002, 7.4864691E-001, 9.5133675E-002, 9.4260975E-002, 1.4466236E-004, 1.1498471E-004, 1.8774370E-002, 5.7335273E-005, 7.6039000E-001, 5.6852537E+002, 3.3428954E+002, 1.6059101E+002, 7.3286545E+001, 3.3878147E+001
 2.8000364E+002, 7.3738805E-001, 9.6293665E-002, 9.5642636E-002, 1.5856793E-004, 1.2879633E-004, 1.8666331E-002, 6.4222213E-005, 7.4853569E-001, 5.7216849E+002, 3.3979197E+002, 1.6813213E+002, 7.6210347E+001, 3.4065057E+001
 2.9000414E+002, 7.2759462E-001, 9.7567554E-002, 9.7087164E-002, 1.7265745E-004, 1.4281655E-004, 1.8559833E-002, 7.1213168E-005, 7.3828671E-001, 5.7567143E+002, 3.4766536E+002, 1.7332175E+002, 8.0092488E+001, 3.4245473E+001
 3.0000464E+002, 7.1903861E-001, 9.8491171E-002, 9.8142388E-002, 1.8688035E-004, 1.5698915E-004, 1.8454600E-002, 7.8280108E-005, 7.2928382E-001, 5.7890788E+002, 3.5186504E+002, 1.8133873E+002, 8.2892544E+001, 3.4423211E+001
 3.1000514E+002, 7.1047563E-001, 9.9023434E-002, 9.8777354E-002, 2.0118011E-004, 1.7125344E-004, 1.8350522E-002, 8.5392769E-005, 7.2051488E-001, 5.8167658E+002, 3.5928022E+002, 1.8584451E+002, 8.7009819E+001, 3.4598790E+001
 3.2000565E+002, 7.0088573E-001, 9.9793931E-002, 9.9628791E-002, 2.1559113E-004, 1.8564069E-004, 1.8247806E-002, 9.2566739E-005, 7.1158971E-001, 5.8372428E+002, 3.6386785E+002, 1.9332511E+002, 8.9789333E+001, 3.4776029E+001
 3.3000615E+002, 6.9476705E-001, 1.0076477E-001, 1.0066803E-001, 2.3014236E-004, 2.0017802E-004, 1.8146157E-002, 9.9815543E-005, 7.0468891E-001, 5.8646862E+002, 3.6981567E+002, 1.9838009E+002, 9.3626686E+001, 3.4948865E+001
 3.4000665E+002, 6.8994728E-001, 1.0159235E-001, 1.0155149E-001, 2.4481309E-004, 2.1484292E-004, 1.8045242E-002, 1.0712796E-004, 6.9930165E-001, 5.8894175E+002, 3.7510720E+002, 2.0473713E+002, 9.6635767E+001, 3.5125989E+001
 3.5000715E+002, 6.8479392E-001, 1.0227890E-001, 1.0228394E-001, 2.5958297E-004, 2.2961360E-004, 1.7944999E-002, 1.1449312E-004, 6.9428465E-001, 5.9124723E+002, 3.7954078E+002, 2.0991262E+002, 1.0058357E+002, 3.5304872E+001
 3.6000766E+002, 6.7829669E-001, 1.0244530E-001, 1.0248718E-001, 2.7437688E-004, 2.4441363E-004, 1.7845532E-002, 1.2187292E-004, 6.8851924E-001, 5.9320484E+002, 3.8621507E+002, 2.1576498E+002, 1.0344201E+002, 3.5487115E+001
 3.7000816E+002, 6.7376581E-001, 1.0340295E-001, 1.0347833E-001, 2.8930907E-004, 2.5935679E-004, 1.7746853E-002, 1.2932408E-004, 6.8395434E-001, 5.9511789E+002, 3.8891756E+002, 2.2073009E+002, 1.0753457E+002, 3.5674662E+001
 3.8000009E+002, 6.6808845E-001, 1.0341909E-001, 1.0351997E-001, 3.0423080E-004, 2.7429314E-004, 1.7648821E-002, 1.3677185E-004, 6.7884705E-001, 5.9650541E+002, 3.9563017E+002, 2.2618916E+002, 1.1050974E+002, 3.5868624E+001
 3.9000059E+002, 6.6290680E-001, 1.0399677E-001, 1.0412113E-001, 3.1924875E-004, 2.8932912E-004, 1.7551552E-002, 1.4426930E-004, 6.7409116E-001, 5.9791445E+002, 3.9852926E+002, 2.3092103E+002, 1.1450160E+002, 3.6069835E+001
 4.0000109E+002, 6.5885627E-001, 1.0460984E-001, 1.0475479E-001, 3.3435523E-004, 3.0445661E-004, 1.7454818E-002, 1.5181238E-004, 6.7016449E-001, 5.9968462E+002, 4.0458268E+002, 2.3596606E+002, 1.1757394E+002, 3.6277699E+001
 4.1000159E+002, 6.5559659E-001, 1.0519586E-001, 1.0535872E-001, 3.4954634E-004, 3.1967131E-004, 1.7358526E-002, 1.5939895E-004, 6.6707143E-001, 6.0121720E+002, 4.0802016E+002, 2.4054766E+002, 1.2149955E+002, 3.6496097E+001
 4.2000210E+002, 6.5111961E-001, 1.0533360E-001, 1.0551063E-001, 3.6475734E-004, 3.3490795E-004, 1.7262685E-002, 1.6699645E-004, 6.6349932E-001, 6.0241725E+002, 4.1431481E+002, 2.4501575E+002, 1.2455677E+002, 3.6722863E+001
 4.3000260E+002, 6.4757255E-001, 1.0594990E-001, 1.0614085E-001, 3.8005733E-004, 3.5023560E-004, 1.7167341E-002, 1.7463933E-004, 6.6046411E-001, 6.0400361E+002, 4.1667760E+002, 2.4939071E+002, 1.2858300E+002, 3.6961189E+001
 4.4000310E+002, 6.4359289E-001, 1.0609611E-001, 1.0629798E-001, 3.9537845E-004, 3.6558594E-004, 1.7072411E-002, 1.8229353E-004, 6.5732113E-001, 6.0525777E+002, 4.2328595E+002, 2.5361392E+002, 1.3156207E+002, 3.7210711E+001
 4.5000360E+002, 6.4017059E-001, 1.0659287E-001, 1.0680531E-001, 4.1077129E-004, 3.8100954E-004, 1.6977904E-002, 1.8998426E-004, 6.5457585E-001, 6.0642090E+002, 4.2624238E+002, 2.5734863E+002, 1.3498021E+002, 3.7473296E+001
