s,mg/cm2 s,mg/cm2 s,mg/cm2 s,kg,kg,kg,kg,mg/cm2 s,C,C,C,C,C
Time,mf,norm mf O2,norm mf CO2,NORM MASS O2 CONSUMED,NORM MASS CO2 PRODUCED,MASS,NORM MASS ASH PRODUCED,wt loss mf,T0mm,T5mm,T10mm,T15mm,T38mm
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0406942E-002, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001
 1.0001374E+001, 1.7725239E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0405807E-002, 0.0000000E+000, 1.5955229E-002, 1.4261206E+002, 3.0070295E+001, 2.9969681E+001, 2.9969681E+001, 3.0021379E+001
 2.0012064E+001, 7.2200293E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0398927E-002, 0.0000000E+000, 5.7246271E-002, 2.1406904E+002, 3.3668880E+001, 2.9912840E+001, 2.9909343E+001, 3.0084476E+001
 3.0012088E+001, 1.1101498E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0384591E-002, 0.0000000E+000, 9.4853989E-002, 2.4871989E+002, 4.4963397E+001, 2.9962780E+001, 2.9849382E+001, 3.0153277E+001
 4.0000132E+001, 1.1642662E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0367308E-002, 0.0000000E+000, 1.1098393E-001, 2.7369673E+002, 6.0147376E+001, 3.0512742E+001, 2.9792969E+001, 3.0224408E+001
 5.0008413E+001, 1.1172496E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0350208E-002, 0.0000000E+000, 1.1387264E-001, 2.9367041E+002, 7.6004305E+001, 3.1976064E+001, 2.9759116E+001, 3.0297928E+001
 6.0003595E+001, 1.0769759E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0333776E-002, 0.0000000E+000, 1.1247841E-001, 3.0994024E+002, 9.1361903E+001, 3.4486486E+001, 2.9794416E+001, 3.0372101E+001
 7.0011876E+001, 1.0564238E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0317786E-002, 0.0000000E+000, 1.1075932E-001, 3.2344875E+002, 1.0588732E+002, 3.7957292E+001, 2.9935864E+001, 3.0445478E+001
 8.0010920E+001, 1.0550710E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0301951E-002, 0.0000000E+000, 1.1012232E-001, 3.3488077E+002, 1.1954094E+002, 4.2214002E+001, 3.0266137E+001, 3.0517250E+001
 9.0008504E+001, 1.0718322E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0286014E-002, 0.0000000E+000, 1.1104310E-001, 3.4470134E+002, 1.3237511E+002, 4.6720754E+001, 3.0827412E+001, 3.0586912E+001
 1.0000609E+002, 1.1053513E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0269714E-002, 0.0000000E+000, 1.1357921E-001, 3.5324705E+002, 1.4448844E+002, 5.1280445E+001, 3.1643071E+001, 3.0654250E+001
 1.1000367E+002, 1.1538643E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0252820E-002, 0.0000000E+000, 1.1764682E-001, 3.6076280E+002, 1.5596191E+002, 5.6693096E+001, 3.2723092E+001, 3.0719132E+001
 1.2000126E+002, 1.2154158E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0235130E-002, 0.0000000E+000, 1.2309837E-001, 3.6759979E+002, 1.6684941E+002, 6.2295508E+001, 3.4063879E+001, 3.0782636E+001
 1.3001063E+002, 1.2882911E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0216456E-002, 0.0000000E+000, 1.2976816E-001, 3.7382681E+002, 1.7719094E+002, 6.8005434E+001, 3.5653018E+001, 3.0843095E+001
 1.4000822E+002, 1.3700702E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0196662E-002, 0.0000000E+000, 1.3743275E-001, 3.7946743E+002, 1.8699200E+002, 7.3756271E+001, 3.7470813E+001, 3.0903419E+001
 1.5000580E+002, 1.4583955E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0175646E-002, 0.0000000E+000, 1.4586785E-001, 3.8454348E+002, 1.9622958E+002, 7.9499261E+001, 3.9492907E+001, 3.0961381E+001
 1.6000338E+002, 1.5521515E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0153316E-002, 0.0000000E+000, 1.5493922E-001, 3.8915405E+002, 2.0488795E+002, 8.5206623E+001, 4.1696440E+001, 3.1015824E+001
 1.7000097E+002, 1.6486426E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0129603E-002, 0.0000000E+000, 1.6439405E-001, 3.9350796E+002, 2.1296279E+002, 9.0856919E+001, 4.4057078E+001, 3.1067604E+001
 1.8001034E+002, 1.7448921E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0104476E-002, 0.0000000E+000, 1.7397085E-001, 3.9754400E+002, 2.2048469E+002, 9.6438974E+001, 4.6553591E+001, 3.1119016E+001
 1.9000793E+002, 1.8388352E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0077972E-002, 0.0000000E+000, 1.8343784E-001, 4.0123264E+002, 2.2748280E+002, 1.0194053E+002, 4.9162861E+001, 3.1169267E+001
 2.0000551E+002, 1.9312821E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0050132E-002, 0.0000000E+000, 1.9278605E-001, 4.0472157E+002, 2.3398250E+002, 1.0735392E+002, 5.1863857E+001, 3.1215999E+001
 2.1000310E+002, 2.0187552E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0020982E-002, 0.0000000E+000, 2.0176024E-001, 4.0805976E+002, 2.4002950E+002, 1.1268050E+002, 5.4640107E+001, 3.1262496E+001
 2.2000855E+002, 2.0998907E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9990588E-002, 0.0000000E+000, 2.1016319E-001, 4.1117901E+002, 2.4418092E+002, 1.1767045E+002, 5.7369753E+001, 3.1308009E+001
 2.3000285E+002, 2.1730433E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9959085E-002, 0.0000000E+000, 2.1791860E-001, 4.1408331E+002, 2.4838740E+002, 1.2263137E+002, 6.0164612E+001, 3.1356225E+001
 2.4000776E+002, 2.2396657E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9926552E-002, 0.0000000E+000, 2.2498619E-001, 4.1690660E+002, 2.5334654E+002, 1.2768548E+002, 6.3069623E+001, 3.1400760E+001
 2.5000205E+002, 2.2966078E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9893118E-002, 0.0000000E+000, 2.3120546E-001, 4.1957143E+002, 2.5799019E+002, 1.3265105E+002, 6.5998646E+001, 3.1446598E+001
 2.6000696E+002, 2.3445982E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9858906E-002, 0.0000000E+000, 2.3654170E-001, 4.2210180E+002, 2.6234387E+002, 1.3752652E+002, 6.8942956E+001, 3.1494570E+001
 2.7000125E+002, 2.3827736E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9824062E-002, 0.0000000E+000, 2.4096123E-001, 4.2441637E+002, 2.6642823E+002, 1.4230942E+002, 7.1663400E+001, 3.1547229E+001
 2.8000616E+002, 2.4141013E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9788693E-002, 0.0000000E+000, 2.4460474E-001, 4.2668537E+002, 2.7025778E+002, 1.4699578E+002, 7.3692409E+001, 3.1598474E+001
 2.9000045E+002, 2.4369649E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9752915E-002, 0.0000000E+000, 2.4744031E-001, 4.2880635E+002, 2.7385464E+002, 1.5158033E+002, 7.6603786E+001, 3.1653904E+001
 3.0000536E+002, 2.4535673E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9716839E-002, 0.0000000E+000, 2.4964355E-001, 4.3126052E+002, 2.7724172E+002, 1.5605705E+002, 7.9509322E+001, 3.1726386E+001
 3.1001026E+002, 2.4641641E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9680506E-002, 0.0000000E+000, 2.5117517E-001, 4.3281802E+002, 2.8046786E+002, 1.6042246E+002, 8.2407153E+001, 3.1790483E+001
 3.2000456E+002, 2.4647118E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9644087E-002, 0.0000000E+000, 2.5184635E-001, 4.3467025E+002, 2.8348671E+002, 1.6466890E+002, 8.5291369E+001, 3.1846127E+001
 3.3000946E+002, 2.4573066E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9607693E-002, 0.0000000E+000, 2.5173687E-001, 4.3648015E+002, 2.8632118E+002, 1.6879346E+002, 8.8161411E+001, 3.1917989E+001
 3.4000376E+002, 2.4496719E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9571383E-002, 0.0000000E+000, 2.5136459E-001, 4.3828481E+002, 2.8901529E+002, 1.7278903E+002, 9.1015710E+001, 3.2008910E+001
 3.5000867E+002, 2.4352888E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9535191E-002, 0.0000000E+000, 2.5046695E-001, 4.3986996E+002, 2.9158487E+002, 1.7665408E+002, 9.3853136E+001, 3.2089435E+001
 3.6000296E+002, 2.4185549E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9499179E-002, 0.0000000E+000, 2.4921293E-001, 4.4106817E+002, 2.9401681E+002, 1.8038960E+002, 9.6672267E+001, 3.2179809E+001
 3.7000787E+002, 2.3955729E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9463418E-002, 0.0000000E+000, 2.4746480E-001, 4.4265385E+002, 2.9630780E+002, 1.8399637E+002, 9.9472398E+001, 3.2268876E+001
 3.8000216E+002, 2.3724071E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9427956E-002, 0.0000000E+000, 2.4558441E-001, 4.4379787E+002, 2.9849015E+002, 1.8747379E+002, 1.0225312E+002, 3.2382915E+001
 3.9000707E+002, 2.3473232E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9392782E-002, 0.0000000E+000, 2.4349327E-001, 4.4522357E+002, 3.0056322E+002, 1.9082482E+002, 1.0501392E+002, 3.2484479E+001
 4.0000136E+002, 2.3197225E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9357941E-002, 0.0000000E+000, 2.4120168E-001, 4.4650726E+002, 3.0255729E+002, 1.9405306E+002, 1.0775418E+002, 3.2601166E+001
 4.1000627E+002, 2.2906946E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9323458E-002, 0.0000000E+000, 2.3876521E-001, 4.4765056E+002, 3.0447014E+002, 1.9716468E+002, 1.1047378E+002, 3.2728532E+001
 4.2000056E+002, 2.2624555E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9289332E-002, 0.0000000E+000, 2.3635459E-001, 4.4875531E+002, 3.0630057E+002, 2.0016562E+002, 1.1317191E+002, 3.2867074E+001
 4.3000547E+002, 2.2343462E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9255553E-002, 0.0000000E+000, 2.3397685E-001, 4.5005809E+002, 3.0805602E+002, 2.0306078E+002, 1.1584823E+002, 3.3018078E+001
 4.4001037E+002, 2.2046692E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9222099E-002, 0.0000000E+000, 2.3149184E-001, 4.5081180E+002, 3.0976301E+002, 2.0585647E+002, 1.1850386E+002, 3.3172557E+001
 4.5000467E+002, 2.1764026E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9189021E-002, 0.0000000E+000, 2.2910727E-001, 4.5185753E+002, 3.1138394E+002, 2.0855613E+002, 1.2113529E+002, 3.3334854E+001
