s,mg/cm2 s,mg/cm2 s,mg/cm2 s,kg,kg,kg,kg,mg/cm2 s,C,C,C,C,C
Time,mf,norm mf O2,norm mf CO2,NORM MASS O2 CONSUMED,NORM MASS CO2 PRODUCED,MASS,NORM MASS ASH PRODUCED,wt loss mf,T0mm,T5mm,T10mm,T15mm,T38mm
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0406942E-002, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001
 1.0000969E+001, 5.6950266E-002, 1.8555312E-005, 4.7084403E-011, 2.6796577E-009, 6.7997080E-015, 2.0404259E-002, 3.3905648E-015, 4.6393749E-002, 2.0141945E+002, 3.0136172E+001, 2.9969695E+001, 2.9969694E+001, 3.0071369E+001
 2.0007315E+001, 1.6472462E-001, 3.7548734E-004, 6.9351050E-008, 5.6934668E-008, 1.0027538E-011, 2.0386242E-002, 5.0000701E-012, 1.2543419E-001, 3.0245581E+002, 3.6108234E+001, 2.9915157E+001, 2.9909367E+001, 3.0263352E+001
 3.0001873E+001, 1.7629873E-001, 1.9089196E-003, 4.6707112E-006, 3.3243380E-007, 6.8411731E-010, 2.0360805E-002, 3.4112407E-010, 1.6105180E-001, 3.5487390E+002, 5.4369771E+001, 3.0037118E+001, 2.9849509E+001, 3.0485264E+001
 4.0008707E+001, 2.1361036E-001, 5.4218067E-003, 8.3039050E-005, 1.1158809E-006, 1.2683259E-008, 2.0332621E-002, 6.3243025E-009, 2.0030843E-001, 3.9418403E+002, 7.8683592E+001, 3.0984023E+001, 2.9795243E+001, 3.0729533E+001
 5.0000174E+001, 3.1086412E-001, 1.1272035E-002, 7.0518277E-004, 2.7421806E-006, 1.1442568E-007, 2.0294990E-002, 5.7056520E-008, 2.7986780E-001, 4.2826681E+002, 1.0436967E+002, 3.3434892E+001, 2.9773137E+001, 3.0997730E+001
 6.0001930E+001, 4.8196060E-001, 1.9057805E-002, 3.5319354E-003, 5.4946225E-006, 6.2453137E-007, 2.0237977E-002, 3.1141250E-007, 4.2095922E-001, 4.6052275E+002, 1.2999971E+002, 3.7499571E+001, 2.9855128E+001, 3.1300078E+001
 7.0006198E+001, 6.8584334E-001, 2.6894411E-002, 1.0627756E-002, 9.3798488E-006, 2.1598482E-006, 2.0152805E-002, 1.0769735E-006, 6.0077093E-001, 4.8951693E+002, 1.5546287E+002, 4.2618823E+001, 3.0143157E+001, 3.1632402E+001
 8.0007132E+001, 8.1910543E-001, 3.2755548E-002, 2.0333389E-002, 1.4110212E-005, 5.0962905E-006, 2.0042161E-002, 2.5411831E-006, 7.4534476E-001, 5.1287777E+002, 1.7602516E+002, 4.9619793E+001, 3.0739676E+001, 3.1980615E+001
 9.0008067E+001, 8.4677684E-001, 3.7097463E-002, 2.9128130E-002, 1.9467608E-005, 9.3028238E-006, 1.9920209E-002, 4.6387031E-006, 8.1155088E-001, 5.3113402E+002, 1.9826179E+002, 5.7814898E+001, 3.1728860E+001, 3.2326883E+001
 1.0000900E+002, 8.2096459E-001, 4.0443057E-002, 3.5557880E-002, 2.5308156E-005, 1.4437908E-005, 1.9798910E-002, 7.1992301E-006, 8.1849099E-001, 5.4569265E+002, 2.1942549E+002, 6.6666389E+001, 3.3129690E+001, 3.2659443E+001
 1.1000091E+002, 7.8550432E-001, 4.3064756E-002, 3.9997842E-002, 3.1521699E-005, 2.0208974E-005, 1.9682344E-002, 1.0076879E-005, 7.9857878E-001, 5.5761331E+002, 2.3845578E+002, 7.6008593E+001, 3.4798564E+001, 3.2976003E+001
 1.2000731E+002, 7.5401564E-001, 4.5016668E-002, 4.3007897E-002, 3.8026295E-005, 2.6423346E-005, 1.9570651E-002, 1.3175576E-005, 7.7167483E-001, 5.6739804E+002, 2.5625843E+002, 8.4202938E+001, 3.6966409E+001, 3.3276251E+001
 1.3000538E+002, 7.2983401E-001, 4.6653733E-002, 4.5282651E-002, 4.4761822E-005, 3.2960959E-005, 1.9462939E-002, 1.6435451E-005, 7.4681454E-001, 5.7568385E+002, 2.7038836E+002, 9.3718462E+001, 3.9709265E+001, 3.3555386E+001
 1.4000345E+002, 7.0889291E-001, 4.7838020E-002, 4.6874672E-002, 5.1668328E-005, 3.9728417E-005, 1.9358481E-002, 1.9809935E-005, 7.2457214E-001, 5.8263282E+002, 2.8095790E+002, 1.0373891E+002, 4.2527030E+001, 3.3819688E+001
 1.5000152E+002, 6.9026963E-001, 4.8845325E-002, 4.8155275E-002, 5.8720261E-005, 4.6680760E-005, 1.9256888E-002, 2.3276608E-005, 7.0481981E-001, 5.8855043E+002, 2.9393632E+002, 1.1295633E+002, 4.5632196E+001, 3.4068065E+001
 1.6000792E+002, 6.7389096E-001, 4.9672869E-002, 4.9174384E-002, 6.5897645E-005, 5.3786152E-005, 1.9157749E-002, 2.6819597E-005, 6.8729915E-001, 5.9378868E+002, 3.0605648E+002, 1.2043498E+002, 4.9232415E+001, 3.4302404E+001
 1.7000599E+002, 6.5928185E-001, 5.0393756E-002, 5.0033105E-002, 7.3173130E-005, 6.1009603E-005, 1.9060841E-002, 3.0421455E-005, 6.7175065E-001, 5.9844050E+002, 3.1473883E+002, 1.2960828E+002, 5.3262419E+001, 3.4523541E+001
 1.8000407E+002, 6.4643884E-001, 5.1082281E-002, 5.0823217E-002, 8.0548019E-005, 6.8347127E-005, 1.8965944E-002, 3.4080193E-005, 6.5803802E-001, 6.0260773E+002, 3.2230658E+002, 1.3921932E+002, 5.6608125E+001, 3.4732226E+001
 1.9000214E+002, 6.3450467E-001, 5.1644254E-002, 5.1462056E-002, 8.8004041E-005, 7.5776881E-005, 1.8872806E-002, 3.7784920E-005, 6.4550879E-001, 6.0629577E+002, 3.3161649E+002, 1.4771576E+002, 6.0621303E+001, 3.4931206E+001
 2.0000021E+002, 6.2289667E-001, 5.2101315E-002, 5.1978650E-002, 9.5526051E-005, 8.3281218E-005, 1.8781366E-002, 4.1526837E-005, 6.3369867E-001, 6.0963860E+002, 3.4058397E+002, 1.5400113E+002, 6.5032489E+001, 3.5121351E+001
 2.1000661E+002, 6.1305001E-001, 5.2639986E-002, 5.2564114E-002, 1.0313216E-004, 9.0876404E-005, 1.8691434E-002, 4.5314054E-005, 6.2331942E-001, 6.1282284E+002, 3.4629798E+002, 1.6301677E+002, 6.9328985E+001, 3.5301887E+001
 2.2000468E+002, 6.0365163E-001, 5.3061228E-002, 5.3022142E-002, 1.1079276E-004, 9.8531394E-005, 1.8602841E-002, 4.9131091E-005, 6.1365267E-001, 6.1558868E+002, 3.5249894E+002, 1.7207774E+002, 7.3026269E+001, 3.5478144E+001
 2.3000275E+002, 5.9484865E-001, 5.3456578E-002, 5.3447258E-002, 1.1851043E-004, 1.0624776E-004, 1.8515575E-002, 5.2978732E-005, 6.0462946E-001, 6.1812565E+002, 3.5993730E+002, 1.7865506E+002, 7.7560233E+001, 3.5645995E+001
 2.4000082E+002, 5.8616845E-001, 5.3725564E-002, 5.3740278E-002, 1.2626694E-004, 1.1400643E-004, 1.8429553E-002, 5.6847468E-005, 5.9597223E-001, 6.2035229E+002, 3.6711340E+002, 1.8524809E+002, 8.2196428E+001, 3.5809429E+001
 2.5000722E+002, 5.7812637E-001, 5.4125479E-002, 5.4160125E-002, 1.3408769E-004, 1.2183223E-004, 1.8344680E-002, 6.0749677E-005, 5.8790046E-001, 6.2256760E+002, 3.7074189E+002, 1.9368102E+002, 8.5929588E+001, 3.5970855E+001
 2.6000529E+002, 5.7068221E-001, 5.4441778E-002, 5.4493036E-002, 1.4194760E-004, 1.2969958E-004, 1.8260885E-002, 6.4672603E-005, 5.8042889E-001, 6.2463069E+002, 3.7651009E+002, 2.0173555E+002, 9.0304149E+001, 3.6127881E+001
 2.7000336E+002, 5.6393169E-001, 5.4738616E-002, 5.4803700E-002, 1.4985036E-004, 1.3761177E-004, 1.8178099E-002, 6.8617893E-005, 5.7358566E-001, 6.2658713E+002, 3.8295301E+002, 2.0582365E+002, 9.4981726E+001, 3.6285808E+001
 2.8000143E+002, 5.5708619E-001, 5.5033661E-002, 5.5110436E-002, 1.5779573E-004, 1.4556826E-004, 1.8096266E-002, 7.2585265E-005, 5.6700625E-001, 6.2826877E+002, 3.8915716E+002, 2.1317874E+002, 9.9314198E+001, 3.6443370E+001
 2.9000784E+002, 5.5086024E-001, 5.5328408E-002, 5.5415236E-002, 1.6579030E-004, 1.5357541E-004, 1.8015280E-002, 7.6577905E-005, 5.6089297E-001, 6.2998453E+002, 3.9118981E+002, 2.2057250E+002, 1.0273632E+002, 3.6604144E+001
 3.0000591E+002, 5.4516414E-001, 5.5658187E-002, 5.5753754E-002, 1.7382582E-004, 1.6162478E-004, 1.7935099E-002, 8.0591589E-005, 5.5532309E-001, 6.3171532E+002, 3.9728186E+002, 2.2627035E+002, 1.0764974E+002, 3.6765208E+001
 3.1000398E+002, 5.4016952E-001, 5.6088469E-002, 5.6191934E-002, 1.8192347E-004, 1.6973740E-004, 1.7855671E-002, 8.4636818E-005, 5.5046977E-001, 6.3339934E+002, 4.0329327E+002, 2.3071961E+002, 1.1237544E+002, 3.6932704E+001
 3.2000205E+002, 5.3428977E-001, 5.6039442E-002, 5.6148522E-002, 1.9001403E-004, 1.7784375E-004, 1.7776932E-002, 8.8678921E-005, 5.4525353E-001, 6.3467925E+002, 4.0839275E+002, 2.3710418E+002, 1.1557255E+002, 3.7106174E+001
 3.3000012E+002, 5.2833249E-001, 5.6256115E-002, 5.6370702E-002, 1.9813588E-004, 1.8598219E-004, 1.7698982E-002, 9.2737020E-005, 5.3995196E-001, 6.3585963E+002, 4.1028521E+002, 2.4355984E+002, 1.1994051E+002, 3.7285600E+001
 3.4000652E+002, 5.2324724E-001, 5.6603319E-002, 5.6723153E-002, 2.0631467E-004, 1.9417833E-004, 1.7621721E-002, 9.6823894E-005, 5.3525581E-001, 6.3724145E+002, 4.1656540E+002, 2.4679522E+002, 1.2488588E+002, 3.7473189E+001
 3.5000459E+002, 5.1853804E-001, 5.6803090E-002, 5.6927181E-002, 2.1451549E-004, 2.0239710E-004, 1.7545039E-002, 1.0092205E-004, 5.3093745E-001, 6.3851395E+002, 4.2238483E+002, 2.5205880E+002, 1.2793088E+002, 3.7669915E+001
 3.6000266E+002, 5.1317433E-001, 5.6905295E-002, 5.7032902E-002, 2.2273106E-004, 2.1063114E-004, 1.7469025E-002, 1.0502782E-004, 5.2645529E-001, 6.3945583E+002, 4.2597153E+002, 2.5764196E+002, 1.3209318E+002, 3.7878548E+001
 3.7000073E+002, 5.0823987E-001, 5.7159772E-002, 5.7290941E-002, 2.3098337E-004, 2.1890243E-004, 1.7393642E-002, 1.0915217E-004, 5.2225432E-001, 6.4064845E+002, 4.2891836E+002, 2.6224736E+002, 1.3702606E+002, 3.8097648E+001
 3.8000714E+002, 5.0297055E-001, 5.7156059E-002, 5.7289713E-002, 2.3924203E-004, 2.2718044E-004, 1.7318829E-002, 1.1327986E-004, 5.1796627E-001, 6.4144476E+002, 4.3521104E+002, 2.6541468E+002, 1.4087499E+002, 3.8327579E+001
 3.9000521E+002, 4.9919044E-001, 5.7884534E-002, 5.8022391E-002, 2.4759898E-004, 2.3555733E-004, 1.7244553E-002, 1.1745686E-004, 5.1474855E-001, 6.4293896E+002, 4.4102648E+002, 2.7052145E+002, 1.4431511E+002, 3.8572474E+001
 4.0000328E+002, 4.9480503E-001, 5.7675627E-002, 5.7814883E-002, 2.5592576E-004, 2.4390426E-004, 1.7170699E-002, 1.2161893E-004, 5.1139387E-001, 6.4382391E+002, 4.4314207E+002, 2.7548409E+002, 1.4898787E+002, 3.8832330E+001
 4.1000135E+002, 4.8984923E-001, 5.7861667E-002, 5.8003134E-002, 2.6427941E-004, 2.5227837E-004, 1.7097383E-002, 1.2579454E-004, 5.0780619E-001, 6.4459581E+002, 4.4755282E+002, 2.7786552E+002, 1.5369556E+002, 3.9103474E+001
 4.2000775E+002, 4.8546635E-001, 5.8176339E-002, 5.8320202E-002, 2.7268549E-004, 2.6070528E-004, 1.7024531E-002, 1.2999649E-004, 5.0453882E-001, 6.4549685E+002, 4.5396657E+002, 2.8223079E+002, 1.5626895E+002, 3.9392453E+001
 4.3000582E+002, 4.8145903E-001, 5.8439350E-002, 5.8585321E-002, 2.8112254E-004, 2.6916344E-004, 1.6952089E-002, 1.3421401E-004, 5.0166518E-001, 6.4657733E+002, 4.5915209E+002, 2.8676413E+002, 1.6085872E+002, 3.9698900E+001
 4.4000389E+002, 4.7689684E-001, 5.8457664E-002, 5.8604890E-002, 2.8956223E-004, 2.7762443E-004, 1.6880094E-002, 1.3843295E-004, 4.9863380E-001, 6.4722216E+002, 4.5976742E+002, 2.9021609E+002, 1.6549077E+002, 4.0021440E+001
 4.5000196E+002, 4.7202640E-001, 5.8541152E-002, 5.8689708E-002, 2.9801398E-004, 2.8609767E-004, 1.6808569E-002, 1.4265799E-004, 4.9542637E-001, 6.4781849E+002, 4.6578245E+002, 2.9264782E+002, 1.6836571E+002, 4.0356066E+001
