s,mol/mol
Time,"XO2"
 0.0000000E+000, 2.0755882E-001
 1.0005157E+000, 2.0755882E-001
 2.0008979E+000, 2.0755882E-001
 3.0000072E+000, 2.0755882E-001
 4.0004441E+000, 2.0755882E-001
 5.0000077E+000, 2.0755882E-001
 6.0006960E+000, 2.0754056E-001
 7.0004054E+000, 2.0252980E-001
 8.0002581E+000, 1.9696336E-001
 9.0002206E+000, 1.9181080E-001
 1.0000507E+001, 1.8690053E-001
 1.1000153E+001, 1.8225406E-001
 1.2000458E+001, 1.7783900E-001
 1.3000344E+001, 1.7363974E-001
 1.4000056E+001, 1.6963894E-001
 1.5000282E+001, 1.6582159E-001
 1.6000480E+001, 1.6217401E-001
 1.7000802E+001, 1.5868537E-001
 1.8000373E+001, 1.5534804E-001
 1.9000492E+001, 1.5214898E-001
 2.0000034E+001, 1.4908371E-001
 2.1000082E+001, 1.4613886E-001
 2.2000301E+001, 1.4330782E-001
 2.3000577E+001, 1.4059330E-001
 2.4000685E+001, 1.3797328E-001
 2.5000870E+001, 1.3545545E-001
 2.6000785E+001, 1.3302601E-001
 2.7000074E+001, 1.3068752E-001
 2.8000336E+001, 1.2842693E-001
 2.9000141E+001, 1.2624542E-001
 3.0000605E+001, 1.2413736E-001
 3.1000847E+001, 1.2209915E-001
 3.2000842E+001, 1.2012723E-001
 3.3000301E+001, 1.1822195E-001
 3.4000925E+001, 1.1636814E-001
 3.5000989E+001, 1.1458112E-001
 3.6000936E+001, 1.1284329E-001
 3.7000451E+001, 1.1115629E-001
 3.8000857E+001, 1.0952902E-001
 3.9000509E+001, 1.0793695E-001
 4.0002212E+001, 1.0639595E-001
 4.1000829E+001, 1.0490298E-001
 4.2002620E+001, 1.0344668E-001
 4.3000571E+001, 1.0203987E-001
 4.4000147E+001, 1.0065970E-001
 4.5003011E+001, 9.9317209E-002
 4.6000686E+001, 9.8018331E-002
 4.7002882E+001, 9.6738159E-002
 4.8004804E+001, 9.5505074E-002
 4.9001129E+001, 9.4298218E-002
 5.0003051E+001, 9.3121050E-002
 5.1004974E+001, 9.1969888E-002
 5.2000422E+001, 9.0861985E-002
 5.3000852E+001, 8.9770936E-002
 5.4001282E+001, 8.8701168E-002
 5.5002772E+001, 8.7654668E-002
 5.6003554E+001, 8.6645045E-002
 5.7004336E+001, 8.5650834E-002
 5.8004104E+001, 8.4682650E-002
 5.9001799E+001, 8.3733461E-002
 6.0004245E+001, 8.2804311E-002
 6.1001941E+001, 8.1904177E-002
 6.2000664E+001, 8.1016376E-002
 6.3004461E+001, 8.0138786E-002
 6.4003589E+001, 7.9293597E-002
 6.5000000E+001, 7.8466812E-002
