s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1814760E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1814760E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0008340E+000, 3.1470371E+000, 0.0000000E+000,-6.6063756E-001,-1.2405914E-001, 1.7266784E-002, 2.2721038E-004, 0.0000000E+000,-1.5065381E-002,-3.3647533E+000, 2.3647690E+000, 3.2112000E-001, 0.0000000E+000, 7.7177695E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5651755E-006
 2.0002675E+000, 7.5246179E+000, 0.0000000E+000,-2.0271157E+000,-2.3997921E+000, 2.2226262E-002, 1.1084014E-003, 0.0000000E+000,-3.6907526E-002, 3.0801994E+000, 3.0841373E+000, 3.2112000E-001, 0.0000000E+000, 1.5789544E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9569094E-005
 3.0002909E+000, 9.0159056E+000, 0.0000000E+000,-2.2756590E+000,-5.3563210E+000, 1.4575333E-002, 1.7487959E-003, 0.0000000E+000,-4.2467150E-002, 1.4195693E+000, 1.3577826E+000, 3.2112000E-001, 0.0000000E+000, 1.7434938E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1608347E-005
 4.0002508E+000, 8.9577896E+000, 0.0000000E+000,-2.4568056E+000,-7.0485516E+000, 8.1246350E-003, 2.3184241E-003, 0.0000000E+000,-2.6754275E-002,-4.9908835E-001,-5.6387886E-001, 3.2112000E-001, 0.0000000E+000, 1.7674264E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1904961E-005
 5.0000887E+000, 9.1382324E+000, 0.0000000E+000,-2.4998567E+000,-5.5843498E+000, 4.3473030E-003, 2.7111842E-003, 0.0000000E+000,-3.0452555E-002, 1.0919537E+000, 1.0306318E+000, 3.2112000E-001, 0.0000000E+000, 1.7706985E-004, 0.0000000E+000, 0.0000000E+000, 7.8382041E-008, 0.0000000E+000, 2.1945514E-005
 6.0004239E+000, 9.0986520E+000, 0.0000000E+000,-2.4795368E+000,-5.9651469E+000, 5.7408979E-004, 3.1203338E-003, 0.0000000E+000,-3.2038573E-002, 6.7535375E-001, 6.2562413E-001, 3.2112000E-001, 0.0000000E+000, 1.7711420E-004, 0.0000000E+000, 0.0000000E+000, 4.3264145E-003, 0.0000000E+000, 2.1951011E-005
 7.0008163E+000, 9.0487899E+000, 0.0000000E+000,-2.4562140E+000,-6.3115289E+000,-2.7791902E-003, 3.4640128E-003, 0.0000000E+000,-3.5375632E-002, 2.9720429E-001, 2.4635621E-001, 3.2112000E-001, 0.0000000E+000, 1.7712021E-004, 0.0000000E+000, 0.0000000E+000, 1.2969192E-002, 0.0000000E+000, 2.1951755E-005
 8.0004129E+000, 9.0854244E+000, 0.0000000E+000,-2.4013434E+000,-5.4695345E+000,-3.4603524E-003, 3.7608662E-003, 0.0000000E+000,-3.3843975E-002, 1.2371297E+000, 1.1810031E+000, 3.2112000E-001, 0.0000000E+000, 1.7712102E-004, 0.0000000E+000, 0.0000000E+000, 2.1609224E-002, 0.0000000E+000, 2.1951856E-005
