s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_NITROGEN,MLR_INT PROD,MLR_ETH PROD
 2.0000933E+001, 1.1051595E+001,-1.6281832E+000,-1.0081591E+001,-6.7268005E-002, 1.2574160E-002, 0.0000000E+000,-3.1392207E-002,-7.3742872E-001,-7.4426510E-001, 3.2112000E-001, 2.5132864E-004, 1.2529308E-001, 0.0000000E+000, 0.0000000E+000
 2.1000738E+001, 1.1008131E+001,-1.5300209E+000,-9.7326842E+000,-6.5169228E-002, 1.2436448E-002, 0.0000000E+000,-3.1255648E-002,-3.5407390E-001,-3.3856267E-001, 3.2112000E-001, 2.5132864E-004, 1.3393662E-001, 0.0000000E+000, 0.0000000E+000
 2.2001444E+001, 1.1017190E+001,-1.4504545E+000,-8.4789311E+000,-6.0653219E-002, 1.2185637E-002, 0.0000000E+000,-3.1255797E-002, 1.0030056E+000, 1.0080809E+000, 3.2112000E-001, 2.5132864E-004, 1.4257981E-001, 0.0000000E+000, 0.0000000E+000
 2.3001163E+001, 1.1024303E+001,-1.4524493E+000,-1.0720219E+001,-5.9932298E-002, 1.1884931E-002, 0.0000000E+000,-3.0713164E-002,-1.2720556E+000,-1.2271251E+000, 3.2112000E-001, 2.5132864E-004, 1.5122111E-001, 0.0000000E+000, 0.0000000E+000
 2.4001337E+001, 1.1038849E+001,-1.3801568E+000,-9.0017916E+000,-5.5481943E-002, 1.1604918E-002, 0.0000000E+000,-3.0606094E-002, 5.3075230E-001, 5.8241770E-001, 3.2112000E-001, 2.5132864E-004, 1.5985978E-001, 0.0000000E+000, 0.0000000E+000
 2.5000534E+001, 1.1024664E+001,-1.3103812E+000,-9.3818440E+000,-5.5980252E-002, 1.1426838E-002, 0.0000000E+000,-3.0595991E-002, 2.5105341E-001, 2.5728941E-001, 3.2112000E-001, 2.5132864E-004, 1.6849743E-001, 0.0000000E+000, 0.0000000E+000
 2.6000359E+001, 1.1051284E+001,-1.2558883E+000,-9.8183979E+000,-5.4901656E-002, 1.1284465E-002, 0.0000000E+000,-3.0271341E-002,-1.1667083E-001,-9.6890967E-002, 3.2112000E-001, 2.5132864E-004, 1.7713237E-001, 0.0000000E+000, 0.0000000E+000
 2.7001591E+001, 1.1025970E+001,-1.1892388E+000,-9.8717450E+000,-5.4662058E-002, 1.1137951E-002, 0.0000000E+000,-3.0171965E-002,-1.3444759E-001,-1.0870941E-001, 3.2112000E-001, 2.5132864E-004, 1.8577739E-001, 0.0000000E+000, 0.0000000E+000
 2.8001734E+001, 1.1009362E+001,-1.1359628E+000,-9.3242371E+000,-5.3611686E-002, 1.0981778E-002, 0.0000000E+000,-3.0065842E-002, 5.2414563E-001, 4.7646666E-001, 3.2112000E-001, 2.5132864E-004, 1.9442216E-001, 0.0000000E+000, 0.0000000E+000
 2.9000704E+001, 1.1006114E+001,-1.0768257E+000,-1.0586077E+001,-5.2931589E-002, 1.0803471E-002, 0.0000000E+000,-2.9905583E-002,-7.2403525E-001,-7.2882219E-001, 3.2112000E-001, 2.5132864E-004, 2.0305894E-001, 0.0000000E+000, 0.0000000E+000
 3.0001863E+001, 1.1026316E+001,-1.0449270E+000,-1.0071645E+001,-5.2628258E-002, 1.0627642E-002, 0.0000000E+000,-2.9775571E-002,-1.7901059E-001,-1.6203158E-001, 3.2112000E-001, 2.5132864E-004, 2.1170054E-001, 0.0000000E+000, 0.0000000E+000
 3.1001543E+001, 1.1043543E+001,-9.8680772E-001,-1.0181865E+001,-5.2458068E-002, 1.0473234E-002, 0.0000000E+000,-2.9707007E-002,-2.2115024E-001,-1.9682121E-001, 3.2112000E-001, 2.5132864E-004, 2.2034553E-001, 0.0000000E+000, 0.0000000E+000
 3.2001438E+001, 1.0977671E+001,-9.2842561E-001,-1.0063591E+001,-4.9022385E-002, 1.0237618E-002, 0.0000000E+000,-2.9501465E-002,-1.0524618E-001,-8.2631833E-002, 3.2112000E-001, 2.5132864E-004, 2.2898212E-001, 0.0000000E+000, 0.0000000E+000
 3.3002216E+001, 1.0890653E+001,-8.5010256E-001,-9.5773907E+000,-4.2897266E-002, 9.6806607E-003, 0.0000000E+000,-2.9261156E-002, 3.7553768E-001, 4.0068179E-001, 3.2112000E-001, 2.5132864E-004, 2.3762481E-001, 0.0000000E+000, 0.0000000E+000
 3.4001556E+001, 1.0936255E+001,-7.7183129E-001,-9.9410193E+000,-3.6732902E-002, 8.9775305E-003, 0.0000000E+000,-2.9219776E-002, 1.5480398E-001, 1.6642904E-001, 3.2112000E-001, 2.5132864E-004, 2.4626695E-001, 0.0000000E+000, 0.0000000E+000
 3.5002174E+001, 1.0960307E+001,-7.1990022E-001,-1.0223583E+001,-3.5695430E-002, 8.4587395E-003, 0.0000000E+000,-2.9346070E-002,-6.4145848E-002,-3.9759153E-002, 3.2112000E-001, 2.5132864E-004, 2.5490430E-001, 0.0000000E+000, 0.0000000E+000
 3.6000679E+001, 1.1021051E+001,-6.4897712E-001,-9.9937353E+000,-3.6122071E-002, 8.1628280E-003, 0.0000000E+000,-2.9401986E-002, 3.6026209E-001, 3.2097774E-001, 3.2112000E-001, 2.5132864E-004, 2.6354201E-001, 0.0000000E+000, 0.0000000E+000
 3.7001492E+001, 1.0982291E+001,-6.1410960E-001,-1.0938609E+001,-3.5053203E-002, 7.9697521E-003, 0.0000000E+000,-2.9622454E-002,-5.9124896E-001,-6.2713281E-001, 3.2112000E-001, 2.5132864E-004, 2.7217976E-001, 0.0000000E+000, 0.0000000E+000
 3.8000088E+001, 1.0921735E+001,-5.3908634E-001,-1.0163102E+001,-3.4178354E-002, 7.7645712E-003, 0.0000000E+000,-2.9461362E-002, 1.8572364E-001, 1.6367210E-001, 3.2112000E-001, 2.5132864E-004, 2.8081549E-001, 0.0000000E+000, 0.0000000E+000
 3.9001926E+001, 1.0889670E+001,-4.7599603E-001,-1.0824388E+001,-3.4513745E-002, 7.4800639E-003, 0.0000000E+000,-2.9403153E-002,-4.7365282E-001,-4.6715124E-001, 3.2112000E-001, 2.5132864E-004, 2.8945777E-001, 0.0000000E+000, 0.0000000E+000
 4.0001785E+001, 1.0875926E+001,-4.3370797E-001,-1.0659384E+001,-3.2464432E-002, 7.1994979E-003, 0.0000000E+000,-2.9481094E-002,-2.7524199E-001,-2.7191251E-001, 3.2112000E-001, 2.5132864E-004, 2.9810487E-001, 0.0000000E+000, 0.0000000E+000
 4.1001991E+001, 1.0668993E+001,-3.6011399E-001,-1.0090601E+001,-2.5647578E-002, 6.6883128E-003, 0.0000000E+000,-2.8371303E-002, 1.4799997E-001, 1.7094735E-001, 3.2112000E-001, 2.5132864E-004, 3.0674585E-001, 0.0000000E+000, 0.0000000E+000
 4.2001114E+001, 9.9249249E+000,-2.7815191E-001,-9.5174937E+000,-1.1945683E-002, 4.9755631E-003, 0.0000000E+000,-1.9399049E-002, 7.5395596E-002, 1.0291004E-001, 3.2112000E-001, 2.5132864E-004, 3.1538352E-001, 0.0000000E+000, 0.0000000E+000
 4.3000977E+001, 9.7194566E+000,-2.3477912E-001,-1.0286854E+001,-5.2722945E-003, 4.4491929E-003, 0.0000000E+000,-8.5011004E-003,-8.7515654E-001,-8.1150103E-001, 3.2112000E-001, 2.5132864E-004, 3.2401859E-001, 0.0000000E+000, 0.0000000E+000
 4.4001163E+001, 9.3626755E+000,-1.8214161E-001,-9.2871835E+000,-7.1029853E-004, 3.7054271E-003, 0.0000000E+000,-9.8169264E-003,-1.6911504E-001,-1.1347140E-001, 3.2112000E-001, 2.5132864E-004, 3.3265956E-001, 0.0000000E+000, 0.0000000E+000
 4.5001106E+001, 9.4276326E+000,-1.3458908E-001,-9.2776343E+000, 6.6003440E-004, 3.0293756E-003, 0.0000000E+000,-1.1230246E-002,-1.1413051E-002, 7.8684119E-003, 3.2112000E-001, 2.5132864E-004, 3.4130055E-001, 0.0000000E+000, 0.0000000E+000
 4.6001579E+001, 8.9351286E+000,-9.1624864E-002,-8.8015459E+000, 1.6653980E-003, 3.3774866E-003, 0.0000000E+000,-1.1212799E-002, 2.3222365E-002, 3.5787972E-002, 3.2112000E-001, 2.5132864E-004, 3.4994082E-001, 0.0000000E+000, 0.0000000E+000
 4.7001270E+001, 9.1051336E+000,-5.9759764E-002,-1.0329356E+001, 1.3469862E-003, 2.9475698E-003, 0.0000000E+000,-1.0741285E-002,-1.2971208E+000,-1.2904285E+000, 3.2112000E-001, 2.5132864E-004, 3.5858452E-001, 0.0000000E+000, 0.0000000E+000
 4.8002953E+001, 7.0098965E+000,-2.8490557E-002,-8.1743957E+000, 3.1285431E-003, 2.8177423E-003, 0.0000000E+000,-2.5177749E-003,-1.1950902E+000,-1.1895613E+000, 3.2112000E-001, 2.5132864E-004, 3.6723250E-001, 0.0000000E+000, 0.0000000E+000
 4.9000565E+001, 3.5313025E+000,-7.8017944E-003,-4.8495780E+000, 4.8621997E-003, 2.6894816E-003, 0.0000000E+000,-4.1628427E-004,-1.3295426E+000,-1.3189419E+000, 3.2112000E-001, 2.5132864E-004, 3.7587520E-001, 0.0000000E+000, 0.0000000E+000
 5.0001919E+001, 1.0645547E+000,-1.1843757E-003,-1.7440188E+000, 5.0450461E-003, 2.6101741E-003, 0.0000000E+000,-3.5299715E-004,-6.8566965E-001,-6.7334629E-001, 3.2112000E-001, 2.5132864E-004, 3.8452427E-001, 0.0000000E+000, 0.0000000E+000
 5.1001686E+001, 1.4474878E-001, 4.6555444E-005,-3.2620165E-001, 5.0069911E-003, 2.5598806E-003, 0.0000000E+000,-3.8881386E-004,-1.8636967E-001,-1.7422826E-001, 3.2112000E-001, 2.5132864E-004, 3.9318612E-001, 0.0000000E+000, 0.0000000E+000
 5.2006763E+001, 2.6161706E-005, 1.5419775E-004, 4.3449594E-003, 4.7646076E-003, 2.5197505E-003, 0.0000000E+000,-4.1747074E-004,-2.5519516E-003, 1.1392206E-002, 3.2112000E-001, 2.5132864E-004, 4.0184710E-001, 0.0000000E+000, 0.0000000E+000
