cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_1p0D,soot_1p5D,soot_2p0D,soot_2p5D,soot_3p0D,soot_3p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p0D,soot_rms_2p5D,soot_rms_3p0D,soot_rms_3p5D
-5.0000000E-001, 9.9264722E+002, 1.0285382E+003, 9.6044758E+002, 8.8086798E+002, 8.1014452E+002, 7.0760514E+002, 1.6789968E+002, 2.4190469E+002, 3.1869764E+002, 3.3837332E+002, 3.3623332E+002, 2.9762261E+002,-1.0500000E+001, 1.9620596E-006, 2.1915092E-003, 1.0945989E-002, 2.1914000E-002, 3.6470238E-002, 4.7440400E-002, 2.6230305E-005, 1.7810234E-002, 4.5251309E-002, 5.3150009E-002, 6.1663480E-002, 6.2525128E-002
-5.0000000E-003, 9.9264722E+002, 1.0285382E+003, 9.6044758E+002, 8.8086798E+002, 8.1014452E+002, 7.0760514E+002, 1.6789968E+002, 2.4190469E+002, 3.1869764E+002, 3.3837332E+002, 3.3623332E+002, 2.9762261E+002,-9.9615385E+000, 6.3054020E-005, 5.6848420E-003, 1.4600185E-002, 2.7730482E-002, 4.4113921E-002, 5.2957899E-002, 8.5564255E-004, 2.8659291E-002, 4.9635090E-002, 5.7540324E-002, 6.6411550E-002, 6.5587411E-002
 5.0000000E-001, 9.7465772E+002, 1.0231142E+003, 9.6551500E+002, 9.0121921E+002, 8.1706109E+002, 7.1344211E+002, 1.8294604E+002, 2.5247670E+002, 3.1602500E+002, 3.4203738E+002, 3.2972390E+002, 3.0050345E+002,-9.4230769E+000, 5.5421006E-004, 1.1030099E-002, 2.0126299E-002, 3.5737405E-002, 5.3155699E-002, 5.7530139E-002, 6.2907593E-003, 4.1575743E-002, 5.5547321E-002, 6.2645665E-002, 7.0963281E-002, 6.7100208E-002
 1.0000000E+000, 9.6966018E+002, 9.9298407E+002, 9.5292299E+002, 8.9877518E+002, 8.1353073E+002, 7.0877447E+002, 2.1274091E+002, 2.7338732E+002, 3.2037307E+002, 3.4369985E+002, 3.3353112E+002, 3.0022986E+002,-8.8846154E+000, 2.0430720E-003, 1.7238037E-002, 2.7516396E-002, 4.6183680E-002, 6.2814705E-002, 6.3639899E-002, 1.4846318E-002, 5.2691189E-002, 6.2603940E-002, 6.8968397E-002, 7.5045860E-002, 6.8237547E-002
 1.5000000E+000, 9.6288222E+002, 9.4517263E+002, 9.2974089E+002, 8.8772247E+002, 8.0547131E+002, 7.0189691E+002, 2.5600219E+002, 2.9943188E+002, 3.3228400E+002, 3.4190139E+002, 3.3599521E+002, 3.0343415E+002,-8.3461538E+000, 5.3804597E-003, 2.3901022E-002, 3.5798998E-002, 5.7316700E-002, 7.2197562E-002, 7.2077810E-002, 2.5843422E-002, 6.1470065E-002, 6.7619621E-002, 7.4545651E-002, 7.7889061E-002, 7.0231516E-002
 2.0000000E+000, 9.2985529E+002, 8.9378638E+002, 8.9767925E+002, 8.6149596E+002, 7.7885780E+002, 6.9234025E+002, 2.9629169E+002, 3.2809575E+002, 3.4213343E+002, 3.4502243E+002, 3.3271442E+002, 3.0645392E+002,-7.8076923E+000, 1.0146289E-002, 3.1183016E-002, 4.5814314E-002, 6.7983600E-002, 7.9951863E-002, 8.1061200E-002, 3.7785569E-002, 6.7044190E-002, 7.2021007E-002, 7.8199384E-002, 7.8291203E-002, 7.2566481E-002
 2.5000000E+000, 8.4738338E+002, 8.3746779E+002, 8.5946973E+002, 8.2781966E+002, 7.5319637E+002, 6.7873090E+002, 3.2698730E+002, 3.4434340E+002, 3.5465099E+002, 3.4806625E+002, 3.3208693E+002, 3.0622748E+002,-7.2692308E+000, 1.6078293E-002, 3.9951533E-002, 5.6935885E-002, 8.0775896E-002, 8.7957725E-002, 8.8876556E-002, 4.6820072E-002, 7.1842285E-002, 7.5881918E-002, 8.1272881E-002, 7.7689324E-002, 7.3924642E-002
 3.0000000E+000, 7.7046029E+002, 7.7285825E+002, 8.1342085E+002, 7.9320645E+002, 7.3102955E+002, 6.5997599E+002, 3.5737808E+002, 3.4990200E+002, 3.6099829E+002, 3.5267609E+002, 3.2851960E+002, 3.0051448E+002,-6.7307692E+000, 2.5431441E-002, 5.0815385E-002, 6.9425158E-002, 9.3946623E-002, 9.5954082E-002, 9.6982469E-002, 5.6536899E-002, 7.6895244E-002, 7.9480880E-002, 8.3968207E-002, 7.7421840E-002, 7.4064202E-002
 3.5000000E+000, 6.8527814E+002, 7.1262857E+002, 7.5574310E+002, 7.5677275E+002, 7.0580997E+002, 6.3865840E+002, 3.5293247E+002, 3.4645559E+002, 3.5675986E+002, 3.4932279E+002, 3.2590852E+002, 2.9301364E+002,-6.1923077E+000, 3.8800354E-002, 6.3262155E-002, 8.6178345E-002, 1.0591921E-001, 1.0380210E-001, 1.0400669E-001, 6.6431661E-002, 8.0925576E-002, 8.3102424E-002, 8.5390798E-002, 7.7742085E-002, 7.4414138E-002
