cm,kW,kW,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 4.5991075E+000, 3.0307094E-001,-5.0000000E-001, 1.0762129E+003, 1.1682919E+003, 1.2631757E+003, 1.2332424E+003, 1.0879844E+003, 9.0035871E+002, 1.1480980E+002, 1.4459112E+002, 1.7294924E+002, 2.3904636E+002, 3.1954551E+002, 3.2384169E+002,-2.0500000E+001, 3.6548607E-015, 9.5104962E-015, 8.7434827E-013, 2.9890154E-010, 6.1686766E-008, 9.7984099E-016, 3.4295465E-015, 1.1279459E-012, 7.0000627E-010, 2.0291005E-007
 1.5000000E+000, 1.0521124E+001, 1.6626262E+000, 5.0000000E-001, 1.0670121E+003, 1.1588433E+003, 1.2458444E+003, 1.2401263E+003, 1.1175257E+003, 9.1211062E+002, 1.0801544E+002, 1.4046329E+002, 1.6623332E+002, 2.4101715E+002, 3.0993989E+002, 3.1361020E+002,-1.9500000E+001, 2.0711070E-013, 3.9937385E-013, 4.8713543E-011, 1.7549905E-008, 1.5288097E-006, 4.7460204E-014, 2.3184525E-013, 7.0519261E-011, 5.3823642E-008, 5.6373279E-006
 2.5000000E+000, 1.2641111E+001, 2.8336855E+000, 1.5000000E+000, 1.2350208E+003, 1.2541037E+003, 1.2089909E+003, 1.1459384E+003, 1.0425551E+003, 8.6098333E+002, 1.6064671E+002, 1.7521519E+002, 2.5475955E+002, 3.1438244E+002, 3.3312293E+002, 3.1719940E+002,-1.8500000E+001, 2.0711070E-013, 3.9937385E-013, 4.8713543E-011, 1.7549905E-008, 1.5288097E-006, 4.7460204E-014, 2.3184525E-013, 7.0519261E-011, 5.3823642E-008, 5.6373279E-006
 3.5000000E+000, 1.2698574E+001, 3.0202424E+000, 2.5000000E+000, 1.3178590E+003, 1.1125822E+003, 1.0083979E+003, 9.5501700E+002, 9.0205621E+002, 7.8616174E+002, 1.8721013E+002, 3.1652435E+002, 3.4635575E+002, 3.4911563E+002, 3.4989739E+002, 3.1668074E+002,-1.7500000E+001, 9.7216672E-012, 2.3080522E-011, 2.9009893E-009, 7.7245162E-007, 3.8825386E-005, 1.9881307E-012, 2.1816278E-011, 4.6025575E-009, 2.5616592E-006, 1.5965344E-004
 4.5000000E+000, 1.2073947E+001, 3.0295299E+000, 3.5000000E+000, 9.9612762E+002, 8.8432663E+002, 8.2888056E+002, 7.9607678E+002, 7.7104765E+002, 7.0480260E+002, 3.8792410E+002, 4.1428420E+002, 3.9865845E+002, 3.7127066E+002, 3.4792548E+002, 3.0273916E+002,-1.6500000E+001, 9.7216672E-012, 2.3080522E-011, 2.9009893E-009, 7.7245162E-007, 3.8825386E-005, 1.9881307E-012, 2.1816278E-011, 4.6025575E-009, 2.5616592E-006, 1.5965344E-004
 5.5000000E+000, 1.1242230E+001, 2.8554895E+000, 4.5000000E+000, 6.2303609E+002, 6.8809328E+002, 6.9837396E+002, 6.8984724E+002, 6.7841454E+002, 6.3504756E+002, 2.7151817E+002, 3.5903145E+002, 3.8103799E+002, 3.5820900E+002, 3.4289699E+002, 2.9081152E+002,-1.5500000E+001, 3.6777783E-010, 1.5004377E-009, 2.0269092E-007, 1.8539225E-005, 5.6457069E-004, 6.0090363E-011, 1.9095988E-009, 3.8344814E-007, 4.9733619E-005, 1.9400753E-003
 6.5000000E+000, 1.0368643E+001, 2.6638713E+000, 5.5000000E+000, 4.4446904E+002, 5.2343942E+002, 5.8890776E+002, 5.9750915E+002, 5.9909918E+002, 5.8101930E+002, 1.5039944E+002, 2.5569307E+002, 3.2986320E+002, 3.2776915E+002, 3.1051988E+002, 2.8191071E+002,-1.4500000E+001, 3.6777783E-010, 1.5004377E-009, 2.0269092E-007, 1.8539225E-005, 5.6457069E-004, 6.0090363E-011, 1.9095988E-009, 3.8344814E-007, 4.9733619E-005, 1.9400753E-003
 7.5000000E+000, 9.5734153E+000, 2.5174636E+000, 6.5000000E+000, 3.5652596E+002, 4.0833801E+002, 4.8060358E+002, 5.0783050E+002, 5.2476851E+002, 5.3157035E+002, 7.0556074E+001, 1.5590862E+002, 2.4608695E+002, 2.8213226E+002, 2.6967257E+002, 2.5847229E+002,-1.3500000E+001, 1.3360783E-008, 8.0498928E-008, 8.9578056E-006, 3.4704065E-004, 4.6067145E-003, 3.5901574E-009, 1.4689366E-007, 2.2690103E-005, 9.1104714E-004, 1.0825280E-002
 8.5000000E+000, 8.8949822E+000, 2.4112849E+000, 7.5000000E+000, 3.1752902E+002, 3.4629633E+002, 3.9100508E+002, 4.3912631E+002, 4.5639794E+002, 4.7655183E+002, 4.2246498E+001, 9.0280770E+001, 1.5671951E+002, 2.3464825E+002, 2.2789210E+002, 2.1544786E+002,-1.2500000E+001, 1.3360783E-008, 8.0498928E-008, 8.9578056E-006, 3.4704065E-004, 4.6067145E-003, 3.5901574E-009, 1.4689366E-007, 2.2690103E-005, 9.1104714E-004, 1.0825280E-002
