s,mol/mol
Time,"XO2"
 0.0000000E+000, 2.0755890E-001
 1.0012355E+000, 2.0755890E-001
 2.0003631E+000, 2.0755890E-001
 3.0002704E+000, 2.0755890E-001
 4.0003456E+000, 2.0755890E-001
 5.0003517E+000, 2.0755777E-001
 6.0004083E+000, 2.0215483E-001
 7.0003553E+000, 1.9685476E-001
 8.0003796E+000, 1.9182649E-001
 9.0006883E+000, 1.8704707E-001
 1.0000434E+001, 1.8250215E-001
 1.1000793E+001, 1.7817129E-001
 1.2000353E+001, 1.7404431E-001
 1.3000363E+001, 1.7010297E-001
 1.4000570E+001, 1.6633606E-001
 1.5000354E+001, 1.6273281E-001
 1.6000851E+001, 1.5928066E-001
 1.7000518E+001, 1.5597473E-001
 1.8000119E+001, 1.5280509E-001
 1.9000123E+001, 1.4975907E-001
 2.0000250E+001, 1.4683139E-001
 2.1000360E+001, 1.4401588E-001
 2.2000010E+001, 1.4130758E-001
 2.3000086E+001, 1.3869917E-001
 2.4000510E+001, 1.3618330E-001
 2.5000565E+001, 1.3375846E-001
 2.6000571E+001, 1.3141865E-001
 2.7000048E+001, 1.2916119E-001
 2.8000238E+001, 1.2697767E-001
 2.9000801E+001, 1.2486622E-001
 3.0000586E+001, 1.2282553E-001
 3.1000714E+001, 1.2085042E-001
 3.2000505E+001, 1.1893776E-001
 3.3000839E+001, 1.1708469E-001
 3.4000315E+001, 1.1528847E-001
 3.5000169E+001, 1.1354634E-001
 3.6000814E+001, 1.1185516E-001
 3.7000885E+001, 1.1021375E-001
 3.8000258E+001, 1.0862193E-001
 3.9000485E+001, 1.0707323E-001
 4.0000505E+001, 1.0556936E-001
 4.1000333E+001, 1.0410663E-001
 4.2001580E+001, 1.0268216E-001
 4.3000846E+001, 1.0129947E-001
 4.4000254E+001, 9.9952881E-002
 4.5000533E+001, 9.8640912E-002
 4.6001160E+001, 9.7361781E-002
 4.7000717E+001, 9.6117906E-002
 4.8001722E+001, 9.4902560E-002
 4.9001035E+001, 9.3718929E-002
 5.0000990E+001, 9.2564104E-002
 5.1000614E+001, 9.1438538E-002
 5.2000768E+001, 9.0339633E-002
 5.3001827E+001, 8.9265050E-002
 5.4001473E+001, 8.8217016E-002
 5.5001739E+001, 8.7193823E-002
 5.6000473E+001, 8.6194879E-002
 5.7000336E+001, 8.5218702E-002
 5.8000713E+001, 8.4262807E-002
 5.9001035E+001, 8.3327886E-002
 6.0001551E+001, 8.2413317E-002
 6.1001947E+001, 8.1518982E-002
 6.2001169E+001, 8.0644548E-002
 6.3000391E+001, 7.9788865E-002
 6.4000833E+001, 7.8950359E-002
 6.5000000E+001, 7.8129686E-002
