s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_METHANE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7944332E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7944332E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000097E+000, 3.0472854E+000, 0.0000000E+000,-3.3150403E-001,-1.0147945E-001,-8.0517468E-002, 7.3429521E-004, 0.0000000E+000,-6.2469524E-002,-1.9770901E+000, 2.4720492E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0041832E-005, 9.5365096E-006
 2.0003252E+000, 7.6709992E+000, 0.0000000E+000,-8.9981507E-001,-2.6977685E+000,-6.5867469E-002, 1.9783510E-003, 0.0000000E+000,-1.2270330E-001, 3.9504514E+000, 3.8868232E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4370017E-004, 1.9565423E-005
 3.0002129E+000, 8.7703785E+000, 0.0000000E+000,-1.0405226E+000,-6.2426478E+000,-5.7586788E-002, 2.5650220E-003, 0.0000000E+000,-1.2578705E-001, 1.3558902E+000, 1.3063993E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5870303E-004, 2.1608129E-005
 4.0002379E+000, 8.9620935E+000, 0.0000000E+000,-1.0427380E+000,-7.4933098E+000,-6.6577738E-002, 3.0264281E-003, 0.0000000E+000,-1.4001808E-001, 2.7323958E-001, 2.2247632E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6088291E-004, 2.1904929E-005
 5.0003676E+000, 8.9760057E+000, 0.0000000E+000,-1.0421889E+000,-7.2509991E+000,-6.5363142E-002, 3.3634201E-003, 0.0000000E+000,-1.2555062E-001, 5.3314118E-001, 4.9526743E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5979157E-008, 1.6118097E-004, 2.1945512E-005
 6.0002275E+000, 9.0272097E+000, 0.0000000E+000,-1.0718996E+000,-8.0153599E+000,-6.4150385E-002, 3.7183287E-003, 0.0000000E+000,-1.2483415E-001,-1.9990105E-001,-2.4531610E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3239851E-003, 1.6122136E-004, 2.1951011E-005
 7.0003963E+000, 9.0390156E+000, 0.0000000E+000,-1.1071712E+000,-7.6351989E+000,-6.4094403E-002, 4.0636410E-003, 0.0000000E+000,-1.2421296E-001, 1.7885601E-001, 1.1240182E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2964288E-002, 1.6122682E-004, 2.1951755E-005
 8.0002003E+000, 9.0499735E+000, 0.0000000E+000,-1.1466922E+000,-8.0887288E+000,-6.6024359E-002, 4.3592876E-003, 0.0000000E+000,-1.2237925E-001,-3.0931639E-001,-3.6949186E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1604123E-002, 1.6122756E-004, 2.1951856E-005
