cm,kW,kW,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 9.3750000E-001, 2.2181067E+000, 1.5311284E-001,-5.0000000E-001, 1.2173471E+003, 1.2815053E+003, 1.2982506E+003, 1.2581751E+003, 1.1184824E+003, 9.3626132E+002, 8.6629924E+001, 6.1797095E+001, 1.1765176E+002, 2.1031476E+002, 2.6506319E+002, 2.6200211E+002,-2.0500000E+001, 2.6039197E-008, 5.1513091E-008, 2.2030063E-007, 5.5552125E-006, 2.6904506E-005, 9.9116692E-009, 2.4198253E-008, 1.5100534E-007, 5.5130285E-006, 2.0295648E-005
 2.8125000E+000, 3.8179652E+000, 2.7985711E-001, 1.5000000E+000, 1.2249442E+003, 1.2869808E+003, 1.3153697E+003, 1.2751015E+003, 1.1357016E+003, 9.4598225E+002, 8.2655142E+001, 5.2905219E+001, 6.3423456E+001, 1.6549427E+002, 2.5084766E+002, 2.5150478E+002,-1.8450000E+001, 1.1137199E-006, 2.5978296E-006, 1.0906703E-005, 2.3861710E-004, 6.8696109E-004, 3.4099014E-007, 2.0734269E-006, 9.8431050E-006, 3.6372885E-004, 7.2054504E-004
 4.6875000E+000, 5.2029189E+000, 4.0700748E-001, 3.5000000E+000, 1.3645620E+003, 1.2664322E+003, 1.1176294E+003, 9.9249305E+002, 8.7280481E+002, 7.6023068E+002, 9.2804748E+001, 1.7252252E+002, 2.2211384E+002, 2.4677444E+002, 2.3854155E+002, 2.1809731E+002,-1.6400000E+001, 1.1137199E-006, 2.5978296E-006, 1.0906703E-005, 2.3861710E-004, 6.8696109E-004, 3.4099014E-007, 2.0734269E-006, 9.8431050E-006, 3.6372885E-004, 7.2054504E-004
 6.5625000E+000, 6.2689398E+000, 5.4012080E-001, 5.5000000E+000, 6.7627457E+002, 6.5139099E+002, 6.4147844E+002, 6.4682455E+002, 6.3227619E+002, 5.9503320E+002, 1.3671021E+002, 1.6181104E+002, 1.8739439E+002, 2.1238691E+002, 1.9865067E+002, 1.7833784E+002,-1.4350000E+001, 2.7056319E-005, 7.3138671E-005, 4.0265434E-004, 3.6350730E-003, 7.1413974E-003, 1.0029519E-005, 1.2035958E-004, 5.5778480E-004, 5.6576625E-003, 6.1212184E-003
 8.4375000E+000, 7.0011076E+000, 6.3970573E-001, 7.5000000E+000, 3.7467755E+002, 4.0519383E+002, 4.3247728E+002, 4.6572229E+002, 4.8223725E+002, 4.8138971E+002, 5.3492196E+001, 8.3098365E+001, 1.0708750E+002, 1.3242449E+002, 1.4301273E+002, 1.3584586E+002,-1.2300000E+001, 2.7056319E-005, 7.3138671E-005, 4.0265434E-004, 3.6350730E-003, 7.1413974E-003, 1.0029519E-005, 1.2035958E-004, 5.5778480E-004, 5.6576625E-003, 6.1212184E-003
 1.0312500E+001, 7.4235716E+000, 7.3573615E-001, 9.5000000E+000, 3.0436970E+002, 3.2066445E+002, 3.4462799E+002, 3.7263690E+002, 3.9001614E+002, 4.0008923E+002, 9.7696442E+000, 3.4463296E+001, 5.9960685E+001, 8.1161761E+001, 9.6064148E+001, 1.0060373E+002,-1.0250000E+001, 6.5150906E-004, 2.4731629E-003, 7.4946383E-003, 1.8425250E-002, 2.5997528E-002, 3.0920697E-004, 8.0200414E-003, 1.4371473E-002, 2.3920574E-002, 2.2032347E-002
 1.2187500E+001, 7.4954790E+000, 8.0789660E-001, 1.1500000E+001, 2.9520170E+002, 2.9927893E+002, 3.0776469E+002, 3.2163129E+002, 3.3217248E+002, 3.4375582E+002, 8.9685189E-001, 1.2992547E+001, 2.7026532E+001, 3.9175496E+001, 5.2465438E+001, 6.3282908E+001,-8.2000000E+000, 9.0720161E-003, 1.2504612E-002, 2.3633039E-002, 4.2701245E-002, 5.0501370E-002, 3.8844231E-003, 1.7818503E-002, 2.8026601E-002, 3.3991134E-002, 3.0521052E-002
 1.4062500E+001, 7.3503966E+000, 8.5001292E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1500000E+000, 5.4130929E-002, 6.2686744E-002, 7.1826397E-002, 8.2396315E-002, 8.0798374E-002, 1.8641093E-002, 3.6304160E-002, 4.4397235E-002, 4.6903177E-002, 3.7701496E-002
 1.5937500E+001, 7.0473250E+000, 8.6934220E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1000000E+000, 2.9209218E-001, 2.2786538E-001, 1.8085859E-001, 1.4821589E-001, 1.1787401E-001, 4.8431999E-002, 8.1096519E-002, 8.3905519E-002, 7.1808009E-002, 4.7281833E-002
