s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_METHANE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4798564E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4798564E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0002569E+000, 3.4564139E+000, 0.0000000E+000,-1.6276144E-001,-6.3967455E-002, 3.9247844E-003,-4.7473023E-005, 0.0000000E+000,-9.9964128E-003,-3.9438848E-001, 3.2235659E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0602454E-005, 9.6128407E-006
 2.0009773E+000, 7.8300928E+000, 0.0000000E+000,-6.1019140E-001,-3.6953380E+000, 4.1181548E-003, 3.7830683E-004, 0.0000000E+000,-2.0014477E-002, 3.5075962E+000, 3.5090455E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4374534E-004, 1.9571572E-005
 3.0016909E+000, 8.8963251E+000, 0.0000000E+000,-6.7661935E-001,-7.5019490E+000, 2.9533403E-003, 7.5525281E-004, 0.0000000E+000,-2.0219724E-002, 6.8572663E-001, 7.0124563E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5871220E-004, 2.1609378E-005
 4.0021253E+000, 9.0844016E+000, 0.0000000E+000,-6.8276697E-001,-7.8880231E+000, 6.1407692E-003, 1.0495593E-003, 0.0000000E+000,-2.3330201E-002, 4.8081096E-001, 4.9747171E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6088464E-004, 2.1905165E-005
 5.0014415E+000, 9.0209052E+000, 0.0000000E+000,-6.5950633E-001,-7.4967695E+000, 1.2088490E-003, 1.2717303E-003, 0.0000000E+000,-1.9596643E-002, 8.7553058E-001, 8.4751327E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9403831E-007, 1.6118120E-004, 2.1945544E-005
 6.0001917E+000, 9.0610272E+000, 0.0000000E+000,-6.8193373E-001,-8.5450443E+000,-3.3439870E-003, 1.3571444E-003, 0.0000000E+000,-1.7788570E-002,-2.2782011E-001,-1.8572620E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3365126E-003, 1.6122138E-004, 2.1951013E-005
 7.0007753E+000, 9.0695140E+000, 0.0000000E+000,-7.0057611E-001,-8.1539872E+000, 3.2036973E-004, 1.5258137E-003, 0.0000000E+000,-1.8495326E-002, 1.6822393E-001, 1.9830153E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2972760E-002, 1.6122682E-004, 2.1951755E-005
 8.0006018E+000, 9.0622480E+000, 0.0000000E+000,-6.8262524E-001,-8.3422602E+000,-1.0144668E-003, 1.6593994E-003, 0.0000000E+000,-1.9112526E-002, 2.5021000E-002, 1.8894981E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1617127E-002, 1.6122756E-004, 2.1951856E-005
