s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 1.0500522E+001, 1.4478947E+001,-3.7370513E+000,-7.7506031E+000,-2.7164042E-002,-1.1728922E-004, 0.0000000E+000, 0.0000000E+000, 2.5732951E+000, 2.9640113E+000, 7.0015750E-002, 3.2631501E-004,-6.5003966E-065,-3.3921438E-061
 1.1000463E+001, 1.4679353E+001,-3.6915706E+000,-1.0464254E+001,-4.7442009E-002,-1.1976552E-004, 0.0000000E+000, 0.0000000E+000, 8.9640588E-002, 4.7596635E-001, 7.0015750E-002, 3.2631501E-004,-2.7147483E-064,-1.2520331E-060
 1.1500173E+001, 1.4427361E+001,-3.6466816E+000,-1.2481289E+001,-3.3866307E-002,-1.1851269E-004, 0.0000000E+000, 0.0000000E+000,-2.0815445E+000,-1.7345940E+000, 7.0015750E-002, 3.2631501E-004,-9.5296223E-064,-3.9906127E-060
 1.2000072E+001, 1.4182645E+001,-3.5984931E+000,-1.0442052E+001,-3.0656325E-002,-1.1878931E-004, 0.0000000E+000, 0.0000000E+000,-1.3374767E-001, 1.1132442E-001, 7.0015750E-002, 3.2631501E-004,-2.8833286E-063,-1.1163084E-059
 1.2500051E+001, 1.4520104E+001,-3.8512969E+000,-8.5194126E+000,-3.8449856E-002,-1.1831974E-004, 0.0000000E+000, 0.0000000E+000, 1.6239926E+000, 2.1108259E+000, 7.0015750E-002, 3.2631501E-004,-7.6816684E-063,-2.7854626E-059
 1.3000054E+001, 1.4635216E+001,-3.7342986E+000,-1.0963713E+001,-3.2320591E-002,-1.1797042E-004, 0.0000000E+000, 0.0000000E+000,-4.1802113E-001,-9.5234103E-002, 7.0015750E-002, 3.2631501E-004,-1.8496441E-062,-6.3438755E-059
 1.3500210E+001, 1.4698957E+001,-3.5648302E+000,-1.0964002E+001,-3.1375419E-002,-1.1926279E-004, 0.0000000E+000, 0.0000000E+000,-2.1224590E-001, 1.3863074E-001, 7.0015750E-002, 3.2631501E-004,-4.1184000E-062,-1.3470257E-058
 1.4000273E+001, 1.4757563E+001,-3.3882542E+000,-1.2601778E+001,-3.3513383E-002,-1.1911983E-004, 0.0000000E+000, 0.0000000E+000,-1.5372842E+000,-1.2661018E+000, 7.0015750E-002, 3.2631501E-004,-8.6672208E-062,-2.7246160E-058
 1.4500054E+001, 1.4784296E+001,-3.5499064E+000,-9.9755050E+000,-3.3078766E-002,-1.1807091E-004, 0.0000000E+000, 0.0000000E+000, 8.9663607E-001, 1.2256874E+000, 7.0015750E-002, 3.2631501E-004,-1.7313538E-061,-5.2674280E-058
 1.5000033E+001, 1.3730329E+001,-3.2406360E+000,-1.1801613E+001,-3.2599354E-002,-1.1800746E-004, 0.0000000E+000, 0.0000000E+000,-1.5539294E+000,-1.3446372E+000, 7.0015750E-002, 3.2631501E-004,-3.3097658E-061,-9.8066163E-058
 1.5500009E+001, 1.4556765E+001,-3.1651918E+000,-1.0893567E+001,-3.6307019E-002,-1.1856035E-004, 0.0000000E+000, 0.0000000E+000, 2.6119185E-001, 4.6158049E-001, 7.0015750E-002, 3.2631501E-004,-6.0514015E-061,-1.7561130E-057
 1.6000319E+001, 1.3715992E+001,-3.0488535E+000,-1.0341751E+001,-2.7798305E-002,-1.1702211E-004, 0.0000000E+000, 0.0000000E+000, 1.6838262E-001, 2.9747272E-001, 7.0015750E-002, 3.2631501E-004,-1.0580583E-060,-3.0108967E-057
 1.6500345E+001, 1.4559021E+001,-3.0353673E+000,-1.1553482E+001,-2.9845714E-002,-1.1916819E-004, 0.0000000E+000, 0.0000000E+000,-1.9964469E-001,-5.9793293E-002, 7.0015750E-002, 3.2631501E-004,-3.5594773E-060,-5.0473441E-057
 1.7000416E+001, 1.4657119E+001,-3.5437076E+000,-9.1909792E+000,-3.0771654E-002,-1.1771010E-004, 0.0000000E+000, 0.0000000E+000, 1.5474947E+000, 1.8915433E+000, 7.0015750E-002, 3.2631501E-004,-4.7554161E-058,-3.4167359E-056
 1.7500006E+001, 1.4977662E+001,-3.7313092E+000,-9.3643158E+000,-3.4513630E-002,-1.1985202E-004, 0.0000000E+000, 0.0000000E+000, 1.4054213E+000, 1.8474031E+000, 7.0015750E-002, 3.2631501E-004,-7.5447083E-056,-3.7378709E-054
 1.8000330E+001, 1.4018593E+001,-3.4519514E+000,-1.2057906E+001,-3.4720552E-002,-1.1840464E-004, 0.0000000E+000, 0.0000000E+000,-1.8374567E+000,-1.5261041E+000, 7.0015750E-002, 3.2631501E-004,-7.8861697E-054,-3.4281492E-052
 1.8500513E+001, 1.5045063E+001,-3.6364414E+000,-1.1313094E+001,-2.9314657E-002,-1.1914885E-004, 0.0000000E+000, 0.0000000E+000,-2.6004836E-001, 6.6093591E-002, 7.0015750E-002, 3.2631501E-004,-5.0782250E-052,-1.9318111E-050
 1.9000036E+001, 1.4182073E+001,-3.3465287E+000,-9.6295291E+000,-3.0799529E-002,-1.1822568E-004, 0.0000000E+000, 0.0000000E+000, 9.6826447E-001, 1.1750976E+000, 7.0015750E-002, 3.2631501E-004,-2.0620559E-050,-6.8404239E-049
 1.9500341E+001, 1.4586456E+001,-3.2176612E+000,-1.2884106E+001,-3.3508558E-002,-1.1827826E-004, 0.0000000E+000, 0.0000000E+000,-1.6847615E+000,-1.5489377E+000, 7.0015750E-002, 3.2631501E-004,-5.3768706E-049,-1.5567715E-047
 2.0000000E+001, 1.4875282E+001,-3.1546251E+000,-1.0258146E+001,-3.3866216E-002,-1.1795505E-004, 0.0000000E+000, 0.0000000E+000, 1.2384919E+000, 1.4285263E+000, 7.0015750E-002, 3.2631501E-004,-8.8819671E-048,-2.2605482E-046
