s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_METHANE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1814760E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1814760E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0007104E+000, 3.1063458E+000, 0.0000000E+000,-2.9061656E-001,-1.1985126E-001, 2.0112202E-002, 1.1654083E-004, 0.0000000E+000,-1.5133979E-002,-3.0133566E+000, 2.7009728E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0239246E-005, 9.5633884E-006
 2.0000603E+000, 7.4347308E+000, 0.0000000E+000,-8.5801308E-001,-3.4582510E+000, 2.5211716E-002, 5.6135038E-004, 0.0000000E+000,-3.7084408E-002, 3.2055319E+000, 3.1071554E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4372054E-004, 1.9568196E-005
 3.0000029E+000, 8.9908637E+000, 0.0000000E+000,-9.4251224E-001,-6.2377557E+000, 1.7283936E-002, 8.5012970E-004, 0.0000000E+000,-4.2775751E-002, 1.8596003E+000, 1.7859542E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5870315E-004, 2.1608145E-005
 4.0004501E+000, 8.9206642E+000, 0.0000000E+000,-1.0417616E+000,-8.4984856E+000, 5.4085859E-003, 1.0583707E-003, 0.0000000E+000,-2.6803409E-002,-5.6529623E-001,-6.3991950E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6088302E-004, 2.1904944E-005
 5.0000658E+000, 9.0351931E+000, 0.0000000E+000,-1.0437943E+000,-7.6717295E+000, 6.0236762E-003, 1.2271894E-003, 0.0000000E+000,-3.1449810E-002, 3.8692017E-001, 2.9547038E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2151246E-008, 1.6118099E-004, 2.1945515E-005
 6.0006061E+000, 9.1232487E+000, 0.0000000E+000,-1.0266544E+000,-7.3271017E+000, 3.1923765E-003, 1.3871358E-003, 0.0000000E+000,-3.3716916E-002, 8.3533728E-001, 7.4035519E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3263248E-003, 1.6122136E-004, 2.1951011E-005
 7.0003972E+000, 9.0320807E+000, 0.0000000E+000,-1.0239119E+000,-7.2613878E+000, 1.2201483E-003, 1.5592177E-003, 0.0000000E+000,-3.6667453E-002, 7.9598774E-001, 7.1289284E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2967787E-002, 1.6122682E-004, 2.1951755E-005
 8.0007534E+000, 8.9568028E+000, 0.0000000E+000,-9.9628268E-001,-7.0845754E+000, 8.6829105E-004, 1.6554055E-003, 0.0000000E+000,-3.6063202E-002, 9.4622629E-001, 8.4240521E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1608531E-002, 1.6122756E-004, 2.1951856E-005
 9.0007849E+000, 8.9338318E+000, 0.0000000E+000,-1.0413198E+000,-8.5337557E+000,-7.6766423E-003, 1.7229105E-003, 0.0000000E+000,-3.4610336E-002,-6.0326717E-001,-6.8180785E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0250021E-002, 1.6122766E-004, 2.1951869E-005
