cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_1p0D,soot_1p5D,soot_2p0D,soot_2p5D,soot_3p0D,soot_3p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p0D,soot_rms_2p5D,soot_rms_3p0D,soot_rms_3p5D
-5.0000000E-001, 1.2005834E+003, 1.2498826E+003, 1.1779774E+003, 9.5474921E+002, 7.6629383E+002, 6.3643932E+002, 1.7193312E+002, 1.9497976E+002, 2.8381410E+002, 3.1748270E+002, 2.7336800E+002, 2.0139949E+002,-1.0500000E+001, 5.7773564E-004, 2.6504271E-003, 8.4685279E-003, 1.8735188E-002, 2.7665471E-002, 3.4086489E-002, 1.8307888E-003, 9.0707597E-003, 1.9134869E-002, 2.9812871E-002, 3.5125152E-002, 3.6741072E-002
 1.5000000E+000, 1.2057495E+003, 1.2982600E+003, 1.2105329E+003, 9.6509868E+002, 7.8543611E+002, 6.5363998E+002, 1.6393572E+002, 1.5111150E+002, 2.5931341E+002, 3.2830233E+002, 2.8995819E+002, 2.1460426E+002,-8.5909091E+000, 6.6002804E-003, 1.6860526E-002, 3.0232819E-002, 4.5787964E-002, 5.6913357E-002, 6.1269941E-002, 1.1850576E-002, 2.3431742E-002, 3.4373125E-002, 4.7728687E-002, 5.0495649E-002, 5.1108785E-002
 3.5000000E+000, 1.1197626E+003, 1.0435490E+003, 9.7344988E+002, 8.2447922E+002, 7.0227176E+002, 6.1318161E+002, 2.7850356E+002, 3.2294437E+002, 3.6048215E+002, 3.3278596E+002, 2.7849958E+002, 2.1452966E+002,-6.6818182E+000, 3.5116323E-002, 5.4397333E-002, 7.2129973E-002, 8.5713655E-002, 9.0893039E-002, 9.1043257E-002, 2.9895806E-002, 4.2389362E-002, 5.2616960E-002, 6.1680473E-002, 6.2374688E-002, 5.7143867E-002
 5.5000000E+000, 5.7861320E+002, 6.0665337E+002, 6.4692792E+002, 6.3584531E+002, 5.8973675E+002, 5.4446960E+002, 2.3199480E+002, 2.5096924E+002, 2.8321150E+002, 2.7504556E+002, 2.3006479E+002, 1.8505133E+002,-4.7727273E+000, 1.0314267E-001, 1.2053434E-001, 1.2874696E-001, 1.3127882E-001, 1.2413833E-001, 1.1587238E-001, 5.1701606E-002, 6.3430371E-002, 6.9524686E-002, 7.0618074E-002, 6.6416485E-002, 5.8168829E-002
 7.5000000E+000, 3.7289616E+002, 4.0865441E+002, 4.4585209E+002, 4.9486849E+002, 4.8831419E+002, 4.6596737E+002, 9.3883804E+001, 1.3502388E+002, 1.6338183E+002, 1.9661398E+002, 1.7828451E+002, 1.5060022E+002,-2.8636364E+000, 2.1148659E-001, 2.0971546E-001, 2.0252150E-001, 1.8034802E-001, 1.5570269E-001, 1.3448731E-001, 6.5523033E-002, 7.6009439E-002, 7.9137076E-002, 7.4950910E-002, 6.6281476E-002, 5.6593038E-002
 9.5000000E+000, 3.0784172E+002, 3.2883067E+002, 3.5428658E+002, 3.9119060E+002, 4.0316125E+002, 4.0027328E+002, 2.0286129E+001, 6.1094777E+001, 9.7660211E+001, 1.1846160E+002, 1.2129452E+002, 1.0914695E+002,-9.5454545E-001, 3.0258508E-001, 2.9974396E-001, 2.7206274E-001, 2.1666210E-001, 1.7715785E-001, 1.4992728E-001, 3.6883276E-002, 5.8711241E-002, 7.6653936E-002, 7.4352515E-002, 6.7767839E-002, 5.8332369E-002
 1.1500000E+001, 2.9569579E+002, 3.0032721E+002, 3.1000222E+002, 3.2850383E+002, 3.3910442E+002, 3.4424590E+002, 1.0360077E+000, 1.4838759E+001, 4.0498712E+001, 6.2149337E+001, 6.1783558E+001, 6.1195521E+001, 9.5454545E-001, 3.1164727E-001, 3.1399891E-001, 2.8060112E-001, 2.1901745E-001, 1.8118565E-001, 1.5418909E-001, 2.7335003E-002, 4.8394631E-002, 7.1835820E-002, 8.0330366E-002, 7.3304504E-002, 6.1513044E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8636364E+000, 2.2373304E-001, 2.1810684E-001, 2.0909408E-001, 1.8309189E-001, 1.5903850E-001, 1.4086663E-001, 6.2829357E-002, 7.0284584E-002, 8.0243979E-002, 8.0653233E-002, 7.3765109E-002, 6.4419345E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.7727273E+000, 1.0637465E-001, 1.1860503E-001, 1.2952959E-001, 1.3346092E-001, 1.2731237E-001, 1.1931933E-001, 5.0034832E-002, 5.9146540E-002, 6.7693980E-002, 7.1959174E-002, 6.6641316E-002, 6.0050089E-002
