s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPANE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4798564E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4798564E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0008243E+000, 3.4396341E+000, 0.0000000E+000,-2.6051770E-001,-6.0963581E-002, 4.4927134E-003, 5.0632632E-005, 0.0000000E+000,-9.9258725E-003,-4.1808552E-001, 3.1127703E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7814614E-005, 9.6181887E-006
 2.0004482E+000, 7.8855949E+000, 0.0000000E+000,-1.0569129E+000,-3.3602899E+000, 4.1422555E-003, 7.1885502E-004, 0.0000000E+000,-1.9578304E-002, 3.4612214E+000, 3.4536749E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5834637E-004, 1.9572226E-005
 3.0019162E+000, 8.8198706E+000, 0.0000000E+000,-1.1458275E+000,-7.1426289E+000, 2.3994041E-003, 1.1943989E-003, 0.0000000E+000,-1.9129231E-002, 4.9543165E-001, 5.1587873E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7482648E-004, 2.1609232E-005
 4.0006843E+000, 9.1381114E+000, 0.0000000E+000,-1.1277715E+000,-7.0693928E+000, 3.5986010E-003, 1.5142181E-003, 0.0000000E+000,-2.1769711E-002, 9.0156464E-001, 9.2429018E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7722046E-004, 2.1905137E-005
 5.0019903E+000, 9.0044425E+000, 0.0000000E+000,-1.0952920E+000,-7.5544134E+000, 3.9300061E-003, 1.8344802E-003, 0.0000000E+000,-2.1183769E-002, 3.7748356E-001, 3.3931786E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0930317E-007, 1.7754729E-004, 2.1945535E-005
 6.0015864E+000, 9.0263214E+000, 0.0000000E+000,-1.1250957E+000,-7.9742844E+000, 4.9490040E-004, 1.7824951E-003, 0.0000000E+000,-1.7974037E-002,-8.1134847E-002,-8.8755338E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3449472E-003, 1.7759162E-004, 2.1951015E-005
 7.0013218E+000, 9.0949622E+000, 0.0000000E+000,-1.1940783E+000,-7.6761685E+000,-8.5114913E-004, 1.9303474E-003, 0.0000000E+000,-1.8369559E-002, 2.1804285E-001, 2.0742507E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2981582E-002, 1.7759762E-004, 2.1951756E-005
 8.0016890E+000, 9.1206971E+000, 0.0000000E+000,-1.2069328E+000,-7.8600565E+000,-2.1441558E-003, 2.1155133E-003, 0.0000000E+000,-1.9231020E-002, 2.7447579E-002, 3.4448096E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1622442E-002, 1.7759843E-004, 2.1951856E-005
 9.0002031E+000, 9.0792596E+000, 0.0000000E+000,-1.1430146E+000,-7.7381897E+000,-2.7533655E-003, 2.2165073E-003, 0.0000000E+000,-1.9361636E-002, 1.7539883E-001, 1.7815681E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0257690E-002, 1.7759854E-004, 2.1951869E-005
 1.0000806E+001, 9.0764704E+000, 0.0000000E+000,-1.1297169E+000,-7.7145710E+000,-4.7307048E-003, 2.2942848E-003, 0.0000000E+000,-1.9327567E-002, 1.9869419E-001, 2.1041844E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8893985E-002, 1.7759855E-004, 2.1951871E-005
 1.1001657E+001, 9.0790166E+000, 0.0000000E+000,-1.0817112E+000,-8.1204564E+000,-7.3182224E-003, 2.3455116E-003, 0.0000000E+000,-1.9226405E-002,-1.4325204E-001,-1.4735012E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7540338E-002, 1.7759855E-004, 2.1951871E-005
 1.2000411E+001, 9.0726621E+000, 0.0000000E+000,-1.0188673E+000,-7.7190756E+000,-3.3168430E-003, 2.3653016E-003, 0.0000000E+000,-1.9058323E-002, 3.0793547E-001, 3.1470929E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6179264E-002, 1.7759855E-004, 2.1951872E-005
 1.3001920E+001, 9.0752551E+000, 0.0000000E+000,-1.0051784E+000,-8.1286358E+000,-5.5151907E-003, 2.3737492E-003, 0.0000000E+000,-1.8926987E-002,-1.1385903E-001,-8.0627580E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4819305E-002, 1.7759855E-004, 2.1951872E-005
 1.4002193E+001, 9.0716944E+000, 0.0000000E+000,-9.6642584E-001,-8.1001988E+000,-4.9587948E-003, 2.3636443E-003, 0.0000000E+000,-1.8759382E-002,-3.4389754E-002,-1.6284751E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3468618E-002, 1.7759855E-004, 2.1951872E-005
 1.5000098E+001, 9.0467847E+000, 0.0000000E+000,-9.1309737E-001,-7.7737602E+000,-7.7179282E-003, 2.3366423E-003, 0.0000000E+000,-1.8588405E-002, 3.4572657E-001, 3.3595744E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2099929E-002, 1.7759855E-004, 2.1951872E-005
 1.6000366E+001, 8.8832039E+000, 0.0000000E+000,-8.2764307E-001,-8.2915474E+000,-5.7887930E-003, 2.2582493E-003, 0.0000000E+000,-1.8333712E-002,-2.7811569E-001,-2.5785080E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0731798E-002, 1.7759855E-004, 2.1951872E-005
 1.7001114E+001, 8.8198634E+000, 0.0000000E+000,-7.3766160E-001,-7.8398582E+000,-6.8270703E-003, 2.2455442E-003, 0.0000000E+000,-1.8790124E-002, 2.1823780E-001, 2.1897197E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9376010E-002, 1.7759855E-004, 2.1951872E-005
 1.8001545E+001, 9.0109691E+000, 0.0000000E+000,-6.8637057E-001,-8.0671732E+000,-4.9402988E-003, 2.0076421E-003, 0.0000000E+000,-2.1576686E-002, 2.0530588E-001, 2.3291599E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0802086E-001, 1.7759855E-004, 2.1951872E-005
 1.9000980E+001, 9.0910926E+000, 0.0000000E+000,-6.2238491E-001,-8.4344684E+000,-5.5249747E-003, 1.8900264E-003, 0.0000000E+000,-2.1691106E-002,-2.9165761E-002, 8.9132245E-003, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1666189E-001, 1.7759855E-004, 2.1951872E-005
 2.0000702E+001, 9.0545274E+000, 0.0000000E+000,-5.6611771E-001,-8.5399121E+000,-4.6902951E-003, 1.8186639E-003, 0.0000000E+000,-2.1487074E-002,-9.6941454E-002,-7.5861174E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2529741E-001, 1.7759855E-004, 2.1951872E-005
 2.1000422E+001, 9.1079656E+000, 0.0000000E+000,-5.2060180E-001,-8.7306376E+000,-4.4249680E-003, 1.7475885E-003, 0.0000000E+000,-2.1602660E-002,-2.1148003E-001,-1.6755379E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3393415E-001, 1.7759855E-004, 2.1951872E-005
