s,mol/mol
Time,"XO2"
 0.0000000E+000, 2.0755882E-001
 1.0000864E+000, 2.0755882E-001
 2.0002143E+000, 2.0755882E-001
 3.0000793E+000, 2.0755882E-001
 4.0002309E+000, 2.0755882E-001
 5.0001299E+000, 2.0755882E-001
 6.0000861E+000, 2.0753615E-001
 7.0000330E+000, 2.0218696E-001
 8.0002803E+000, 1.9675098E-001
 9.0002045E+000, 1.9159178E-001
 1.0000353E+001, 1.8672568E-001
 1.1000268E+001, 1.8209770E-001
 1.2000052E+001, 1.7769046E-001
 1.3000192E+001, 1.7350761E-001
 1.4000186E+001, 1.6951800E-001
 1.5000045E+001, 1.6570844E-001
 1.6000175E+001, 1.6207243E-001
 1.7000120E+001, 1.5859334E-001
 1.8000268E+001, 1.5526117E-001
 1.9000113E+001, 1.5206989E-001
 2.0000171E+001, 1.4900555E-001
 2.1000350E+001, 1.4606787E-001
 2.2000146E+001, 1.4324059E-001
 2.3000313E+001, 1.4052451E-001
 2.4000081E+001, 1.3791275E-001
 2.5000230E+001, 1.3539955E-001
 2.6000085E+001, 1.3296926E-001
 2.7000389E+001, 1.3063633E-001
 2.8000248E+001, 1.2838153E-001
 2.9000165E+001, 1.2619683E-001
 3.0000384E+001, 1.2409214E-001
 3.1000373E+001, 1.2205460E-001
 3.2000189E+001, 1.2008551E-001
 3.3000071E+001, 1.1818109E-001
 3.4000221E+001, 1.1633123E-001
 3.5000067E+001, 1.1454485E-001
 3.6000078E+001, 1.1281179E-001
 3.7000012E+001, 1.1112786E-001
 3.8000170E+001, 1.0949428E-001
 3.9000086E+001, 1.0791000E-001
 4.0000364E+001, 1.0636930E-001
 4.1000330E+001, 1.0487475E-001
 4.2000291E+001, 1.0342060E-001
 4.3000277E+001, 1.0200779E-001
 4.4000239E+001, 1.0063204E-001
 4.5000725E+001, 9.9292573E-002
 4.6000812E+001, 9.7988541E-002
 4.7001273E+001, 9.6721814E-002
 4.8001000E+001, 9.5484117E-002
 4.9001274E+001, 9.4278245E-002
 5.0002066E+001, 9.3102744E-002
 5.1000406E+001, 9.1959072E-002
 5.2000228E+001, 9.0841487E-002
 5.3001197E+001, 8.9749196E-002
 5.4002298E+001, 8.8680945E-002
 5.5000276E+001, 8.7643796E-002
 5.6001742E+001, 8.6628504E-002
 5.7002005E+001, 8.5635376E-002
 5.8000192E+001, 8.4665316E-002
 5.9000207E+001, 8.3721247E-002
 6.0001946E+001, 8.2790966E-002
 6.1000454E+001, 8.1886587E-002
 6.2000687E+001, 8.1000574E-002
 6.3000740E+001, 8.0133068E-002
 6.4001082E+001, 7.9284251E-002
 6.5000000E+001, 7.8454040E-002
