cm,kW,kW,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 2.5000000E-001, 6.0621779E+000, 3.1748997E-001,-5.0000000E-001, 1.0148575E+003, 1.1358987E+003, 1.2486613E+003, 1.2997088E+003, 1.2390519E+003, 1.0644727E+003, 9.3584951E+001, 1.5654965E+002, 1.8797747E+002, 2.2240000E+002, 3.1939140E+002, 3.6829007E+002,-2.0500000E+001, 6.6019415E-016, 3.4500256E-014, 3.6857677E-013, 2.9433248E-011, 1.3586916E-007, 1.5514418E-015, 6.1037733E-014, 5.4656109E-013, 4.7664697E-011, 7.9178808E-007
 7.5000000E-001, 1.5868033E+001, 1.5057512E+000,-2.0000000E-002, 1.0148575E+003, 1.1358987E+003, 1.2486613E+003, 1.2997088E+003, 1.2390519E+003, 1.0644727E+003, 9.3584951E+001, 1.5654965E+002, 1.8797747E+002, 2.2240000E+002, 3.1939140E+002, 3.6829007E+002,-2.0006024E+001, 6.6019415E-016, 3.4500256E-014, 3.6857677E-013, 2.9433248E-011, 1.3586916E-007, 1.5514418E-015, 6.1037733E-014, 5.4656109E-013, 4.7664697E-011, 7.9178808E-007
 1.2500000E+000, 1.7377370E+001, 2.0358489E+000, 4.6000000E-001, 1.0153910E+003, 1.1351226E+003, 1.2487152E+003, 1.3071148E+003, 1.2318353E+003, 1.0687700E+003, 9.6194410E+001, 1.5475503E+002, 1.9045761E+002, 2.1620672E+002, 3.2048246E+002, 3.7081332E+002,-1.9512048E+001, 3.6539131E-016, 2.2013067E-014, 2.7698548E-013, 2.1455806E-011, 2.1680684E-006, 8.8781413E-016, 4.0536737E-014, 4.1813837E-013, 3.1716741E-011, 2.0557298E-005
 1.7500000E+000, 1.6586736E+001, 2.3630766E+000, 9.4000000E-001, 1.1010934E+003, 1.2034733E+003, 1.2734967E+003, 1.2791414E+003, 1.1874772E+003, 1.0383719E+003, 1.3173949E+002, 1.7701156E+002, 1.9883172E+002, 2.5877146E+002, 3.4315615E+002, 3.8312429E+002,-1.9018072E+001, 3.6539131E-016, 2.2013067E-014, 2.7698548E-013, 2.1455806E-011, 2.1680684E-006, 8.8781413E-016, 4.0536737E-014, 4.1813837E-013, 3.1716741E-011, 2.0557298E-005
 2.2500000E+000, 1.5649261E+001, 2.6524590E+000, 1.4200000E+000, 1.2459003E+003, 1.2841330E+003, 1.2687982E+003, 1.2165191E+003, 1.1166660E+003, 9.8878520E+002, 1.8532544E+002, 2.2416382E+002, 2.6584676E+002, 3.2349425E+002, 3.7185053E+002, 3.9119839E+002,-1.8524096E+001, 1.9746914E-016, 1.4177441E-014, 2.0050536E-013, 7.0980515E-011, 2.8967037E-005, 4.9530475E-016, 2.6061704E-014, 2.9838472E-013, 1.7680422E-010, 2.9106836E-004
 2.7500000E+000, 1.4656263E+001, 2.7558352E+000, 1.9000000E+000, 1.2720937E+003, 1.2032105E+003, 1.1714878E+003, 1.1171831E+003, 1.0382393E+003, 9.3892071E+002, 2.4750634E+002, 2.9734268E+002, 3.3640244E+002, 3.7420626E+002, 3.9943949E+002, 3.9785732E+002,-1.8030120E+001, 1.9746914E-016, 1.4177441E-014, 2.0050536E-013, 7.0980515E-011, 2.8967037E-005, 4.9530475E-016, 2.6061704E-014, 2.9838472E-013, 1.7680422E-010, 2.9106836E-004
 3.2500000E+000, 1.3693398E+001, 2.7457881E+000, 2.3800000E+000, 1.0606797E+003, 1.0311877E+003, 1.0225413E+003, 9.9730830E+002, 9.6389580E+002, 8.8333086E+002, 3.7437025E+002, 3.8179946E+002, 3.7802939E+002, 3.9471715E+002, 4.0901635E+002, 3.9386935E+002,-1.7536145E+001, 1.0514042E-016, 3.3261713E-014, 2.9342790E-013, 2.3758444E-009, 1.5332571E-004, 2.7160857E-016, 7.5297957E-014, 5.0394537E-013, 8.7561025E-009, 1.4283991E-003
 3.7500000E+000, 1.2728086E+001, 2.7226466E+000, 2.8600000E+000, 8.4429912E+002, 9.1047348E+002, 9.0567270E+002, 8.9165350E+002, 8.9306212E+002, 8.2454419E+002, 4.2595809E+002, 4.2448077E+002, 4.0184914E+002, 4.0159476E+002, 4.0766648E+002, 3.8131628E+002,-1.7042169E+001, 1.0514042E-016, 3.3261713E-014, 2.9342790E-013, 2.3758444E-009, 1.5332571E-004, 2.7160857E-016, 7.5297957E-014, 5.0394537E-013, 8.7561025E-009, 1.4283991E-003
 4.2500000E+000, 1.1825244E+001, 2.7201301E+000, 3.3400000E+000, 7.1646780E+002, 8.2199444E+002, 8.2863651E+002, 8.1428453E+002, 8.2294882E+002, 7.7519461E+002, 4.2077489E+002, 4.3344720E+002, 4.2031996E+002, 4.0134061E+002, 3.9633805E+002, 3.7325721E+002,-1.6548193E+001, 5.4827350E-017, 1.1084693E-012, 3.7667020E-012, 8.1706430E-008, 2.5652577E-004, 1.4500297E-016, 3.9037726E-012, 1.0810093E-011, 3.6476265E-007, 2.1531667E-003
 4.7500000E+000, 1.0974972E+001, 2.7605975E+000, 3.8200000E+000, 6.5100382E+002, 7.4717793E+002, 7.6241373E+002, 7.5528584E+002, 7.6200579E+002, 7.3410693E+002, 4.1522986E+002, 4.2390113E+002, 4.1666586E+002, 3.9873048E+002, 3.8416104E+002, 3.6296658E+002,-1.6054217E+001, 5.4827350E-017, 1.1084693E-012, 3.7667020E-012, 8.1706430E-008, 2.5652577E-004, 1.4500297E-016, 3.9037726E-012, 1.0810093E-011, 3.6476265E-007, 2.1531667E-003
 5.2500000E+000, 1.0209032E+001, 2.8127162E+000, 4.3000000E+000, 6.0248204E+002, 6.8244087E+002, 7.0308524E+002, 7.0600361E+002, 7.0692437E+002, 6.9275926E+002, 4.0284082E+002, 4.0464940E+002, 4.0729741E+002, 3.9325287E+002, 3.6941918E+002, 3.4845622E+002,-1.5560241E+001, 3.8619715E-017, 5.0539060E-011, 8.1240991E-011, 2.6022759E-006, 3.6402294E-004, 7.9246292E-017, 2.2701524E-010, 2.7305518E-010, 1.4155068E-005, 2.5291499E-003
 5.7500000E+000, 9.5330077E+000, 2.8973441E+000, 4.7800000E+000, 5.5426206E+002, 6.1809753E+002, 6.4480889E+002, 6.5795755E+002, 6.5518667E+002, 6.5136031E+002, 3.7734861E+002, 3.7589561E+002, 3.8578827E+002, 3.8253901E+002, 3.5255684E+002, 3.3694520E+002,-1.5066265E+001, 3.8619715E-017, 5.0539060E-011, 8.1240991E-011, 2.6022759E-006, 3.6402294E-004, 7.9246292E-017, 2.2701524E-010, 2.7305518E-010, 1.4155068E-005, 2.5291499E-003
 6.2500000E+000, 8.9636208E+000, 3.0268545E+000, 5.2600000E+000, 5.0658925E+002, 5.4961443E+002, 5.8157823E+002, 6.0999357E+002, 6.1117143E+002, 6.0787250E+002, 3.4008840E+002, 3.3804407E+002, 3.5402882E+002, 3.6429478E+002, 3.3636604E+002, 3.1773623E+002,-1.4572289E+001, 4.5101310E-016, 2.6881426E-009, 1.8496978E-009, 5.7405596E-005, 8.2433703E-004, 1.2907197E-015, 1.3836973E-008, 7.1019464E-009, 3.0866627E-004, 4.6317518E-003
 6.7500000E+000, 8.4938655E+000, 3.1991673E+000, 5.7400000E+000, 4.5878674E+002, 4.8902517E+002, 5.2203763E+002, 5.7058509E+002, 5.7384772E+002, 5.6547365E+002, 2.8610128E+002, 3.0412781E+002, 3.1637907E+002, 3.4419863E+002, 3.1930975E+002, 2.9946616E+002,-1.4078313E+001, 4.5101310E-016, 2.6881426E-009, 1.8496978E-009, 5.7405596E-005, 8.2433703E-004, 1.2907197E-015, 1.3836973E-008, 7.1019464E-009, 3.0866627E-004, 4.6317518E-003
 7.2500000E+000, 8.1137432E+000, 3.4064697E+000, 6.2200000E+000, 4.2421957E+002, 4.4172655E+002, 4.7441970E+002, 5.3031880E+002, 5.3519713E+002, 5.2648326E+002, 2.4974974E+002, 2.7450513E+002, 2.7930157E+002, 3.1750787E+002, 2.9681317E+002, 2.7567386E+002,-1.3584337E+001, 1.9626955E-014, 1.1583525E-007, 3.1496583E-008, 6.8484370E-004, 2.6706825E-003, 7.2643898E-014, 5.6873199E-007, 1.0038310E-007, 2.9859862E-003, 1.1950794E-002
