s,mol/mol,C
Time,"XO2","TBURNER"
 0.0000000E+000, 2.0755882E-001, 2.0000000E+001
 1.0007103E+000, 2.0755882E-001, 2.8328238E+001
 2.0000603E+000, 2.0755882E-001, 3.8516495E+001
 3.0000028E+000, 2.0755882E-001, 4.2145477E+001
 4.0004502E+000, 2.0755882E-001, 4.5436431E+001
 5.0000656E+000, 2.0755882E-001, 4.8378390E+001
 6.0006063E+000, 2.0755644E-001, 5.1105706E+001
 7.0003971E+000, 2.0244652E-001, 5.3693216E+001
 8.0007530E+000, 1.9698657E-001, 5.5912370E+001
 9.0007845E+000, 1.9180550E-001, 5.6726251E+001
 1.0000525E+001, 1.8688655E-001, 5.6859497E+001
 1.1000813E+001, 1.8225239E-001, 5.7058543E+001
 1.2000367E+001, 1.7784008E-001, 5.6988759E+001
 1.3000144E+001, 1.7363911E-001, 5.6573095E+001
 1.4000280E+001, 1.6964024E-001, 5.5944717E+001
 1.5000730E+001, 1.6581964E-001, 5.5169465E+001
 1.6000528E+001, 1.6217415E-001, 5.4315848E+001
 1.7000675E+001, 1.5868549E-001, 5.3365661E+001
 1.8000095E+001, 1.5535023E-001, 5.2298926E+001
 1.9000504E+001, 1.5215035E-001, 5.1289920E+001
 2.0000472E+001, 1.4908354E-001, 5.0409657E+001
 2.1000363E+001, 1.4613710E-001, 4.9622451E+001
 2.2000203E+001, 1.4331745E-001, 4.8794885E+001
 2.3000602E+001, 1.4059384E-001, 4.7982582E+001
 2.4000132E+001, 1.3797550E-001, 4.7190719E+001
 2.5000658E+001, 1.3545498E-001, 4.6344385E+001
 2.6000702E+001, 1.3302396E-001, 4.5376437E+001
 2.7000460E+001, 1.3068663E-001, 4.4382354E+001
 2.8000042E+001, 1.2842532E-001, 4.3466362E+001
 2.9000296E+001, 1.2624377E-001, 4.2595991E+001
 3.0000845E+001, 1.2413471E-001, 4.1783436E+001
 3.1000703E+001, 1.2210072E-001, 4.1038058E+001
 3.2000357E+001, 1.2013273E-001, 4.0375149E+001
 3.3001367E+001, 1.1821514E-001, 3.9780301E+001
 3.4001063E+001, 1.1636673E-001, 3.9239259E+001
 3.5001711E+001, 1.1457915E-001, 3.8743034E+001
 3.6001299E+001, 1.1284088E-001, 3.8289868E+001
 3.7001160E+001, 1.1115699E-001, 3.7871511E+001
 3.8002161E+001, 1.0951982E-001, 3.7483185E+001
 3.9000409E+001, 1.0793718E-001, 3.7120204E+001
 4.0002108E+001, 1.0639764E-001, 3.6779095E+001
 4.1001057E+001, 1.0490069E-001, 3.6455031E+001
 4.2001674E+001, 1.0344628E-001, 3.6143414E+001
 4.3000428E+001, 1.0202850E-001, 3.5849213E+001
 4.4002418E+001, 1.0065405E-001, 3.5571454E+001
 4.5004802E+001, 9.9309621E-002, 3.5307604E+001
 4.6001648E+001, 9.8011276E-002, 3.5056526E+001
 4.7004032E+001, 9.6736188E-002, 3.4816709E+001
 4.8000878E+001, 9.5507137E-002, 3.4587207E+001
 4.9001241E+001, 9.4298717E-002, 3.4366663E+001
 5.0000268E+001, 9.3126556E-002, 3.4155273E+001
 5.1000780E+001, 9.1977981E-002, 3.3952299E+001
 5.2003052E+001, 9.0857154E-002, 3.3757016E+001
 5.3005201E+001, 8.9762965E-002, 3.3568332E+001
 5.4004038E+001, 8.8696593E-002, 3.3386782E+001
 5.5002875E+001, 8.7659284E-002, 3.3212425E+001
 5.6002748E+001, 8.6643038E-002, 3.3044304E+001
 5.7004219E+001, 8.5647430E-002, 3.2881373E+001
 5.8002493E+001, 8.4683898E-002, 3.2724720E+001
 5.9003843E+001, 8.3733686E-002, 3.2572716E+001
 6.0004382E+001, 8.2806467E-002, 3.2425697E+001
 6.1002036E+001, 8.1898050E-002, 3.2283480E+001
 6.2004065E+001, 8.1011587E-002, 3.2145684E+001
 6.3003332E+001, 8.0145840E-002, 3.2012301E+001
 6.4003975E+001, 7.9292994E-002, 3.1883667E+001
 6.5000000E+001, 7.8467792E-002, 3.1758311E+001
