s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 1.0000353E+001, 9.1500528E+000,-2.3786181E+000,-6.7595258E+000,-7.7449585E-002, 5.4217202E-003, 0.0000000E+000,-1.1999479E-001,-1.2762586E-001,-1.8011380E-001, 3.2112000E-001, 0.0000000E+000, 1.7712114E-004, 0.0000000E+000, 0.0000000E+000, 3.8884396E-002, 0.0000000E+000, 2.1951871E-005
 1.1000268E+001, 9.0316948E+000,-2.2648182E+000,-6.6458088E+000,-7.6484473E-002, 5.6448492E-003, 0.0000000E+000,-1.1806619E-001,-1.2195205E-002,-6.7838002E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.7524619E-002, 0.0000000E+000, 2.1951871E-005
 1.2000052E+001, 8.9938686E+000,-2.1858077E+000,-6.5529335E+000,-7.3587797E-002, 5.8240839E-003, 0.0000000E+000,-1.1588867E-001, 1.1483614E-001, 7.1474945E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 5.6163115E-002, 0.0000000E+000, 2.1951872E-005
 1.3000193E+001, 9.1382412E+000,-2.1526814E+000,-6.9891102E+000,-7.2416124E-002, 5.9729867E-003, 0.0000000E+000,-1.1330071E-001,-1.3291310E-001,-1.8329425E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 6.4802706E-002, 0.0000000E+000, 2.1951872E-005
 1.4000186E+001, 8.9934007E+000,-2.0602860E+000,-6.6072517E+000,-7.0268899E-002, 6.0725314E-003, 0.0000000E+000,-1.1213504E-001, 1.9690624E-001, 1.4953158E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 7.3443310E-002, 0.0000000E+000, 2.1951872E-005
 1.5000046E+001, 9.0353326E+000,-1.9900801E+000,-6.8995454E+000,-7.1200157E-002, 6.1521565E-003, 0.0000000E+000,-1.0957649E-001, 1.1774262E-002,-2.8917296E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 8.2082823E-002, 0.0000000E+000, 2.1951872E-005
 1.6000175E+001, 9.0384323E+000,-1.9526828E+000,-7.2858840E+000,-6.6504441E-002, 6.2054199E-003, 0.0000000E+000,-1.0735313E-001,-3.1974656E-001,-3.6778662E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 9.0722532E-002, 0.0000000E+000, 2.1951872E-005
 1.7000120E+001, 9.0625576E+000,-1.9070848E+000,-7.0500757E+000,-6.4769342E-002, 6.2422725E-003, 0.0000000E+000,-1.0527734E-001,-1.2433172E-002,-5.8407299E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 9.9362904E-002, 0.0000000E+000, 2.1951872E-005
 1.8000267E+001, 9.0946761E+000,-1.8410993E+000,-7.1731993E+000,-6.2571465E-002, 6.2877564E-003, 0.0000000E+000,-1.0332306E-001,-2.6518239E-002,-7.9229268E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.0800365E-001, 0.0000000E+000, 2.1951872E-005
 1.9000113E+001, 9.0803538E+000,-1.7330166E+000,-7.0866227E+000,-5.9889664E-002, 6.2741247E-003, 0.0000000E+000,-1.0001564E-001, 1.4943498E-001, 1.0708324E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.1664338E-001, 0.0000000E+000, 2.1951872E-005
 2.0000172E+001, 8.9394963E+000,-1.6969717E+000,-7.0084487E+000,-5.9735034E-002, 6.2630155E-003, 0.0000000E+000,-9.6381354E-002, 1.2431671E-001, 8.4222556E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.2528302E-001, 0.0000000E+000, 2.1951872E-005
 2.1000351E+001, 9.0918940E+000,-1.6411672E+000,-7.4188552E+000,-5.7141600E-002, 6.2076673E-003, 0.0000000E+000,-9.3365383E-002,-6.0060667E-002,-1.1242770E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.3392423E-001, 0.0000000E+000, 2.1951872E-005
 2.2000147E+001, 9.0326114E+000,-1.5793006E+000,-7.3102887E+000,-5.5054456E-002, 6.1470109E-003, 0.0000000E+000,-8.9940411E-002, 3.8449977E-002, 4.1742307E-003, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.4256399E-001, 0.0000000E+000, 2.1951872E-005
 2.3000313E+001, 9.0475684E+000,-1.4973221E+000,-7.3616259E+000,-5.3476215E-002, 6.0723946E-003, 0.0000000E+000,-8.5851006E-002, 1.0163084E-001, 5.5365566E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.5120370E-001, 0.0000000E+000, 2.1951872E-005
 2.4000080E+001, 9.0144620E+000,-1.4500733E+000,-7.6192852E+000,-5.2522971E-002, 5.9695500E-003, 0.0000000E+000,-8.0961424E-002,-1.3803624E-001,-1.8241137E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.5984355E-001, 0.0000000E+000, 2.1951872E-005
 2.5000231E+001, 9.0589043E+000,-1.4038592E+000,-7.7411664E+000,-4.9297419E-002, 5.9250651E-003, 0.0000000E+000,-7.3877981E-002,-1.6848141E-001,-2.0337170E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.6848313E-001, 0.0000000E+000, 2.1951872E-005
 2.6000086E+001, 9.0435888E+000,-1.3288507E+000,-7.5452842E+000,-4.6175156E-002, 5.8182582E-003, 0.0000000E+000,-6.8821815E-002, 9.4738555E-002, 6.0275235E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.7712328E-001, 0.0000000E+000, 2.1951872E-005
 2.7000389E+001, 8.9936605E+000,-1.2640763E+000,-7.6065600E+000,-4.3430670E-002, 5.7052988E-003, 0.0000000E+000,-6.2467420E-002, 4.2892956E-002, 2.2831342E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.8576388E-001, 0.0000000E+000, 2.1951872E-005
 2.8000248E+001, 9.0494617E+000,-1.2132612E+000,-8.0162233E+000,-4.0342759E-002, 5.5676013E-003, 0.0000000E+000,-5.5604810E-002,-2.5263623E-001,-2.7040271E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.9440468E-001, 0.0000000E+000, 2.1951872E-005
 2.9000166E+001, 9.0504318E+000,-1.1492048E+000,-7.4296840E+000,-3.8798759E-002, 5.4522110E-003, 0.0000000E+000,-4.8322597E-002, 4.1763174E-001, 3.8987389E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.0304395E-001, 0.0000000E+000, 2.1951872E-005
 3.0000383E+001, 8.9498142E+000,-1.0704394E+000,-8.1097270E+000,-3.7098247E-002, 5.3019838E-003, 0.0000000E+000,-4.0554618E-002,-2.7297526E-001,-3.0270311E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.1168430E-001, 0.0000000E+000, 2.1951872E-005
