s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPYLENE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7944332E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7944332E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0004195E+000, 2.8736059E+000, 0.0000000E+000,-7.2755720E-001,-9.9062791E-002,-7.6155780E-002, 3.0961947E-004, 0.0000000E+000,-6.2222410E-002,-2.2589354E+000, 1.9089174E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3212948E-005, 9.5400122E-006
 2.0000243E+000, 7.5174887E+000, 0.0000000E+000,-2.0789772E+000,-1.8908987E+000,-5.6440440E-002, 1.0171553E-003, 0.0000000E+000,-1.2491975E-001, 3.4166962E+000, 3.3672698E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7066693E-004, 1.9566241E-005
 3.0001183E+000, 8.5482302E+000, 0.0000000E+000,-2.3506188E+000,-4.8592584E+000,-5.1203886E-002, 1.4713190E-003, 0.0000000E+000,-1.2484932E-001, 1.1943505E+000, 1.1637712E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8847610E-004, 2.1607987E-005
 4.0000892E+000, 9.0981778E+000, 0.0000000E+000,-2.4230299E+000,-4.5876787E+000,-5.4416721E-002, 1.7876801E-003, 0.0000000E+000,-1.3999452E-001, 1.9502316E+000, 1.8948457E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9106611E-004, 2.1904920E-005
 5.0002565E+000, 8.9288532E+000, 0.0000000E+000,-2.3752925E+000,-6.8165636E+000,-6.0028158E-002, 2.0766056E-003, 0.0000000E+000,-1.2474007E-001,-4.0920353E-001,-4.4569452E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7457811E-008, 1.9142015E-004, 2.1945510E-005
 6.0003595E+000, 8.8964337E+000, 0.0000000E+000,-2.3958657E+000,-6.5002143E+000,-5.8355293E-002, 2.3038399E-003, 0.0000000E+000,-1.2354878E-001,-1.3328160E-001,-1.7924650E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3243186E-003, 1.9146813E-004, 2.1951011E-005
 7.0003390E+000, 9.1495361E+000, 0.0000000E+000,-2.5091905E+000,-6.5449576E+000,-5.8036442E-002, 2.6085378E-003, 0.0000000E+000,-1.2335351E-001,-3.6836500E-002,-8.3393424E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2964374E-002, 1.9147462E-004, 2.1951755E-005
 8.0003510E+000, 8.9311251E+000, 0.0000000E+000,-2.4421960E+000,-6.1288896E+000,-5.6995743E-002, 2.8152081E-003, 0.0000000E+000,-1.2204009E-001, 2.3212836E-001, 1.8381886E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1604412E-002, 1.9147550E-004, 2.1951856E-005
 9.0000496E+000, 9.0293375E+000, 0.0000000E+000,-2.4035927E+000,-5.9355247E+000,-5.6419655E-002, 2.9824904E-003, 0.0000000E+000,-1.1978154E-001, 5.5770304E-001, 5.1700130E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0243626E-002, 1.9147562E-004, 2.1951869E-005
 1.0000250E+001, 9.1546137E+000, 0.0000000E+000,-2.3523527E+000,-6.5121918E+000,-5.8630989E-002, 3.1532771E-003, 0.0000000E+000,-1.1745187E-001, 1.6359345E-001, 1.1713954E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8883093E-002, 1.9147564E-004, 2.1951871E-005
 1.1000030E+001, 9.1605299E+000, 0.0000000E+000,-2.2588798E+000,-6.8225903E+000,-5.6251743E-002, 3.2545819E-003, 0.0000000E+000,-1.1487930E-001,-2.6133826E-002,-8.8816653E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7523156E-002, 1.9147564E-004, 2.1951871E-005
 1.2000051E+001, 8.9377533E+000, 0.0000000E+000,-2.1021328E+000,-6.2581329E+000,-5.5470861E-002, 3.3196435E-003, 0.0000000E+000,-1.1336218E-001, 4.6782674E-001, 4.1197414E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6162072E-002, 1.9147564E-004, 2.1951872E-005
 1.3000086E+001, 8.9787820E+000, 0.0000000E+000,-2.0884409E+000,-6.6734330E+000,-5.6909437E-002, 3.3696670E-003, 0.0000000E+000,-1.1097930E-001, 1.0679607E-001, 5.2388994E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4802375E-002, 1.9147564E-004, 2.1951872E-005
 1.4000085E+001, 9.0702726E+000, 0.0000000E+000,-2.0276227E+000,-7.5087465E+000,-5.3938720E-002, 3.3233661E-003, 0.0000000E+000,-1.0822485E-001,-5.5522428E-001,-6.2493683E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3442538E-002, 1.9147564E-004, 2.1951872E-005
 1.5000220E+001, 9.0118339E+000, 0.0000000E+000,-1.9429713E+000,-6.9035043E+000,-5.1371860E-002, 3.3457905E-003, 0.0000000E+000,-1.0688135E-001, 6.4405893E-002, 1.0450783E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2083025E-002, 1.9147564E-004, 2.1951872E-005
 1.6000317E+001, 9.1040416E+000, 0.0000000E+000,-1.8835212E+000,-6.8877420E+000,-4.8388567E-002, 3.3449176E-003, 0.0000000E+000,-1.0515355E-001, 2.2193632E-001, 1.8258120E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0724158E-002, 1.9147564E-004, 2.1951872E-005
 1.7000177E+001, 8.9712765E+000, 0.0000000E+000,-1.7579825E+000,-7.3887547E+000,-4.8458373E-002, 3.3101887E-003, 0.0000000E+000,-1.0243357E-001,-2.7167675E-001,-3.2304250E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9363959E-002, 1.9147564E-004, 2.1951872E-005
 1.8000053E+001, 9.0784355E+000, 0.0000000E+000,-1.7318593E+000,-6.5315727E+000,-4.4282606E-002, 3.2975317E-003, 0.0000000E+000,-1.0052912E-001, 7.1313722E-001, 6.7348929E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0800295E-001, 1.9147564E-004, 2.1951872E-005
 1.9000227E+001, 8.9691421E+000, 0.0000000E+000,-1.6318671E+000,-7.6748281E+000,-4.2172701E-002, 3.2433217E-003, 0.0000000E+000,-9.7872596E-002,-4.2630213E-001,-4.7435506E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1664293E-001, 1.9147564E-004, 2.1951872E-005
 2.0000298E+001, 8.9797900E+000, 0.0000000E+000,-1.5782679E+000,-7.4433921E+000,-4.0993132E-002, 3.2189890E-003, 0.0000000E+000,-9.6050002E-002,-1.1510820E-001,-1.7569416E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2528392E-001, 1.9147564E-004, 2.1951872E-005
 2.1000362E+001, 8.9912092E+000, 0.0000000E+000,-1.4613241E+000,-7.2452956E+000,-3.7789139E-002, 3.1322682E-003, 0.0000000E+000,-9.4026653E-002, 2.0446949E-001, 1.5590597E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3392490E-001, 1.9147564E-004, 2.1951872E-005
 2.2000294E+001, 8.9938214E+000, 0.0000000E+000,-1.4088817E+000,-7.3795696E+000,-3.5008214E-002, 3.0394782E-003, 0.0000000E+000,-9.1371644E-002, 1.2450120E-001, 8.2029695E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4256463E-001, 1.9147564E-004, 2.1951872E-005
 2.3000280E+001, 9.0015047E+000, 0.0000000E+000,-1.3161745E+000,-8.2584034E+000,-3.3857697E-002, 2.9585466E-003, 0.0000000E+000,-8.7456165E-002,-6.3951895E-001,-6.9142850E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5120431E-001, 1.9147564E-004, 2.1951872E-005
 2.4000086E+001, 9.0107214E+000, 0.0000000E+000,-1.2625797E+000,-7.6717315E+000,-3.1068653E-002, 2.9104728E-003, 0.0000000E+000,-8.3140510E-002,-4.0861990E-003,-3.4888544E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5984354E-001, 1.9147564E-004, 2.1951872E-005
 2.5000181E+001, 8.8865107E+000, 0.0000000E+000,-1.1777543E+000,-7.6510918E+000,-2.7895394E-002, 2.7541132E-003, 0.0000000E+000,-7.8723126E-002,-2.4453067E-006,-4.6199877E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6848301E-001, 1.9147564E-004, 2.1951872E-005
 2.6000402E+001, 9.0570896E+000, 0.0000000E+000,-1.1299469E+000,-7.6549045E+000,-2.4559613E-002, 2.6430310E-003, 0.0000000E+000,-7.1988596E-002, 2.1959577E-001, 1.7833308E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7712431E-001, 1.9147564E-004, 2.1951872E-005
 2.7000380E+001, 8.8462795E+000, 0.0000000E+000,-1.0288396E+000,-7.8320830E+000,-2.2458625E-002, 2.5362507E-003, 0.0000000E+000,-6.6622225E-002,-5.1873556E-002,-1.0118775E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8576530E-001, 1.9147564E-004, 2.1951872E-005
 2.8000196E+001, 8.9583800E+000, 0.0000000E+000,-9.5535630E-001,-8.0981113E+000,-2.1065232E-002, 2.4331966E-003, 0.0000000E+000,-5.9828819E-002,-1.4005746E-001,-1.7354840E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9440462E-001, 1.9147564E-004, 2.1951872E-005
 2.9000277E+001, 8.9812867E+000, 0.0000000E+000,-8.9799472E-001,-7.7787035E+000,-1.9251053E-002, 2.3082051E-003, 0.0000000E+000,-5.2653725E-002, 2.7585181E-001, 2.3499189E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0304370E-001, 1.9147564E-004, 2.1951872E-005
 3.0000458E+001, 9.0158104E+000, 0.0000000E+000,-8.1767505E-001,-7.9375211E+000,-1.7178624E-002, 2.2451050E-003, 0.0000000E+000,-4.5002821E-002, 2.4047331E-001, 2.0067788E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1168516E-001, 1.9147564E-004, 2.1951872E-005
 3.1000460E+001, 8.9331705E+000, 0.0000000E+000,-7.3330474E-001,-8.2562098E+000,-1.6064845E-002, 2.1655520E-003, 0.0000000E+000,-3.7541374E-002,-8.4501158E-002,-1.0778470E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2032588E-001, 1.9147564E-004, 2.1951872E-005
 3.2000385E+001, 8.9159136E+000, 0.0000000E+000,-6.5991780E-001,-8.1941081E+000,-1.4021077E-002, 2.1097107E-003, 0.0000000E+000,-2.8947045E-002, 4.9464962E-002, 2.1029246E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2896561E-001, 1.9147564E-004, 2.1951872E-005
 3.3000309E+001, 8.8099486E+000, 0.0000000E+000,-5.7875186E-001,-7.8458429E+000,-1.2700010E-002, 2.0562567E-003, 0.0000000E+000,-2.1973980E-002, 3.7280887E-001, 3.5273610E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3760497E-001, 1.9147564E-004, 2.1951872E-005
 3.4000153E+001, 8.7878875E+000, 0.0000000E+000,-5.0587915E-001,-8.8961249E+000,-9.7559872E-003, 2.0026816E-003, 0.0000000E+000,-1.4044678E-002,-6.0520370E-001,-6.3591450E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4624414E-001, 1.9147564E-004, 2.1951872E-005
