s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPANE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000,-2.7963880E-003, 3.1905018E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7963880E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0003663E+000, 2.9574442E+000,-4.7850079E-001,-1.4468147E-001,-2.2101104E-001, 3.5774216E-004, 0.0000000E+000,-9.0850868E-002, 2.1929604E+000, 2.0227577E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3414005E-005, 9.5417213E-006
 2.0001421E+000, 8.4549555E+000,-1.7631950E+000,-4.0184696E+000,-1.9765220E-001, 1.3973974E-003, 0.0000000E+000,-1.5259847E-001, 2.3872140E+000, 2.3244376E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9155363E-004, 1.9566139E-005
 3.0001900E+000, 1.0300010E+001,-2.1101965E+000,-7.1835637E+000,-1.8589002E-001, 2.1627662E-003, 0.0000000E+000,-1.5675825E-001, 7.1363462E-001, 6.6576465E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1154385E-004, 2.1608028E-005
 4.0001454E+000, 1.0873325E+001,-2.1379979E+000,-7.5216738E+000,-1.8043970E-001, 2.6189108E-003, 0.0000000E+000,-1.5608764E-001, 9.3101789E-001, 8.7974477E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1445046E-004, 2.1904922E-005
 5.0002198E+000, 1.0859293E+001,-2.1529880E+000,-8.9700334E+000,-1.8509786E-001, 3.0512770E-003, 0.0000000E+000,-1.5383040E-001,-5.2598477E-001,-5.9960501E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2297511E-008, 2.1484781E-004, 2.1945510E-005
 6.0000477E+000, 1.1087091E+001,-2.2273882E+000,-8.1460750E+000,-1.8194059E-001, 3.5238444E-003, 0.0000000E+000,-1.5293401E-001, 4.4581756E-001, 3.8227729E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3226010E-003, 2.1490167E-004, 2.1951010E-005
 7.0001879E+000, 1.1002315E+001,-2.2088696E+000,-8.3017372E+000,-1.8426557E-001, 3.8612981E-003, 0.0000000E+000,-1.5403594E-001, 2.2801089E-001, 1.5726784E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2962732E-002, 2.1490895E-004, 2.1951755E-005
 8.0002670E+000, 1.0838896E+001,-2.1478865E+000,-8.4810981E+000,-1.7911079E-001, 4.1859022E-003, 0.0000000E+000,-1.5555066E-001,-7.3175915E-002,-1.2056412E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1603606E-002, 2.1490994E-004, 2.1951856E-005
 9.0000572E+000, 1.0936590E+001,-2.0822816E+000,-8.7337612E+000,-1.7280599E-001, 4.4330091E-003, 0.0000000E+000,-1.5524487E-001,-1.2935167E-001,-2.0307045E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0243111E-002, 2.1491007E-004, 2.1951869E-005
 1.0000033E+001, 1.0639630E+001,-1.9724262E+000,-8.1181576E+000,-1.6134992E-001, 4.6762836E-003, 0.0000000E+000,-1.5129431E-001, 2.9300562E-001, 2.4107860E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8882107E-002, 2.1491009E-004, 2.1951871E-005
 1.1000034E+001, 1.0862127E+001,-1.9365921E+000,-8.5462610E+000,-1.5367579E-001, 4.7389626E-003, 0.0000000E+000,-1.4677171E-001, 1.3804681E-001, 8.3565682E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7521733E-002, 2.1491010E-004, 2.1951871E-005
 1.2000246E+001, 1.0869864E+001,-1.8648414E+000,-9.2521208E+000,-1.4222551E-001, 4.8406646E-003, 0.0000000E+000,-1.4645879E-001,-4.6756172E-001,-5.3094168E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6162892E-002, 2.1491010E-004, 2.1951872E-005
 1.3000307E+001, 1.0790389E+001,-1.7768698E+000,-8.9216737E+000,-1.3410312E-001, 4.9459175E-003, 0.0000000E+000,-1.4238045E-001,-1.1686912E-001,-1.7969206E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4804150E-002, 2.1491010E-004, 2.1951872E-005
 1.4000241E+001, 1.0849405E+001,-1.6986696E+000,-8.6086493E+000,-1.2415325E-001, 5.0159777E-003, 0.0000000E+000,-1.4065546E-001, 3.3448557E-001, 2.8229280E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3443966E-002, 2.1491010E-004, 2.1951872E-005
 1.5000272E+001, 1.0772740E+001,-1.6520145E+000,-9.2058195E+000,-1.1168887E-001, 5.2466362E-003, 0.0000000E+000,-1.3677253E-001,-2.7469765E-001,-3.2830927E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2083667E-002, 2.1491010E-004, 2.1951872E-005
 1.6000195E+001, 1.0810264E+001,-1.5409592E+000,-9.3185649E+000,-9.7891177E-002, 5.2424825E-003, 0.0000000E+000,-1.3285274E-001,-2.2313261E-001,-2.7476186E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0723710E-002, 2.1491010E-004, 2.1951872E-005
 1.7000111E+001, 1.0858595E+001,-1.4913792E+000,-8.7771799E+000,-8.4861512E-002, 5.3677264E-003, 0.0000000E+000,-1.3044919E-001, 4.2128546E-001, 3.8009336E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9363274E-002, 2.1491010E-004, 2.1951872E-005
 1.8000303E+001, 1.0748779E+001,-1.4048001E+000,-9.4244008E+000,-7.6770272E-002, 5.2356904E-003, 0.0000000E+000,-1.2640389E-001,-2.3529116E-001,-2.7836035E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0800352E-001, 2.1491010E-004, 2.1951872E-005
 1.9000248E+001, 1.0565432E+001,-1.2802151E+000,-8.9787385E+000,-6.4792503E-002, 5.1515343E-003, 0.0000000E+000,-1.2141973E-001, 1.7788826E-001, 1.2541773E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1664413E-001, 2.1491010E-004, 2.1951872E-005
 2.0000427E+001, 1.0891820E+001,-1.2684317E+000,-9.5635230E+000,-5.9723742E-002, 5.1383562E-003, 0.0000000E+000,-1.1365574E-001,-7.7446949E-002,-1.0837597E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2528471E-001, 2.1491010E-004, 2.1951872E-005
 2.1000025E+001, 1.0559525E+001,-1.1397267E+000,-9.0993521E+000,-5.3163224E-002, 4.9216100E-003, 0.0000000E+000,-1.0740366E-001, 2.1655191E-001, 1.6480064E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3392357E-001, 2.1491010E-004, 2.1951872E-005
 2.2000324E+001, 1.0931084E+001,-1.0897112E+000,-9.7571468E+000,-5.1306311E-002, 4.7890093E-003, 0.0000000E+000,-9.8859274E-002,-3.4570468E-002,-6.1150299E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4256362E-001, 2.1491010E-004, 2.1951872E-005
 2.3000187E+001, 1.0569864E+001,-9.8417583E-001,-9.5701470E+000,-4.5051675E-002, 4.5293197E-003, 0.0000000E+000,-9.1484408E-002,-8.0724476E-002,-1.1646575E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5120405E-001, 2.1491010E-004, 2.1951872E-005
 2.4000158E+001, 1.0530184E+001,-9.2179049E-001,-9.8918086E+000,-3.9754055E-002, 4.2676786E-003, 0.0000000E+000,-8.0603352E-002,-3.7819118E-001,-3.9950504E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5984370E-001, 2.1491010E-004, 2.1951872E-005
