s,mol/mol,C
Time,"XO2","TBURNER"
 0.0000000E+000, 2.0755882E-001, 2.0000000E+001
 1.0000096E+000, 2.0755882E-001, 2.8091653E+001
 2.0003253E+000, 2.0755880E-001, 3.7447164E+001
 3.0002130E+000, 2.0755882E-001, 4.2206339E+001
 4.0002378E+000, 2.0755882E-001, 4.6148872E+001
 5.0003675E+000, 2.0755882E-001, 4.9111056E+001
 6.0002274E+000, 2.0753817E-001, 5.1612419E+001
 7.0003964E+000, 2.0218101E-001, 5.3993651E+001
 8.0002002E+000, 1.9675692E-001, 5.6073950E+001
 9.0001348E+000, 1.9159517E-001, 5.7680557E+001
 1.0000330E+001, 1.8672551E-001, 5.8774706E+001
 1.1000070E+001, 1.8210613E-001, 5.9554712E+001
 1.2000300E+001, 1.7770096E-001, 6.0055571E+001
 1.3000371E+001, 1.7350854E-001, 6.0271254E+001
 1.4000298E+001, 1.6951584E-001, 6.0258910E+001
 1.5000242E+001, 1.6570579E-001, 6.0049184E+001
 1.6000225E+001, 1.6207321E-001, 5.9663172E+001
 1.7000241E+001, 1.5858855E-001, 5.9023840E+001
 1.8000345E+001, 1.5525961E-001, 5.8223281E+001
 1.9000242E+001, 1.5206589E-001, 5.7267430E+001
 2.0000162E+001, 1.4900453E-001, 5.6244966E+001
 2.1000352E+001, 1.4606597E-001, 5.5292995E+001
 2.2000007E+001, 1.4323914E-001, 5.4321927E+001
 2.3000285E+001, 1.4052725E-001, 5.3325840E+001
 2.4000001E+001, 1.3791590E-001, 5.2242824E+001
 2.5000101E+001, 1.3539728E-001, 5.1094135E+001
 2.6000095E+001, 1.3297167E-001, 4.9909781E+001
 2.7000040E+001, 1.3063474E-001, 4.8753875E+001
 2.8000222E+001, 1.2837475E-001, 4.7675963E+001
 2.9000180E+001, 1.2619581E-001, 4.6589804E+001
 3.0000590E+001, 1.2409289E-001, 4.5607747E+001
 3.1000182E+001, 1.2206347E-001, 4.4707345E+001
 3.2000539E+001, 1.2008749E-001, 4.3860835E+001
 3.3000418E+001, 1.1818037E-001, 4.3088299E+001
 3.4001119E+001, 1.1633663E-001, 4.2405545E+001
 3.5000411E+001, 1.1454548E-001, 4.1799220E+001
 3.6000635E+001, 1.1280900E-001, 4.1261530E+001
 3.7000595E+001, 1.1112893E-001, 4.0765371E+001
 3.8000610E+001, 1.0949344E-001, 4.0298501E+001
 3.9001123E+001, 1.0790837E-001, 3.9856592E+001
 4.0000850E+001, 1.0636986E-001, 3.9453465E+001
 4.1000741E+001, 1.0487202E-001, 3.9056644E+001
 4.2000660E+001, 1.0341947E-001, 3.8679433E+001
 4.3001721E+001, 1.0200505E-001, 3.8310294E+001
 4.4002177E+001, 1.0063091E-001, 3.7967865E+001
 4.5000774E+001, 9.9292832E-002, 3.7646801E+001
 4.6000526E+001, 9.7989035E-002, 3.7340010E+001
 4.7000350E+001, 9.6720934E-002, 3.7054062E+001
 4.8000236E+001, 9.5484020E-002, 3.6775464E+001
 4.9001072E+001, 9.4277330E-002, 3.6506326E+001
 5.0000502E+001, 9.3104189E-002, 3.6254421E+001
 5.1002569E+001, 9.1955156E-002, 3.6007457E+001
 5.2000168E+001, 9.0839980E-002, 3.5780538E+001
 5.3000790E+001, 8.9747727E-002, 3.5556629E+001
 5.4001522E+001, 8.8683561E-002, 3.5346400E+001
 5.5001848E+001, 8.7643560E-002, 3.5133524E+001
 5.6000162E+001, 8.6630232E-002, 3.4936792E+001
 5.7001806E+001, 8.5635892E-002, 3.4749199E+001
 5.8001552E+001, 8.4666867E-002, 3.4564319E+001
 5.9001859E+001, 8.3720912E-002, 3.4377519E+001
 6.0001215E+001, 8.2791944E-002, 3.4212706E+001
 6.1000457E+001, 8.1886494E-002, 3.4041974E+001
 6.2002450E+001, 8.0998342E-002, 3.3872205E+001
 6.3002104E+001, 8.0132055E-002, 3.3722681E+001
 6.4001119E+001, 7.9283943E-002, 3.3566590E+001
 6.5000000E+001, 7.8453163E-002, 3.3418889E+001
