s,mol/mol
Time,"XO2"
 0.0000000E+000, 2.0755882E-001
 1.0002846E+000, 2.0755882E-001
 2.0005126E+000, 2.0755882E-001
 3.0007377E+000, 2.0755882E-001
 4.0009222E+000, 2.0755882E-001
 5.0004208E+000, 2.0755882E-001
 6.0008706E+000, 2.0754230E-001
 7.0001169E+000, 2.0250272E-001
 8.0002875E+000, 1.9697390E-001
 9.0001043E+000, 1.9179876E-001
 1.0000056E+001, 1.8689544E-001
 1.1000642E+001, 1.8224802E-001
 1.2000425E+001, 1.7784088E-001
 1.3000550E+001, 1.7363590E-001
 1.4000596E+001, 1.6963510E-001
 1.5000762E+001, 1.6581664E-001
 1.6000507E+001, 1.6217161E-001
 1.7000346E+001, 1.5868437E-001
 1.8000752E+001, 1.5534473E-001
 1.9000630E+001, 1.5214752E-001
 2.0000068E+001, 1.4908140E-001
 2.1000675E+001, 1.4613742E-001
 2.2000480E+001, 1.4331580E-001
 2.3000468E+001, 1.4059179E-001
 2.4000238E+001, 1.3797604E-001
 2.5000568E+001, 1.3545458E-001
 2.6000467E+001, 1.3303018E-001
 2.7000726E+001, 1.3068700E-001
 2.8000672E+001, 1.2842568E-001
 2.9000597E+001, 1.2624161E-001
 3.0000082E+001, 1.2414219E-001
 3.1000303E+001, 1.2209942E-001
 3.2000023E+001, 1.2012767E-001
 3.3000128E+001, 1.1821929E-001
 3.4000132E+001, 1.1637126E-001
 3.5000802E+001, 1.1457747E-001
 3.6000658E+001, 1.1284088E-001
 3.7000632E+001, 1.1115729E-001
 3.8000955E+001, 1.0952642E-001
 3.9000037E+001, 1.0794046E-001
 4.0000183E+001, 1.0639669E-001
 4.1001449E+001, 1.0490188E-001
 4.2000331E+001, 1.0345115E-001
 4.3004019E+001, 1.0202516E-001
 4.4001523E+001, 1.0065652E-001
 4.5002118E+001, 9.9318354E-002
 4.6003377E+001, 9.8010726E-002
 4.7003306E+001, 9.6740598E-002
 4.8005102E+001, 9.5500581E-002
 4.9001363E+001, 9.4302205E-002
 5.0003159E+001, 9.3122169E-002
 5.1002626E+001, 9.1977740E-002
 5.2003510E+001, 9.0855098E-002
 5.3002223E+001, 8.9770179E-002
 5.4000372E+001, 8.8701666E-002
 5.5004334E+001, 8.7658818E-002
 5.6001714E+001, 8.6645173E-002
 5.7004028E+001, 8.5646688E-002
 5.8001683E+001, 8.4687469E-002
 5.9002728E+001, 8.3733254E-002
 6.0001861E+001, 8.2809055E-002
 6.1002295E+001, 8.1903338E-002
 6.2003651E+001, 8.1012128E-002
 6.3001277E+001, 8.0147314E-002
 6.4002025E+001, 7.9295218E-002
 6.5000000E+001, 7.8469934E-002
