s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPYLENE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4798564E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4798564E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0026070E+000, 3.4740054E+000, 0.0000000E+000,-4.3506870E-001,-6.1906994E-002, 3.9016892E-003, 1.6201633E-004, 0.0000000E+000,-9.9199871E-003,-5.0130915E-001, 2.9711734E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4008558E-005, 9.6312255E-006
 2.0012963E+000, 7.8999522E+000, 0.0000000E+000,-1.7220650E+000,-2.8543902E+000, 1.9589934E-003, 1.3403563E-003, 0.0000000E+000,-1.9720466E-002, 3.2646226E+000, 3.3070759E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7077834E-004, 1.9579014E-005
 3.0006218E+000, 8.9027733E+000, 0.0000000E+000,-1.9098846E+000,-6.5354335E+000, 3.6697634E-003, 2.2041558E-003, 0.0000000E+000,-1.8884962E-002, 4.3177245E-001, 4.4444418E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8848799E-004, 2.1609351E-005
 4.0007205E+000, 9.1280141E+000, 0.0000000E+000,-1.8851611E+000,-6.0147060E+000, 5.3035673E-003, 2.8875587E-003, 0.0000000E+000,-2.0963164E-002, 1.2308062E+000, 1.2153749E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9106734E-004, 2.1905061E-005
 5.0013189E+000, 9.0543745E+000, 0.0000000E+000,-1.7753918E+000,-6.4310609E+000,-1.6545812E-003, 3.5039492E-003, 0.0000000E+000,-1.9429648E-002, 8.9177911E-001, 8.3034159E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0094652E-007, 1.9142035E-004, 2.1945533E-005
 6.0016975E+000, 9.0801585E+000, 0.0000000E+000,-1.9493484E+000,-7.9168295E+000,-2.4804177E-003, 3.7423268E-003, 0.0000000E+000,-1.7889569E-002,-8.2725850E-001,-8.0264700E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3428232E-003, 1.9146816E-004, 2.1951014E-005
 7.0018020E+000, 9.1227235E+000, 0.0000000E+000,-2.0351224E+000,-6.5136871E+000,-5.6377304E-004, 4.1604045E-003, 0.0000000E+000,-1.8748943E-002, 5.2049546E-001, 5.5876173E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2984638E-002, 1.9147463E-004, 2.1951756E-005
 8.0005150E+000, 9.1004044E+000, 0.0000000E+000,-1.9814813E+000,-7.0427106E+000,-2.7380399E-003, 4.5059144E-003, 0.0000000E+000,-1.9125161E-002, 4.2854878E-002, 5.8855235E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1619005E-002, 1.9147550E-004, 2.1951856E-005
