cm,kW,kW,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 2.5000000E-001, 1.2105503E+001, 6.6468273E-001,-5.0000000E-001, 1.0316396E+003, 1.1463547E+003, 1.2743972E+003, 1.3164907E+003, 1.2336364E+003, 1.0769652E+003, 8.1279305E+001, 1.4952102E+002, 2.0392567E+002, 2.3888976E+002, 3.2358327E+002, 3.8005878E+002,-2.0500000E+001, 2.1144763E-019, 1.3517060E-017, 1.2609850E-015, 1.3241959E-011, 1.1532029E-010, 4.4111721E-019, 2.4484982E-017, 5.0981681E-015, 9.7189748E-011, 3.2071970E-010
 7.5000000E-001, 2.3667951E+001, 2.2719421E+000,-2.0000000E-002, 1.0316396E+003, 1.1463547E+003, 1.2743972E+003, 1.3164907E+003, 1.2336364E+003, 1.0769652E+003, 8.1279305E+001, 1.4952102E+002, 2.0392567E+002, 2.3888976E+002, 3.2358327E+002, 3.8005878E+002,-2.0006024E+001, 2.1144763E-019, 1.3517060E-017, 1.2609850E-015, 1.3241959E-011, 1.1532029E-010, 4.4111721E-019, 2.4484982E-017, 5.0981681E-015, 9.7189748E-011, 3.2071970E-010
 1.2500000E+000, 2.3058909E+001, 3.0166729E+000, 4.6000000E-001, 1.0328859E+003, 1.1486692E+003, 1.2736689E+003, 1.3136531E+003, 1.2401099E+003, 1.0819367E+003, 7.8328065E+001, 1.5013570E+002, 2.0171047E+002, 2.3441480E+002, 3.2851822E+002, 3.8244257E+002,-1.9512048E+001, 1.2395625E-019, 1.7627065E-016, 3.2405571E-014, 6.3302988E-010, 1.1836972E-009, 2.7069202E-019, 6.4589971E-016, 1.3571569E-013, 5.6980524E-009, 6.5035400E-009
 1.7500000E+000, 2.1671916E+001, 3.1468200E+000, 9.4000000E-001, 1.1368271E+003, 1.2457913E+003, 1.3154514E+003, 1.3069987E+003, 1.2128148E+003, 1.0502837E+003, 1.3318352E+002, 1.8833391E+002, 2.1413754E+002, 2.7145429E+002, 3.5646791E+002, 3.8846476E+002,-1.9018072E+001, 1.2395625E-019, 1.7627065E-016, 3.2405571E-014, 6.3302988E-010, 1.1836972E-009, 2.7069202E-019, 6.4589971E-016, 1.3571569E-013, 5.6980524E-009, 6.5035400E-009
 2.2500000E+000, 2.0181506E+001, 3.3079717E+000, 1.4200000E+000, 1.3055611E+003, 1.3123405E+003, 1.2989020E+003, 1.2388547E+003, 1.1360187E+003, 9.9253702E+002, 1.8362293E+002, 2.3521608E+002, 2.8494720E+002, 3.4104122E+002, 3.8491760E+002, 3.9084366E+002,-1.8524096E+001, 7.3992285E-020, 8.3033807E-015, 7.3063250E-013, 1.6790343E-008, 2.8186083E-008, 1.6566518E-019, 3.2971951E-014, 2.9703901E-012, 1.6354738E-007, 1.9173958E-007
 2.7500000E+000, 1.8739364E+001, 3.3890371E+000, 1.9000000E+000, 1.3034914E+003, 1.2008354E+003, 1.1551079E+003, 1.1056183E+003, 1.0272016E+003, 9.2741200E+002, 2.8588418E+002, 3.4637600E+002, 3.7597509E+002, 3.9427910E+002, 3.9247666E+002, 3.8703648E+002,-1.8030120E+001, 7.3992285E-020, 8.3033807E-015, 7.3063250E-013, 1.6790343E-008, 2.8186083E-008, 1.6566518E-019, 3.2971951E-014, 2.9703901E-012, 1.6354738E-007, 1.9173958E-007
 3.2500000E+000, 1.7354901E+001, 3.3514229E+000, 2.3800000E+000, 1.0713567E+003, 1.0107768E+003, 9.9753521E+002, 9.8352491E+002, 9.3070534E+002, 8.6352149E+002, 4.2129597E+002, 4.2036640E+002, 4.2350497E+002, 4.1820303E+002, 3.9105581E+002, 3.8075980E+002,-1.7536145E+001, 1.5900300E-019, 4.5496000E-013, 1.7061302E-011, 4.6643604E-007, 4.5467999E-007, 2.9040805E-019, 1.9310229E-012, 6.8981323E-011, 5.0616247E-006, 3.2373411E-006
 3.7500000E+000, 1.6055541E+001, 3.3488880E+000, 2.8600000E+000, 8.2751052E+002, 8.6251766E+002, 8.6954928E+002, 8.8500411E+002, 8.5187396E+002, 8.0686779E+002, 4.4497040E+002, 4.3794956E+002, 4.2608378E+002, 4.2010822E+002, 3.8371233E+002, 3.7280756E+002,-1.7042169E+001, 1.5900300E-019, 4.5496000E-013, 1.7061302E-011, 4.6643604E-007, 4.5467999E-007, 2.9040805E-019, 1.9310229E-012, 6.8981323E-011, 5.0616247E-006, 3.2373411E-006
 4.2500000E+000, 1.4817989E+001, 3.4202365E+000, 3.3400000E+000, 6.9192226E+002, 7.5651712E+002, 7.8572705E+002, 8.0556511E+002, 7.8932876E+002, 7.5697030E+002, 4.2720756E+002, 4.2501139E+002, 4.2364406E+002, 4.0960616E+002, 3.7795184E+002, 3.6481798E+002,-1.6548193E+001, 5.3328750E-018, 2.5585427E-011, 4.1179436E-010, 6.0508159E-006, 6.6271324E-006, 1.1370521E-017, 1.2612214E-010, 2.1281319E-009, 6.8455765E-005, 4.7236313E-005
