s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.0376500E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0376500E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0162524E-001, 2.6010328E+000,-5.4948253E-001, 1.8076965E-002,-2.8346616E-002,-8.5942646E-005, 0.0000000E+000, 0.0000000E+000, 1.9494692E+000, 2.0411946E+000, 1.6723619E-002, 7.9920965E-005,-6.3686794E-067,-1.3513156E-057
 1.0003293E+000, 6.7813960E+000,-1.9446884E+000,-6.2238857E-001,-8.6725332E-003,-1.5950323E-004, 0.0000000E+000, 0.0000000E+000, 3.9388314E+000, 4.2054869E+000, 4.4289195E-002, 2.0503334E-004,-3.3119803E-057,-3.8762411E-051
 1.5002886E+000, 1.1039531E+001,-3.0238769E+000,-5.9238908E+000,-2.1445883E-002,-2.0551421E-004, 0.0000000E+000, 0.0000000E+000, 1.8547863E+000, 2.0701123E+000, 5.9509849E-002, 2.7526344E-004,-2.0656230E-053,-3.0473449E-048
 2.0006132E+000, 1.3450525E+001,-3.6488033E+000,-9.7095675E+000,-2.8140827E-002,-2.2094660E-004, 0.0000000E+000, 0.0000000E+000,-2.0812505E-001, 6.3792226E-002, 6.6274344E-002, 3.0648533E-004,-2.5404368E-051,-1.3998487E-046
 2.5004067E+000, 1.4088460E+001,-3.8419131E+000,-9.2484205E+000,-1.9810377E-002,-2.2508876E-004, 0.0000000E+000, 0.0000000E+000, 6.7930439E-001, 9.7809101E-001, 6.8957056E-002, 3.1886708E-004,-5.4116130E-050,-1.6042631E-045
 3.0006177E+000, 1.4663104E+001,-4.0113201E+000,-9.9749712E+000,-2.3638238E-002,-2.2398816E-004, 0.0000000E+000, 0.0000000E+000, 3.3259401E-001, 6.5295013E-001, 6.9972409E-002, 3.2355332E-004,-4.3808844E-049,-8.3821365E-045
 3.5005066E+000, 1.4920394E+001,-4.1818368E+000,-9.0577168E+000,-1.9511341E-002,-2.1841389E-004, 0.0000000E+000, 0.0000000E+000, 1.2421190E+000, 1.6611104E+000, 7.0350019E-002, 3.2529631E-004,-1.8782279E-048,-2.5569952E-044
 4.0004911E+000, 1.4718283E+001,-3.9869882E+000,-1.0012676E+001,-1.9426519E-002,-2.2251180E-004, 0.0000000E+000, 0.0000000E+000, 3.0354001E-001, 6.9897044E-001, 7.0489454E-002, 3.2593979E-004,-5.1017073E-048,-5.2786046E-044
 4.5004473E+000, 1.5231905E+001,-4.1374105E+000,-1.0780172E+001,-2.1715415E-002,-2.2557150E-004, 0.0000000E+000, 0.0000000E+000,-1.0612201E-001, 2.9238228E-001, 7.0540834E-002, 3.2617692E-004,-1.0097430E-047,-8.2962057E-044
 5.0000663E+000, 1.4631854E+001,-3.9216267E+000,-1.0326260E+001,-2.1522416E-002,-2.2109029E-004, 0.0000000E+000, 0.0000000E+000,-3.8759961E-002, 3.6222370E-001, 7.0559743E-002, 3.2626419E-004,-1.5932299E-047,-1.0786934E-043
 5.5003252E+000, 1.4662957E+001,-4.0198662E+000,-9.9053094E+000,-2.7839637E-002,-2.2004408E-004, 0.0000000E+000, 0.0000000E+000, 2.8439180E-001, 7.0972174E-001, 7.0566704E-002, 3.2629631E-004,-2.0804483E-047,-1.1838800E-043
 6.0001631E+000, 1.5047587E+001,-4.1602414E+000,-1.0576867E+001,-2.3132089E-002,-2.2515149E-004, 0.0000000E+000, 0.0000000E+000,-1.6803313E-001, 2.8712188E-001, 7.0569266E-002, 3.2630813E-004,-2.3502159E-047,-1.1356940E-043
 6.5003510E+000, 1.4807789E+001,-4.1046513E+000,-1.0677196E+001,-2.1816269E-002,-2.2219783E-004, 0.0000000E+000, 0.0000000E+000,-2.7298916E-001, 3.9035348E-003, 7.0570208E-002, 3.2631248E-004,-2.4176253E-047,-9.9230528E-044
 7.0006766E+000, 1.4911390E+001,-3.9897841E+000,-9.1228480E+000,-1.6594891E-002,-2.2317616E-004, 0.0000000E+000, 0.0000000E+000, 1.2968231E+000, 1.7819396E+000, 7.0570555E-002, 3.2631408E-004,-2.3042217E-047,-7.9886757E-044
 7.5004725E+000, 1.4938237E+001,-3.8378158E+000,-9.1284210E+000,-2.1368487E-002,-2.2245755E-004, 0.0000000E+000, 0.0000000E+000, 1.3799455E+000, 1.9504088E+000, 7.0570683E-002, 3.2631467E-004,-2.0288039E-047,-5.9370319E-044
 8.0001411E+000, 1.5006753E+001,-4.2392934E+000,-1.1703649E+001,-3.4059461E-002,-2.2422995E-004, 0.0000000E+000, 0.0000000E+000,-1.4615015E+000,-9.7047278E-001, 7.0570729E-002, 3.2631489E-004,-1.7119808E-047,-4.1933251E-044
 8.5007181E+000, 1.4762965E+001,-4.0176479E+000,-1.1015540E+001,-2.0777291E-002,-2.2289635E-004, 0.0000000E+000, 0.0000000E+000,-6.2418283E-001,-2.9122312E-001, 7.0570747E-002, 3.2631497E-004,-1.3868348E-047,-2.8296411E-044
 9.0003538E+000, 1.4599252E+001,-3.9276040E+000,-9.9494690E+000,-1.8381607E-002,-2.2303424E-004, 0.0000000E+000, 0.0000000E+000, 2.9241626E-001, 7.0357481E-001, 7.0570753E-002, 3.2631500E-004,-1.0767420E-047,-1.8178145E-044
 9.5000076E+000, 1.5073282E+001,-4.0744429E+000,-1.0263278E+001,-2.1850896E-002,-2.2176167E-004, 0.0000000E+000, 0.0000000E+000, 3.1148242E-001, 7.1348865E-001, 7.0570755E-002, 3.2631501E-004,-8.1802399E-048,-1.1228424E-044
 1.0000168E+001, 1.4856149E+001,-4.0189327E+000,-1.0058425E+001,-1.8292308E-002,-2.2114481E-004, 0.0000000E+000, 0.0000000E+000, 3.5793212E-001, 7.6027788E-001, 7.0570756E-002, 3.2631501E-004,-6.2257579E-048,-6.7424336E-045
 1.0500614E+001, 1.4933361E+001,-4.0110164E+000,-1.0957581E+001,-2.7344519E-002,-2.2558283E-004, 0.0000000E+000, 0.0000000E+000,-4.3149602E-001,-6.2806087E-002, 7.0570757E-002, 3.2631501E-004,-4.8934251E-048,-3.9889332E-045
 1.1000894E+001, 1.4650477E+001,-3.9014665E+000,-9.9794978E+000,-2.0523789E-002,-2.2220785E-004, 0.0000000E+000, 0.0000000E+000, 2.7502316E-001, 7.4876635E-001, 7.0570757E-002, 3.2631501E-004,-3.9632137E-048,-2.3363758E-045
 1.1500238E+001, 1.4860551E+001,-4.1458836E+000,-1.0868195E+001,-2.0392801E-002,-2.2566920E-004, 0.0000000E+000, 0.0000000E+000,-5.4197489E-001,-1.7414614E-001, 7.0570757E-002, 3.2631501E-004,-3.3097011E-048,-1.3699995E-045
 1.2000669E+001, 1.5104179E+001,-4.0150380E+000,-9.8169494E+000,-2.0940265E-002,-2.2085932E-004, 0.0000000E+000, 0.0000000E+000, 8.2446804E-001, 1.2510301E+000, 7.0570757E-002, 3.2631501E-004,-2.8612990E-048,-8.2099347E-046
 1.2500593E+001, 1.4650444E+001,-3.9822495E+000,-1.0187262E+001,-2.0328153E-002,-2.2275569E-004, 0.0000000E+000, 0.0000000E+000, 3.6108232E-002, 4.6038108E-001, 7.0570757E-002, 3.2631501E-004,-2.5362922E-048,-5.1122255E-046
 1.3000247E+001, 1.5080145E+001,-4.1360220E+000,-1.0237844E+001,-1.8796703E-002,-2.2385817E-004, 0.0000000E+000, 0.0000000E+000, 2.8525340E-001, 6.8725900E-001, 7.0570757E-002, 3.2631501E-004,-2.3442258E-048,-3.4413516E-046
 1.3500099E+001, 1.4839178E+001,-4.0358032E+000,-9.9449951E+000,-2.8734961E-002,-2.2171307E-004, 0.0000000E+000, 0.0000000E+000, 4.0013254E-001, 8.2942303E-001, 7.0570757E-002, 3.2631501E-004,-2.2603124E-048,-2.5858097E-046
 1.4000617E+001, 1.4808686E+001,-4.0217371E+000,-1.1364106E+001,-3.4030881E-002,-2.2096349E-004, 0.0000000E+000, 0.0000000E+000,-9.1873215E-001,-6.1140889E-001, 7.0570757E-002, 3.2631501E-004,-2.2454399E-048,-2.1699708E-046
 1.4500421E+001, 1.4782719E+001,-3.9927197E+000,-1.0604761E+001,-2.2490288E-002,-2.1634797E-004, 0.0000000E+000, 0.0000000E+000,-2.3301938E-001, 1.6253125E-001, 7.0570757E-002, 3.2631501E-004,-2.2750993E-048,-1.9975868E-046
 1.5001083E+001, 1.4941540E+001,-4.0045279E+000,-9.9922902E+000,-1.9994557E-002,-2.1588134E-004, 0.0000000E+000, 0.0000000E+000, 4.4100455E-001, 9.2451190E-001, 7.0570757E-002, 3.2631501E-004,-2.2857555E-048,-1.9273673E-046
 1.5500820E+001, 1.4797844E+001,-3.9374883E+000,-9.6302834E+000,-2.1095808E-002,-2.1498686E-004, 0.0000000E+000, 0.0000000E+000, 6.9953847E-001, 1.2087616E+000, 7.0570757E-002, 3.2631501E-004,-2.2704318E-048,-3.1957552E-046
 1.6000093E+001, 1.4965008E+001,-4.0514596E+000,-1.0758303E+001,-2.7904890E-002,-2.2082737E-004, 0.0000000E+000, 0.0000000E+000,-3.3031667E-001, 1.2711894E-001, 7.0570757E-002, 3.2631501E-004,-2.3214459E-048,-1.0529115E-044
 1.6500071E+001, 1.4923956E+001,-4.0580422E+000,-1.0776017E+001,-2.2724621E-002,-2.2618446E-004, 0.0000000E+000, 0.0000000E+000,-4.0653548E-001, 6.6945967E-002, 7.0570757E-002, 3.2631501E-004,-2.1454927E-047,-1.1814903E-042
 1.7000690E+001, 1.4686274E+001,-4.0019840E+000,-9.9146015E+000,-2.2252451E-002,-2.2484123E-004, 0.0000000E+000, 0.0000000E+000, 3.0644645E-001, 7.4721070E-001, 7.0570757E-002, 3.2631501E-004,-4.1478028E-045,-1.1895863E-040
 1.7500818E+001, 1.5293171E+001,-4.1504429E+000,-1.0970861E+001,-2.3231145E-002,-2.2401565E-004, 0.0000000E+000, 0.0000000E+000,-2.1648869E-001, 1.4841233E-001, 7.0570757E-002, 3.2631501E-004,-5.3868619E-043,-7.3705507E-039
 1.8000401E+001, 1.4688443E+001,-3.8861063E+000,-1.0171335E+001,-2.2636214E-002,-2.2388771E-004, 0.0000000E+000, 0.0000000E+000, 1.1340426E-001, 6.0814186E-001, 7.0570757E-002, 3.2631501E-004,-6.2614480E-041,-3.5224617E-037
