cm,kW,kW,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 9.3750000E-001, 6.7565938E+000, 3.3101479E-001,-5.0000000E-001, 1.3799215E+003, 1.3988874E+003, 1.3960312E+003, 1.2358968E+003, 9.8355548E+002, 7.8835076E+002, 3.2443052E+001, 5.8340877E+001, 1.4660622E+002, 2.4782211E+002, 2.6460692E+002, 2.2135769E+002,-2.0500000E+001, 1.4322976E-008, 2.7899073E-008, 1.1959794E-007, 4.5914780E-006, 2.6071227E-005, 5.3933968E-009, 1.2878595E-008, 1.5470229E-007, 5.6580298E-006, 1.5957225E-005
 2.8125000E+000, 8.5056016E+000, 4.4757056E-001, 1.5000000E+000, 1.3843795E+003, 1.4048468E+003, 1.3809068E+003, 1.2018050E+003, 9.7695721E+002, 7.9893911E+002, 3.2833570E+001, 5.4931787E+001, 1.5500417E+002, 2.6770869E+002, 2.7589566E+002, 2.3437053E+002,-1.8450000E+001, 7.5449089E-007, 1.2728544E-006, 6.9939916E-006, 1.7327827E-004, 7.5338215E-004, 2.8159787E-007, 8.0967918E-007, 1.0993399E-005, 2.3874918E-004, 7.1497548E-004
 4.6875000E+000, 1.0102648E+001, 6.7980376E-001, 3.5000000E+000, 1.3792061E+003, 1.1678054E+003, 1.0023352E+003, 8.7039471E+002, 7.6484404E+002, 6.8648501E+002, 1.7442251E+002, 2.3325000E+002, 2.6119816E+002, 2.6448447E+002, 2.4535816E+002, 2.0298930E+002,-1.6400000E+001, 7.5449089E-007, 1.2728544E-006, 6.9939916E-006, 1.7327827E-004, 7.5338215E-004, 2.8159787E-007, 8.0967918E-007, 1.0993399E-005, 2.3874918E-004, 7.1497548E-004
 6.5625000E+000, 1.1368445E+001, 9.2617189E-001, 5.5000000E+000, 6.6964301E+002, 6.2892218E+002, 6.2423388E+002, 6.1099205E+002, 5.8488589E+002, 5.6308282E+002, 1.7608329E+002, 1.7684989E+002, 1.9379053E+002, 1.8509161E+002, 1.7255992E+002, 1.5389412E+002,-1.4350000E+001, 1.7710937E-005, 3.5011375E-005, 2.7505250E-004, 2.4243609E-003, 8.9572956E-003, 5.4691880E-006, 5.5790569E-005, 5.0336908E-004, 2.3912473E-003, 7.9496651E-003
 8.4375000E+000, 1.1869456E+001, 1.0744353E+000, 7.5000000E+000, 4.0247618E+002, 4.2976649E+002, 4.4839779E+002, 4.6365630E+002, 4.6618529E+002, 4.6637791E+002, 9.6034320E+001, 1.1093967E+002, 1.1750551E+002, 1.2972959E+002, 1.2523927E+002, 1.1625836E+002,-1.2300000E+001, 1.7710937E-005, 3.5011375E-005, 2.7505250E-004, 2.4243609E-003, 8.9572956E-003, 5.4691880E-006, 5.5790569E-005, 5.0336908E-004, 2.3912473E-003, 7.9496651E-003
 1.0312500E+001, 1.1707883E+001, 1.2298945E+000, 9.5000000E+000, 3.1983081E+002, 3.3982134E+002, 3.5522823E+002, 3.7400571E+002, 3.8776957E+002, 3.9204373E+002, 4.3749298E+001, 6.3194543E+001, 6.5900661E+001, 8.0778681E+001, 8.8444212E+001, 8.3583697E+001,-1.0250000E+001, 4.0921413E-004, 1.8404053E-003, 6.7205893E-003, 1.7043439E-002, 2.9917005E-002, 1.3603089E-004, 5.2074585E-003, 1.3377683E-002, 2.0127809E-002, 2.5603120E-002
 1.2187500E+001, 1.1074332E+001, 1.3630497E+000, 1.1500000E+001, 3.0058268E+002, 3.0778725E+002, 3.1257635E+002, 3.2233578E+002, 3.3150670E+002, 3.3437987E+002, 2.1167801E+001, 3.4898728E+001, 3.1725893E+001, 4.0340206E+001, 5.0012680E+001, 4.6595142E+001,-8.2000000E+000, 6.4748515E-003, 1.1377677E-002, 2.3090641E-002, 4.3249688E-002, 5.3660446E-002, 2.6341520E-003, 1.6913757E-002, 2.3582607E-002, 3.3548909E-002, 3.3869147E-002
 1.4062500E+001, 1.0251037E+001, 1.4171132E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1500000E+000, 4.9708912E-002, 5.8265362E-002, 6.8468003E-002, 8.5021724E-002, 8.2209795E-002, 1.7224431E-002, 3.4193040E-002, 3.7891372E-002, 4.5117109E-002, 3.8008910E-002
 1.5937500E+001, 9.3982727E+000, 1.3752766E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1000000E+000, 2.6905071E-001, 1.8584856E-001, 1.6341387E-001, 1.4364666E-001, 1.1375922E-001, 5.2079863E-002, 6.3501755E-002, 6.5280737E-002, 6.4397063E-002, 4.4194113E-002
