cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 1.0500000E+001, 7.0373220E+000, 1.4459178E+000, 9.5000000E+000, 2.9548731E+002, 2.9609014E+002, 2.9918964E+002, 3.1479238E+002, 3.5186285E+002, 4.0117188E+002, 1.1069090E+000, 2.9128610E+000, 1.3365832E+001, 5.3465458E+001, 1.2777886E+002, 1.8323396E+002,-1.0500000E+001, 2.5987722E-005, 2.7974067E-005, 3.9025564E-005, 6.1013007E-003, 2.4380870E-002, 9.8535629E-005, 8.8012673E-005, 2.0329533E-004, 2.3826817E-002, 3.6734885E-002
 1.1500000E+001, 6.6283259E+000, 1.5427361E+000, 1.0500000E+001, 2.9498584E+002, 2.9525067E+002, 2.9621572E+002, 3.0302102E+002, 3.2735222E+002, 3.6652986E+002, 6.6767557E-002, 2.5051333E-001, 4.4244473E+000, 3.2874805E+001, 8.9150629E+001, 1.4873750E+002,-9.5000000E+000, 5.9884751E-004, 3.9451971E-004, 4.8775379E-004, 1.5562944E-002, 3.8900022E-002, 2.1050600E-003, 1.2798126E-003, 1.7704957E-003, 3.6788944E-002, 4.8591531E-002
 1.2500000E+001, 6.2922342E+000, 1.6180671E+000, 1.1500000E+001, 2.9483925E+002, 2.9508472E+002, 2.9539198E+002, 2.9799374E+002, 3.0918224E+002, 3.3560834E+002, 3.0363404E-002, 3.4244055E-002, 6.5801199E-001, 1.6610547E+001, 4.9610952E+001, 9.3507385E+001,-8.5000000E+000, 5.3355987E-003, 2.7548438E-003, 3.5872801E-003, 3.3151478E-002, 5.6287037E-002, 9.0779378E-003, 6.9860926E-003, 8.4038770E-003, 6.0377931E-002, 6.4600195E-002
 1.3500000E+001, 6.0190853E+000, 1.6620720E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.5000000E+000, 2.5604821E-002, 1.0888085E-002, 1.5141963E-002, 5.7611345E-002, 7.7708689E-002, 2.1246741E-002, 1.7182159E-002, 2.3943913E-002, 9.9509533E-002, 8.9942937E-002
 1.4500000E+001, 5.8017693E+000, 1.6840343E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.5000000E+000, 3.8822378E-002, 2.6508698E-002, 3.7315704E-002, 8.8985537E-002, 1.0544095E-001, 2.5317575E-002, 2.9801769E-002, 4.3768078E-002, 1.4650428E-001, 1.3223789E-001
 1.5500000E+001, 5.6244481E+000, 1.7018023E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.5000000E+000, 7.6448635E-002, 5.2462815E-002, 6.5726897E-002, 1.3991633E-001, 1.4043957E-001, 3.7044255E-002, 4.3020458E-002, 6.5270789E-002, 2.2246226E-001, 1.9517977E-001
 1.6500000E+001, 5.4826473E+000, 1.7340751E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.5000000E+000, 1.5601877E-001, 9.0027869E-002, 1.1747727E-001, 2.3179174E-001, 1.7691246E-001, 5.5335632E-002, 6.1167872E-002, 1.3008675E-001, 3.5263361E-001, 2.5275821E-001
 1.7500000E+001, 5.3632973E+000, 1.7964034E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.5000000E+000, 4.6851010E-001, 2.1096803E-001, 2.5188705E-001, 3.7884229E-001, 2.1842785E-001, 1.9934316E-001, 1.3690867E-001, 3.1365263E-001, 5.1915019E-001, 3.0626573E-001
 1.8500000E+001, 5.2688652E+000, 1.8980503E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.5000000E+000, 1.7975464E+000, 7.9614229E-001, 6.5743440E-001, 5.7266065E-001, 2.7176150E-001, 2.6410506E-001, 6.4572606E-001, 6.5862211E-001, 6.4628041E-001, 3.6311246E-001
 1.9500000E+001, 5.1974730E+000, 2.0264628E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.5000000E+000, 2.4821977E+000, 1.9558588E+000, 1.5316977E+000, 8.1840151E-001, 3.1231051E-001, 9.2464210E-002, 4.4969567E-001, 7.4573169E-001, 7.2555024E-001, 3.7973696E-001
 2.0500000E+001, 5.1451901E+000, 2.1735106E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.0000000E-001, 2.5731510E+000, 2.4549340E+000, 2.1517738E+000, 1.0719187E+000, 3.4661640E-001, 2.3946665E-002, 1.4106176E-001, 3.7229151E-001, 7.2132036E-001, 4.0972350E-001
 2.1500000E+001, 5.1077802E+000, 2.3335331E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 5.0000000E-001, 2.5530755E+000, 2.4354531E+000, 2.1837822E+000, 1.1611163E+000, 3.4797278E-001, 2.1961963E-002, 1.4688866E-001, 3.0319580E-001, 6.9196889E-001, 4.0604465E-001
 2.2500000E+001, 5.0895509E+000, 2.5053902E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.5000000E+000, 2.4497562E+000, 1.9973054E+000, 1.6971521E+000, 9.6196686E-001, 3.3725964E-001, 8.6255065E-002, 3.4842429E-001, 5.3003839E-001, 7.0383893E-001, 3.9677407E-001
 2.3500000E+001, 5.0749509E+000, 2.6654790E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.5000000E+000, 1.9004528E+000, 9.4360354E-001, 6.7216481E-001, 6.4045791E-001, 2.9944434E-001, 2.6378736E-001, 6.5397479E-001, 6.0171569E-001, 6.3710899E-001, 3.6232555E-001
 2.4500000E+001, 5.0838936E+000, 2.8599940E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.5000000E+000, 6.2923378E-001, 2.2165166E-001, 2.0897355E-001, 3.9220432E-001, 2.4891767E-001, 3.8005139E-001, 1.4642818E-001, 1.6933910E-001, 4.9234696E-001, 3.1697265E-001
 2.5500000E+001, 5.1164025E+000, 3.0863645E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.5000000E+000, 1.6750189E-001, 8.8732304E-002, 9.8676003E-002, 2.3073163E-001, 2.0314741E-001, 6.9501228E-002, 5.6215796E-002, 6.4268805E-002, 3.1848329E-001, 2.6785484E-001
 2.6500000E+001, 5.1687067E+000, 3.3399348E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 5.5000000E+000, 7.4971330E-002, 5.6569280E-002, 5.4337534E-002, 1.3156825E-001, 1.6739326E-001, 4.0450967E-002, 4.6827376E-002, 4.0035031E-002, 1.5835909E-001, 2.4779621E-001
 2.7500000E+001, 5.2240607E+000, 3.6016290E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 6.5000000E+000, 4.2888021E-002, 3.3028470E-002, 2.8633276E-002, 7.6889070E-002, 1.3171885E-001, 2.9754345E-002, 3.6334453E-002, 2.8857807E-002, 8.1776382E-002, 2.1023158E-001
 2.8500000E+001, 5.2777299E+000, 3.8707704E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 7.5000000E+000, 1.6152303E-002, 1.4519630E-002, 1.2434428E-002, 4.4654049E-002, 1.0350409E-001, 1.6005996E-002, 2.2347061E-002, 2.0460722E-002, 5.4453202E-002, 1.8193066E-001
 2.9500000E+001, 5.3227601E+000, 4.1530557E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.5000000E+000, 2.0723094E-003, 3.1508015E-003, 3.9783446E-003, 2.4283756E-002, 8.0200837E-002, 3.2852264E-003, 7.0187210E-003, 1.0479725E-002, 3.7258392E-002, 1.7008225E-001
 3.0500000E+001, 5.3684716E+000, 4.4644006E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.5000000E+000, 1.5850264E-004, 2.9126303E-004, 5.5182974E-004, 1.1213007E-002, 6.0191270E-002, 2.1042118E-004, 7.7786427E-004, 2.0399590E-003, 2.4566025E-002, 1.5221249E-001
 3.1500000E+001, 5.4085595E+000, 4.7956896E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.0500000E+001, 7.2943516E-006, 1.3542511E-005, 3.6340179E-005, 4.4604630E-003, 4.1532832E-002, 6.0919903E-006, 3.2687847E-005, 1.7843984E-004, 1.5572087E-002, 1.1433635E-001
 3.2500000E+001, 5.4548616E+000, 5.1538846E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.1500000E+001, 4.6508958E-007, 5.0087574E-007, 1.0367042E-006, 1.6279105E-003, 2.4364919E-002, 2.2743671E-007, 9.0969313E-007, 5.0600496E-006, 9.0728164E-003, 5.5166506E-002
 3.3500000E+001, 5.5045574E+000, 5.5321100E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2500000E+001, 2.0647864E-008, 4.6872153E-009, 4.7225938E-009, 2.3205169E-004, 1.2469914E-002, 6.7619947E-009, 6.2535465E-009, 7.4335945E-009, 1.7794476E-003, 2.5759702E-002
 3.4500000E+001, 5.5641672E+000, 5.9257346E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3500000E+001, 2.0647864E-008, 4.6872153E-009, 4.7225938E-009, 2.3205169E-004, 1.2469914E-002, 6.7619947E-009, 6.2535465E-009, 7.4335945E-009, 1.7794476E-003, 2.5759702E-002
 3.5500000E+001, 5.6219335E+000, 6.3029594E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4500000E+001, 6.6542330E-010, 1.7508135E-010, 9.9433696E-011, 1.0964648E-005, 2.3226668E-003, 2.1606129E-010, 1.3379258E-010, 9.8623793E-011, 8.3950103E-005, 6.3737823E-003
 3.6500000E+001, 5.6561161E+000, 6.6394910E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.5500000E+001, 6.6542330E-010, 1.7508135E-010, 9.9433696E-011, 1.0964648E-005, 2.3226668E-003, 2.1606129E-010, 1.3379258E-010, 9.8623793E-011, 8.3950103E-005, 6.3737823E-003
 3.7500000E+001, 5.6777859E+000, 6.9472115E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.6500000E+001, 9.2712120E-012, 6.7883011E-012, 2.8769543E-012, 1.7425257E-007, 1.8064374E-004, 3.1696902E-012, 3.9296466E-012, 2.1331213E-012, 1.1333966E-006, 8.7785959E-004
 3.8500000E+001, 5.6744752E+000, 7.2057062E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.7500000E+001, 9.2712120E-012, 6.7883011E-012, 2.8769543E-012, 1.7425257E-007, 1.8064374E-004, 3.1696902E-012, 3.9296466E-012, 2.1331213E-012, 1.1333966E-006, 8.7785959E-004
 3.9500000E+001, 5.6424304E+000, 7.4287625E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.8500000E+001, 8.9041770E-014, 1.8489458E-013, 9.3211511E-014, 1.4283987E-009, 8.6181516E-006, 3.1362235E-014, 9.6172772E-014, 6.2946941E-014, 7.5025515E-009, 5.7285774E-005
 4.0500000E+001, 5.5803949E+000, 7.6375952E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9500000E+001, 8.9041770E-014, 1.8489458E-013, 9.3211511E-014, 1.4283987E-009, 8.6181516E-006, 3.1362235E-014, 9.6172772E-014, 6.2946941E-014, 7.5025515E-009, 5.7285774E-005
 4.1500000E+001, 5.4861419E+000, 7.7759463E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0500000E+001, 9.6363307E-016, 3.2850125E-015, 2.3639211E-015, 1.0841155E-011, 2.6368005E-007, 2.4998203E-016, 1.8578231E-015, 1.4752736E-015, 4.6438084E-011, 1.9177243E-006
 4.2500000E+001, 5.3582246E+000, 7.8154832E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.3500000E+001, 5.1963335E+000, 7.7845725E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.4500000E+001, 5.0078158E+000, 7.6869006E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.5500000E+001, 4.7778635E+000, 7.4933399E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.6500000E+001, 4.5351198E+000, 7.2776225E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.7500000E+001, 4.2917731E+000, 7.0642294E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.8500000E+001, 4.0544833E+000, 6.8684545E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.9500000E+001, 3.8145336E+000, 6.6690774E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.0500000E+001, 3.5843615E+000, 6.4783165E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.1500000E+001, 3.3520663E+000, 6.2569314E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.2500000E+001, 3.1328970E+000, 6.0600285E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.3500000E+001, 2.8964730E+000, 5.7944531E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.4500000E+001, 2.6698030E+000, 5.5500813E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.5500000E+001, 2.4629779E+000, 5.3349497E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.6500000E+001, 2.2713709E+000, 5.0995999E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.7500000E+001, 2.0931082E+000, 4.8341860E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.8500000E+001, 1.9294011E+000, 4.5876270E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.9500000E+001, 1.7773826E+000, 4.3753688E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.0500000E+001, 1.6437139E+000, 4.2080569E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.1500000E+001, 1.5228480E+000, 4.0554638E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.2500000E+001, 1.4056452E+000, 3.8967651E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.3500000E+001, 1.2958677E+000, 3.7395158E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.4500000E+001, 1.1913038E+000, 3.5785070E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.5500000E+001, 1.0907005E+000, 3.3982003E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.6500000E+001, 9.9681169E-001, 3.2186390E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.7500000E+001, 9.0741056E-001, 3.0213872E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.8500000E+001, 8.1934365E-001, 2.7936875E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.9500000E+001, 7.3609193E-001, 2.5676644E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.0500000E+001, 6.6195969E-001, 2.3685353E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.1500000E+001, 5.9271339E-001, 2.1823223E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.2500000E+001, 5.3147331E-001, 2.0183116E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.3500000E+001, 4.7608334E-001, 1.8542909E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.4500000E+001, 4.2717741E-001, 1.6854404E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.5500000E+001, 3.8107812E-001, 1.4989329E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
