cm,kW,kW,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 9.3750000E-001, 3.3599108E+000, 3.0673763E-001,-5.0000000E-001, 1.3273830E+003, 1.3527579E+003, 1.3564791E+003, 1.2531834E+003, 1.0467044E+003, 8.3700480E+002, 4.2535771E+001, 4.3162012E+001, 1.0079596E+002, 2.2313730E+002, 2.7750314E+002, 2.4288446E+002,-2.0500000E+001, 2.1139844E-008, 4.5662286E-008, 2.0977031E-007, 4.6101763E-006, 1.4077291E-004, 9.9398742E-009, 2.0013947E-008, 1.7681049E-007, 7.2590493E-006, 3.8175710E-004
 2.8125000E+000, 5.1833979E+000, 4.4594766E-001, 1.5000000E+000, 1.3252669E+003, 1.3508487E+003, 1.3470059E+003, 1.2529997E+003, 1.0228861E+003, 8.0457391E+002, 3.9947173E+001, 4.5339855E+001, 1.3156084E+002, 2.2509648E+002, 2.6287238E+002, 2.3241959E+002,-1.8450000E+001, 9.2710175E-007, 2.1619733E-006, 1.0303774E-005, 2.1154214E-004, 2.2298585E-003, 4.1612809E-007, 1.2182787E-006, 9.3429860E-006, 3.4554528E-004, 4.5856584E-003
 4.6875000E+000, 6.9759962E+000, 6.0180859E-001, 3.5000000E+000, 1.3838598E+003, 1.2102728E+003, 1.0476755E+003, 9.1570962E+002, 7.8963465E+002, 6.8128752E+002, 1.4724055E+002, 2.2907652E+002, 2.6288334E+002, 2.7443706E+002, 2.6011688E+002, 2.1247152E+002,-1.6400000E+001, 9.2710175E-007, 2.1619733E-006, 1.0303774E-005, 2.1154214E-004, 2.2298585E-003, 4.1612809E-007, 1.2182787E-006, 9.3429860E-006, 3.4554528E-004, 4.5856584E-003
 6.5625000E+000, 8.4710824E+000, 7.7223724E-001, 5.5000000E+000, 6.9197943E+002, 6.4281906E+002, 6.2994988E+002, 6.2293521E+002, 6.0431930E+002, 5.7242208E+002, 1.7360705E+002, 1.8720469E+002, 2.0629597E+002, 2.1244947E+002, 2.0517092E+002, 1.8142915E+002,-1.4350000E+001, 2.3129935E-005, 6.1818232E-005, 3.6068662E-004, 3.9084218E-003, 1.2368046E-002, 1.0585811E-005, 7.4366359E-005, 5.2533546E-004, 6.0697131E-003, 1.3928325E-002
 8.4375000E+000, 9.3645878E+000, 9.3736279E-001, 7.5000000E+000, 3.9551129E+002, 4.2911417E+002, 4.4933171E+002, 4.6053617E+002, 4.7338924E+002, 4.7775069E+002, 8.7565136E+001, 1.2288753E+002, 1.3727058E+002, 1.3944169E+002, 1.4523527E+002, 1.3888294E+002,-1.2300000E+001, 2.3129935E-005, 6.1818232E-005, 3.6068662E-004, 3.9084218E-003, 1.2368046E-002, 1.0585811E-005, 7.4366359E-005, 5.2533546E-004, 6.0697131E-003, 1.3928325E-002
 1.0312500E+001, 9.7391933E+000, 1.1095610E+000, 9.5000000E+000, 3.1289315E+002, 3.4003556E+002, 3.6033741E+002, 3.7351121E+002, 3.9017273E+002, 4.0073462E+002, 2.6943245E+001, 6.8383576E+001, 8.6281259E+001, 8.6811850E+001, 9.8836690E+001, 9.7567215E+001,-1.0250000E+001, 5.7249510E-004, 2.0159716E-003, 6.2296187E-003, 1.7048114E-002, 3.1251748E-002, 2.3286536E-004, 4.6886465E-003, 1.0687743E-002, 1.8774697E-002, 2.6616223E-002
 1.2187500E+001, 9.6056157E+000, 1.2285480E+000, 1.1500000E+001, 2.9714801E+002, 3.0591952E+002, 3.1635340E+002, 3.2550449E+002, 3.3527343E+002, 3.4346958E+002, 5.2233442E+000, 2.6452059E+001, 4.3307334E+001, 4.5294016E+001, 5.5677157E+001, 6.2585912E+001,-8.2000000E+000, 8.5914816E-003, 1.3460763E-002, 2.5898592E-002, 4.4369707E-002, 5.3661437E-002, 3.3980457E-003, 1.7137363E-002, 2.5519959E-002, 3.2873566E-002, 3.3516029E-002
 1.4062500E+001, 9.1959333E+000, 1.3107971E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1500000E+000, 5.4661889E-002, 6.3817099E-002, 7.1768530E-002, 8.3860791E-002, 8.3352406E-002, 2.0000448E-002, 4.0611141E-002, 4.1755238E-002, 4.6920410E-002, 3.9170851E-002
 1.5937500E+001, 8.6145942E+000, 1.3214652E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1000000E+000, 2.8537599E-001, 2.1485475E-001, 1.7676744E-001, 1.4583232E-001, 1.1616068E-001, 5.0419572E-002, 8.0538033E-002, 7.6574414E-002, 6.9015171E-002, 4.6804857E-002
