cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 2.1964728E+001, 2.5620142E+000,-5.0000000E-001, 1.2630305E+003, 1.2744059E+003, 1.1595458E+003, 9.9793322E+002, 8.7396441E+002, 7.3947626E+002, 2.8766635E+002, 3.7200284E+002, 4.3727005E+002, 4.4381138E+002, 4.0926971E+002, 3.4655249E+002,-2.0500000E+001, 3.4662495E-028, 2.3530319E-022, 1.3400628E-017, 8.1430592E-010, 8.2194407E-008, 2.3643466E-028, 4.9501414E-022, 6.5377478E-017, 8.7698320E-009, 7.8314852E-007
 9.9696970E-001, 2.1964728E+001, 2.5620142E+000,-2.0000000E-002, 1.2630305E+003, 1.2744059E+003, 1.1595458E+003, 9.9793322E+002, 8.7396441E+002, 7.3947626E+002, 2.8766635E+002, 3.7200284E+002, 4.3727005E+002, 4.4381138E+002, 4.0926971E+002, 3.4655249E+002,-2.0006024E+001, 3.4662495E-028, 2.3530319E-022, 1.3400628E-017, 8.1430592E-010, 8.2194407E-008, 2.3643466E-028, 4.9501414E-022, 6.5377478E-017, 8.7698320E-009, 7.8314852E-007
 1.4939394E+000, 2.1475421E+001, 1.8412158E+000, 4.6000000E-001, 1.2463851E+003, 1.2705290E+003, 1.1560352E+003, 1.0018384E+003, 8.8557515E+002, 7.4578687E+002, 2.8055038E+002, 3.6894002E+002, 4.3671935E+002, 4.4784952E+002, 4.1504966E+002, 3.4729072E+002,-1.9512048E+001, 1.4004881E-026, 1.4372874E-020, 7.2236736E-016, 3.7132284E-008, 1.2514110E-006, 8.5208088E-027, 3.4052814E-020, 3.8523197E-015, 4.1064548E-007, 1.0701278E-005
 1.9909091E+000, 2.1405934E+001, 2.3087803E+000, 9.4000000E-001, 1.2469080E+003, 1.2505189E+003, 1.1390829E+003, 9.9326103E+002, 8.8459749E+002, 7.4917048E+002, 2.8929311E+002, 3.8441050E+002, 4.4183743E+002, 4.4778413E+002, 4.2226990E+002, 3.4842903E+002,-1.9018072E+001, 1.4004881E-026, 1.4372874E-020, 7.2236736E-016, 3.7132284E-008, 1.2514110E-006, 8.5208088E-027, 3.4052814E-020, 3.8523197E-015, 4.1064548E-007, 1.0701278E-005
 2.4878788E+000, 1.9840579E+001, 2.8489874E+000, 1.4200000E+000, 1.2691129E+003, 1.2321038E+003, 1.1248641E+003, 9.8341998E+002, 8.7539996E+002, 7.4465199E+002, 3.1697420E+002, 4.0770345E+002, 4.5484169E+002, 4.4736846E+002, 4.2797521E+002, 3.4756673E+002,-1.8524096E+001, 5.7260496E-025, 8.8424188E-019, 7.4497513E-014, 1.1929746E-006, 2.0462784E-005, 3.0688993E-025, 2.4016215E-018, 4.3745642E-013, 1.3201331E-005, 1.3791653E-004
 2.9848485E+000, 1.7544028E+001, 2.8673436E+000, 1.9000000E+000, 1.2596489E+003, 1.1953891E+003, 1.0979828E+003, 9.5867386E+002, 8.5514750E+002, 7.3151472E+002, 3.5761460E+002, 4.2565938E+002, 4.6245648E+002, 4.4857487E+002, 4.2113646E+002, 3.4439030E+002,-1.8030120E+001, 5.7260496E-025, 8.8424188E-019, 7.4497513E-014, 1.1929746E-006, 2.0462784E-005, 3.0688993E-025, 2.4016215E-018, 4.3745642E-013, 1.3201331E-005, 1.3791653E-004
 3.4818182E+000, 1.5396440E+001, 2.7666301E+000, 2.3800000E+000, 1.1938780E+003, 1.1407547E+003, 1.0586566E+003, 9.1684230E+002, 8.2526837E+002, 7.0980391E+002, 4.0980686E+002, 4.4327802E+002, 4.7050853E+002, 4.4758276E+002, 4.1117356E+002, 3.3299343E+002,-1.7536145E+001, 2.2811829E-023, 5.7764582E-017, 7.4783872E-012, 2.3390956E-005, 2.3012515E-004, 1.0630641E-023, 1.9539770E-016, 4.9205853E-011, 2.5431204E-004, 1.1308905E-003
 3.9787879E+000, 1.3606169E+001, 2.6846934E+000, 2.8600000E+000, 1.0925512E+003, 1.0811164E+003, 1.0045824E+003, 8.7760640E+002, 7.8975015E+002, 6.8487703E+002, 4.4324099E+002, 4.6463910E+002, 4.7615225E+002, 4.4594687E+002, 3.9965574E+002, 3.2246689E+002,-1.7042169E+001, 2.2811829E-023, 5.7764582E-017, 7.4783872E-012, 2.3390956E-005, 2.3012515E-004, 1.0630641E-023, 1.9539770E-016, 4.9205853E-011, 2.5431204E-004, 1.1308905E-003
 4.4757576E+000, 1.2176745E+001, 2.6188005E+000, 3.3400000E+000, 9.7596248E+002, 9.9748586E+002, 9.4412909E+002, 8.3593412E+002, 7.5491161E+002, 6.6146307E+002, 4.5401513E+002, 4.7954438E+002, 4.7453875E+002, 4.3556034E+002, 3.9042945E+002, 3.1539461E+002,-1.6548193E+001, 8.8193034E-022, 5.5887635E-015, 6.3826028E-010, 2.7729371E-004, 1.6842689E-003, 3.3355874E-022, 3.0140185E-014, 4.5086890E-009, 2.7918563E-003, 7.0718943E-003
 4.9727273E+000, 1.1046166E+001, 2.5986595E+000, 3.8200000E+000, 8.9474927E+002, 9.2936175E+002, 8.8219746E+002, 7.9876262E+002, 7.2617993E+002, 6.3704514E+002, 4.7754888E+002, 4.8753565E+002, 4.6758231E+002, 4.3032506E+002, 3.7998506E+002, 3.0512932E+002,-1.6054217E+001, 8.8193034E-022, 5.5887635E-015, 6.3826028E-010, 2.7729371E-004, 1.6842689E-003, 3.3355874E-022, 3.0140185E-014, 4.5086890E-009, 2.7918563E-003, 7.0718943E-003
 5.4696970E+000, 1.0153109E+001, 2.6109088E+000, 4.3000000E+000, 8.3302627E+002, 8.5598526E+002, 8.2500613E+002, 7.5531068E+002, 6.9566260E+002, 6.1754434E+002, 4.8069911E+002, 4.7642871E+002, 4.5880460E+002, 4.1621328E+002, 3.6740545E+002, 2.9418454E+002,-1.5560241E+001, 3.2320410E-020, 7.8715761E-013, 4.3611089E-008, 1.4597769E-003, 5.5497192E-003, 9.4024088E-021, 5.0264889E-012, 3.3250240E-007, 1.1256084E-002, 1.7719091E-002
 5.9666667E+000, 9.4439408E+000, 2.6487141E+000, 4.7800000E+000, 7.6736380E+002, 7.8892160E+002, 7.6498284E+002, 7.0910890E+002, 6.6831710E+002, 5.9773867E+002, 4.7447737E+002, 4.6928587E+002, 4.4037114E+002, 3.9671030E+002, 3.5541307E+002, 2.8531941E+002,-1.5066265E+001, 3.2320410E-020, 7.8715761E-013, 4.3611089E-008, 1.4597769E-003, 5.5497192E-003, 9.4024088E-021, 5.0264889E-012, 3.3250240E-007, 1.1256084E-002, 1.7719091E-002
