s,mol/mol
Time,"XO2"
 0.0000000E+000, 2.0755890E-001
 1.0067484E+000, 2.0755890E-001
 2.0015806E+000, 2.0755890E-001
 3.0017160E+000, 2.0755890E-001
 4.0012407E+000, 2.0755890E-001
 5.0013829E+000, 2.0755744E-001
 6.0002196E+000, 2.0215254E-001
 7.0001611E+000, 1.9685723E-001
 8.0000039E+000, 1.9182833E-001
 9.0016433E+000, 1.8704217E-001
 1.0000391E+001, 1.8250331E-001
 1.1001729E+001, 1.7816768E-001
 1.2000394E+001, 1.7404373E-001
 1.3000020E+001, 1.7010387E-001
 1.4000203E+001, 1.6633701E-001
 1.5000173E+001, 1.6273243E-001
 1.6001316E+001, 1.5927951E-001
 1.7000849E+001, 1.5597423E-001
 1.8001132E+001, 1.5280055E-001
 1.9000357E+001, 1.4975729E-001
 2.0001118E+001, 1.4682774E-001
 2.1001383E+001, 1.4401381E-001
 2.2001087E+001, 1.4130547E-001
 2.3001223E+001, 1.3869591E-001
 2.4000696E+001, 1.3618367E-001
 2.5000800E+001, 1.3375725E-001
 2.6000025E+001, 1.3142018E-001
 2.7001471E+001, 1.2915752E-001
 2.8000828E+001, 1.2697697E-001
 2.9000372E+001, 1.2486863E-001
 3.0000005E+001, 1.2282733E-001
 3.1000037E+001, 1.2085185E-001
 3.2001347E+001, 1.1893805E-001
 3.3001541E+001, 1.1708291E-001
 3.4000844E+001, 1.1528799E-001
 3.5000266E+001, 1.1354685E-001
 3.6001103E+001, 1.1185455E-001
 3.7000274E+001, 1.1021499E-001
 3.8001852E+001, 1.0861934E-001
 3.9001057E+001, 1.0707309E-001
 4.0001476E+001, 1.0556759E-001
 4.1001338E+001, 1.0410564E-001
 4.2001066E+001, 1.0268278E-001
 4.3001539E+001, 1.0129782E-001
 4.4001204E+001, 9.9951209E-002
 4.5001000E+001, 9.8640701E-002
 4.6000928E+001, 9.7362341E-002
 4.7001724E+001, 9.6115333E-002
 4.8001898E+001, 9.4902135E-002
 4.9001777E+001, 9.3718574E-002
 5.0001430E+001, 9.2564093E-002
 5.1001370E+001, 9.1437656E-002
 5.2001731E+001, 9.0338448E-002
 5.3001299E+001, 8.9265438E-002
 5.4001021E+001, 8.8218312E-002
 5.5000899E+001, 8.7194090E-002
 5.6000511E+001, 8.6194979E-002
 5.7000549E+001, 8.5217269E-002
 5.8001000E+001, 8.4262623E-002
 5.9001549E+001, 8.3327088E-002
 6.0000045E+001, 8.2415079E-002
 6.1000519E+001, 8.1520176E-002
 6.2000992E+001, 8.0644870E-002
 6.3001574E+001, 7.9788160E-002
 6.4001755E+001, 7.8949567E-002
 6.5000000E+001, 7.8129729E-002
