s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0336618E-003,-2.4755977E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0336619E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0056690E-001, 2.7134280E+000, 0.0000000E+000,-4.9225610E-001, 1.7472551E-002,-3.0610725E-002,-1.0850675E-004, 0.0000000E+000, 0.0000000E+000, 2.1305508E+000, 2.2079252E+000, 1.6627388E-002, 7.7915876E-005,-5.1997109E-067,-1.3037609E-057
 1.0008998E+000, 7.4709418E+000, 0.0000000E+000,-1.9523430E+000,-1.3524620E+000,-1.0400726E-002,-2.2531538E-004, 0.0000000E+000, 0.0000000E+000, 4.0839397E+000, 4.1555107E+000, 4.4156641E-002, 1.9999757E-004,-1.3128705E-057,-7.1997844E-051
 1.5008501E+000, 1.1550002E+001, 0.0000000E+000,-2.9732330E+000,-8.4041943E+000,-1.1019251E-002,-2.8670953E-004, 0.0000000E+000, 0.0000000E+000, 1.2609387E-001, 1.6126871E-001, 5.9360744E-002, 2.6864291E-004,-7.0734724E-054,-8.9664043E-048
 2.0006125E+000, 1.2879313E+001, 0.0000000E+000,-3.3748982E+000,-8.4524912E+000,-1.0550271E-002,-2.7620447E-004, 0.0000000E+000, 0.0000000E+000, 1.0044415E+000, 1.0410969E+000, 6.6097655E-002, 2.9907097E-004,-9.0503416E-052,-6.2362531E-046
 2.5003116E+000, 1.3661082E+001, 0.0000000E+000,-3.7549500E+000,-1.0060929E+001,-1.8736255E-002,-2.7929765E-004, 0.0000000E+000, 0.0000000E+000,-2.2541834E-001,-1.7381287E-001, 6.8770209E-002, 3.1114040E-004,-2.1425531E-050,-1.0274816E-044
 3.0008278E+000, 1.4702753E+001, 0.0000000E+000,-3.8814040E+000,-9.4294039E+000,-1.6374133E-002,-2.7546444E-004, 0.0000000E+000, 0.0000000E+000, 1.2903885E+000, 1.3752952E+000, 6.9782932E-002, 3.1571407E-004,-1.9318583E-049,-7.2612336E-044
 3.5001276E+000, 1.4430522E+001, 0.0000000E+000,-3.8397220E+000,-1.0406950E+001,-2.3451005E-002,-2.7998729E-004, 0.0000000E+000, 0.0000000E+000, 7.6883897E-002, 1.6011873E-001, 7.0159495E-002, 3.1741444E-004,-9.1598509E-049,-2.8685413E-043
 4.0005345E+000, 1.3984199E+001, 0.0000000E+000,-3.8725914E+000,-1.0643235E+001,-1.5401917E-002,-2.7334752E-004, 0.0000000E+000, 0.0000000E+000,-6.0563613E-001,-5.4730219E-001, 7.0298527E-002, 3.1804230E-004,-2.7412114E-048,-7.3733619E-043
