cm,kW,kW,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 9.1120260E+000, 7.4403668E-001,-5.0000000E-001, 1.1261474E+003, 1.2138564E+003, 1.3047867E+003, 1.2864858E+003, 1.1400805E+003, 9.4125247E+002, 1.1556861E+002, 1.6098160E+002, 1.7819606E+002, 2.4147743E+002, 3.0213652E+002, 3.2664774E+002,-2.0500000E+001, 3.2424190E-015, 1.2855262E-014, 8.1638628E-013, 7.2277439E-010, 4.9285660E-008, 7.7706766E-016, 7.3050298E-015, 8.2914068E-013, 1.3893201E-009, 1.2395760E-007
 1.5000000E+000, 1.7071865E+001, 2.8232921E+000, 5.0000000E-001, 1.1309451E+003, 1.2146512E+003, 1.2997689E+003, 1.2640891E+003, 1.1389006E+003, 9.5243487E+002, 1.2310315E+002, 1.6447812E+002, 1.8833305E+002, 2.5985156E+002, 3.0501085E+002, 3.2826055E+002,-1.9500000E+001, 1.6788845E-013, 6.3197498E-013, 4.6256485E-011, 3.9047403E-008, 1.9835420E-006, 4.2262671E-014, 5.3404949E-013, 5.7886349E-011, 6.9954360E-008, 6.5204872E-006
 2.5000000E+000, 1.7785614E+001, 3.4625160E+000, 1.5000000E+000, 1.3014503E+003, 1.2792395E+003, 1.1999015E+003, 1.1014155E+003, 1.0131084E+003, 8.9272878E+002, 1.7313556E+002, 1.9848395E+002, 2.8057295E+002, 3.2423446E+002, 3.3986050E+002, 3.2600956E+002,-1.8500000E+001, 1.6788845E-013, 6.3197498E-013, 4.6256485E-011, 3.9047403E-008, 1.9835420E-006, 4.2262671E-014, 5.3404949E-013, 5.7886349E-011, 6.9954360E-008, 6.5204872E-006
 3.5000000E+000, 1.7048940E+001, 3.7008032E+000, 2.5000000E+000, 1.2889482E+003, 1.0777326E+003, 9.6525052E+002, 9.0443896E+002, 8.6308426E+002, 7.9636622E+002, 2.4470704E+002, 3.4739364E+002, 3.6146560E+002, 3.6664080E+002, 3.5318115E+002, 3.1410012E+002,-1.7500000E+001, 7.5934265E-012, 4.2395459E-011, 2.5641037E-009, 1.4840593E-006, 5.1934906E-005, 1.8145075E-012, 5.7985736E-011, 4.3682921E-009, 3.0241493E-006, 2.3957308E-004
 4.5000000E+000, 1.5700819E+001, 3.6975629E+000, 3.5000000E+000, 9.7270587E+002, 8.6311148E+002, 7.9895488E+002, 7.6231853E+002, 7.2894474E+002, 7.0007435E+002, 4.2899569E+002, 4.3061702E+002, 4.0341066E+002, 3.7594359E+002, 3.3479677E+002, 2.9486506E+002,-1.6500000E+001, 7.5934265E-012, 4.2395459E-011, 2.5641037E-009, 1.4840593E-006, 5.1934906E-005, 1.8145075E-012, 5.7985736E-011, 4.3682921E-009, 3.0241493E-006, 2.3957308E-004
 5.5000000E+000, 1.4160856E+001, 3.5348444E+000, 4.5000000E+000, 6.4035052E+002, 6.8664001E+002, 6.9391407E+002, 6.7575041E+002, 6.3741695E+002, 6.0774246E+002, 3.0817507E+002, 3.9222560E+002, 4.0262409E+002, 3.7499189E+002, 3.2057847E+002, 2.6430282E+002,-1.5500000E+001, 3.2060987E-010, 3.1998170E-009, 1.7513040E-007, 3.6610294E-005, 9.2906690E-004, 6.2299146E-011, 6.5368787E-009, 3.9840913E-007, 9.9818843E-005, 3.4486556E-003
 6.5000000E+000, 1.2754132E+001, 3.3236599E+000, 5.5000000E+000, 4.5936909E+002, 5.4768020E+002, 5.9960298E+002, 5.9570557E+002, 5.6343595E+002, 5.3264272E+002, 1.7546054E+002, 3.0802167E+002, 3.6271449E+002, 3.3997513E+002, 2.9211478E+002, 2.3798853E+002,-1.4500000E+001, 3.2060987E-010, 3.1998170E-009, 1.7513040E-007, 3.6610294E-005, 9.2906690E-004, 6.2299146E-011, 6.5368787E-009, 3.9840913E-007, 9.9818843E-005, 3.4486556E-003
 7.5000000E+000, 1.1615302E+001, 3.1580834E+000, 6.5000000E+000, 3.6393797E+002, 4.2980714E+002, 4.9660707E+002, 5.0711957E+002, 4.9568953E+002, 4.7467676E+002, 9.1291716E+001, 1.9234863E+002, 2.9481285E+002, 2.8571062E+002, 2.5795450E+002, 2.1037143E+002,-1.3500000E+001, 1.2296481E-008, 2.0163088E-007, 8.4335076E-006, 6.8003673E-004, 5.8076051E-003, 3.6481326E-009, 6.4594155E-007, 3.5453353E-005, 1.9816464E-003, 1.2934935E-002
 8.5000000E+000, 1.0690113E+001, 3.0674932E+000, 7.5000000E+000, 3.1870859E+002, 3.5076601E+002, 4.0390496E+002, 4.2479757E+002, 4.3155008E+002, 4.2590583E+002, 4.3370093E+001, 1.0011562E+002, 2.0830491E+002, 2.2995125E+002, 2.0633709E+002, 1.7131602E+002,-1.2500000E+001, 1.2296481E-008, 2.0163088E-007, 8.4335076E-006, 6.8003673E-004, 5.8076051E-003, 3.6481326E-009, 6.4594155E-007, 3.5453353E-005, 1.9816464E-003, 1.2934935E-002
 9.5000000E+000, 9.9154688E+000, 3.0220473E+000, 8.5000000E+000, 3.0105195E+002, 3.1513343E+002, 3.4467459E+002, 3.6834671E+002, 3.8347376E+002, 3.8398439E+002, 1.4365163E+001, 4.5903353E+001, 1.2589960E+002, 1.7921181E+002, 1.7558747E+002, 1.3378709E+002,-1.1500000E+001, 4.0078025E-007, 7.5551528E-006, 1.8894555E-004, 3.2650057E-003, 1.5705482E-002, 9.5538887E-007, 2.3768008E-005, 8.8764351E-004, 1.0879454E-002, 2.6769728E-002
 1.0500000E+001, 9.2584123E+000, 3.0021839E+000, 9.5000000E+000, 2.9645835E+002, 3.0080517E+002, 3.1300215E+002, 3.3590989E+002, 3.5241403E+002, 3.5267375E+002, 4.2588682E+000, 1.6564100E+001, 6.2129803E+001, 1.4711871E+002, 1.5301815E+002, 1.0825938E+002,-1.0500000E+001, 1.1791304E-005, 1.3997112E-004, 1.4481825E-003, 1.0726187E-002, 3.0192861E-002, 5.8842315E-005, 4.2770417E-004, 5.7141879E-003, 2.9409762E-002, 4.0601948E-002
